record_id,stage_id,source_id,evidence_mode,quantity,value_numeric,uncertainty_minus,uncertainty_plus,unit,sample_n,value_text,scope_note
M054,GC-E07,S024,astronomical_observation,HOPS315_crystalline_silicates_detected,1,,,boolean,,true,
M055,GC-E16,S025,astronomical_observation,PDS70_accreting_protoplanets,2,,,count,,,
M056,GC-E17,S026,planetary_isotope_reconstruction,Mars_half_size_time_upper,2,,,Myr,,<=2,
M057,GC-E18,S027,planetary_isotope_reconstruction,Earth_Mo_between_NC_CC,1,,,boolean,,true,
M058,GC-E19,S028,official_observation_product,Solar_System_planets,8,,,count,,,
M059,GC-E02,S029,astronomical_observation,SN1987A_dust_temperature_min,17,,,K,,,
M060,GC-E02,S029,astronomical_observation,SN1987A_dust_temperature_max,23,,,K,,,
M061,GC-E02,S029,astronomical_observation,SN1987A_dust_mass_min,0.4,,,solar_mass,,,
M062,GC-E02,S029,astronomical_observation,SN1987A_dust_mass_max,0.7,,,solar_mass,,,
M063,GC-E03,S030,returned_sample_measurement,Ryugu_presolar_silicate_grains,1,,,count,,,
M064,GC-E03,S030,returned_sample_measurement,Ryugu_presolar_oxide_grains,1,,,count,,,
M065,GC-E03,S030,returned_sample_measurement,Ryugu_presolar_SN_O_anomalous_grains,1,,,count,,,
M066,GC-E03,S030,returned_sample_measurement,Ryugu_presolar_SiC_grains,38,,,count,,,
M067,GC-E03,S030,returned_sample_measurement,Ryugu_presolar_carbonaceous_grains,16,,,count,,,
M068,GC-E03,S030,returned_sample_measurement,Ryugu_O_anomalous_abundance,4.8,2.6,4.7,ppm,,,
M069,GC-E03,S030,returned_sample_measurement,Ryugu_SiC_abundance,25,5,6,ppm,,,
M070,GC-E03,S030,returned_sample_measurement,Ryugu_carbonaceous_abundance,11,3,5,ppm,,,
M071,GC-E03,S031,returned_sample_measurement,Wild2_circumstellar_stardust_grains,1,,,count,,,Un grain circumstellaire enrichi en 17O explicitement rapporté.
M072,GC-E09,S031,returned_sample_measurement,Wild2_16O_refractory_grains,1,,,count,,,"Grain réfractaire enrichi en 16O, analogue aux inclusions réfractaires météoritiques."
M073,GC-E09,S032,returned_sample_measurement,Wild2_high_temperature_material_detected,1,,,boolean,,true,Présence mesurée de minéraux haute température dans le matériau cométaire; aucun modèle de transport n’est calculé ici.
M074,GC-E06,S033,astronomical_observation,TW_Hya_methanol_velocity_channels_gt3sigma,6,,,count,,,
M075,GC-E06,S033,astronomical_observation,TW_Hya_methanol_peak_SNR,5.5,,,sigma,,,
M076,GC-E15,S025,astronomical_observation,PDS70_protoplanets_within_disk_gap,1,,,boolean,,true,Le même système PDS 70 fournit le contexte disque/cavité et les deux sources Hα en accrétion; aucun mécanisme de migration n’est déduit.
M077,GC-E07,S034,astronomical_observation,EC53_quiescent_forsterite_feature_detected,0,,,boolean,,false,Comparaison temporelle du même objet; la signature de forstérite apparaît uniquement pendant le burst.
M078,GC-E07,S034,astronomical_observation,EC53_burst_forsterite_feature_detected,1,,,boolean,,true,Comparaison temporelle du même objet; signature de forstérite détectée pendant le burst.
M079,GC-E07,S034,astronomical_observation,EC53_quiescent_enstatite_feature_detected,0,,,boolean,,false,Comparaison temporelle du même objet; la signature d’enstatite apparaît uniquement pendant le burst.
M080,GC-E07,S034,astronomical_observation,EC53_burst_enstatite_feature_detected,1,,,boolean,,true,Comparaison temporelle du même objet; signature d’enstatite détectée pendant le burst.
M081,GC-E07,S034,astronomical_observation,EC53_crystalline_species_appearing_only_during_burst,2,,,count,,forsterite;enstatite,Deux familles de signatures cristallines apparaissent seulement dans la phase de burst observée.
M082,GC-E14,S035,returned_sample_measurement,Ryugu_late_fluid_flow_after_formation_lower_bound,1000,,,Myr_after_formation,,>1 Gyr,Borne minimale publiée issue des systématiques Lu-Hf; la cause dynamique proposée n’est pas utilisée.
M083,GC-E14,S035,returned_sample_measurement,Ryugu_late_Lu_mobilization_detected,1,,,boolean,,true,Mobilisation tardive de Lu enregistrée dans les échantillons retournés.
M084,GC-E05,S036,astronomical_observation,VLA1623B_streamer_length,2000,,,au,,~2000,Longueur observée approximative du streamer accélérant; second système indépendant de Per-emb-2.
M085,GC-E05,S036,astronomical_observation,VLA1623B_streamer_SO_excitation_temperature,33,9,9,K,,33 ± 9,Température d’excitation SO rapportée pour le streamer; masse et taux d’accrétion exclus.
M086,GC-E02,S037,astronomical_observation,SN1987A_ALMA_ejecta_dust_mass_lower_bound,0.2,,,solar_mass,,>0.2,Borne observationnelle publiée; aucune extrapolation à la survie future ou à une population de supernovæ.
M087,GC-E02,S037,astronomical_observation,SN1987A_ALMA_dust_spatially_resolved_inner_ejecta,1,,,boolean,,true,La concentration centrale de l’émission montre directement que la poussière observée se trouve dans les éjecta internes.
M088,GC-E10,S038,meteoritic_chronometry,chondrule_bearing_CAI_remelting_delay_after_canonical_CAI,2,,,Myr_after_CAI,2,~2,"Contrainte chronométrique approximative publiée à partir des rapports initiaux 26Al/27Al; utilisée comme réplication indépendante, pas dans le calcul >5σ."
M089,GC-E10,S038,meteoritic_chronometry,chondrule_bearing_CAI1_initial_26Al_27Al,4.7e-6,1.4e-6,1.4e-6,ratio,1,(4.7 ± 1.4) × 10^-6,Rapport initial publié pour l’un des deux CAI à matériel chondritique.
M090,GC-E10,S038,meteoritic_chronometry,chondrule_bearing_CAI2_initial_26Al_27Al_upper_bound,1.2e-6,,,ratio_upper_bound,1,<1.2 × 10^-6,"Borne supérieure publiée; la valeur numérique est enregistrée comme limite, pas comme mesure ponctuelle."
