transition_id,before_state,after_state,n,G,I,E,Pi,H,evidence_level
TR-011,TR-005 Recombinaison cosmologique (He puis H),Formation de HeH+,"atomes, ions, molécules, glaces et grains réactifs — cas: Formation de HeH+",réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Formation de HeH+,"réactions gaz-phase/surface, adsorption, désorption et photchimie","température, densité, UV et rayonnement cosmique — fenêtre: Post-recombinaison; détection actuelle dans NGC 7027","stockage dans liaisons moléculaires, glaces et grains",héritage/dépendance au chemin depuis: TR-005 Recombinaison cosmologique (He puis H),Existence observée; présence primordiale inférée
TR-012,TR-005 Recombinaison cosmologique (He puis H),Formation de H₂ et HD,"atomes, ions, molécules, glaces et grains réactifs — cas: Formation de H₂ et HD",réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Formation de H₂ et HD,"réactions gaz-phase/surface, adsorption, désorption et photchimie","température, densité, UV et rayonnement cosmique — fenêtre: Après la recombinaison; avant les premières étoiles","stockage dans liaisons moléculaires, glaces et grains",héritage/dépendance au chemin depuis: TR-005 Recombinaison cosmologique (He puis H),Inféré et modélisé
TR-013,TR-009 Explosions stellaires et enrichissement,Chimie carbonée simple du milieu interstellaire,"atomes, ions, molécules, glaces et grains réactifs — cas: Chimie carbonée simple du milieu interstellaire",réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Chimie carbonée simple du milieu interstellaire,"réactions gaz-phase/surface, adsorption, désorption et photchimie","température, densité, UV et rayonnement cosmique — fenêtre: Après l'enrichissement stellaire; toujours active","stockage dans liaisons moléculaires, glaces et grains",héritage/dépendance au chemin depuis: TR-009 Explosions stellaires et enrichissement,Observé
TR-014,"TR-008 Étoiles AGB, processus s et poussières ; TR-013 Chimie carbonée simple du milieu interstellaire",Manteaux de glace sur les grains,"atomes, ions, molécules, glaces et grains réactifs — cas: Manteaux de glace sur les grains",réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Manteaux de glace sur les grains,"réactions gaz-phase/surface, adsorption, désorption et photchimie","température, densité, UV et rayonnement cosmique — fenêtre: Nuages froids enrichis; récurrence locale","stockage dans liaisons moléculaires, glaces et grains","héritage/dépendance au chemin depuis: TR-008 Étoiles AGB, processus s et poussières ; TR-013 Chimie carbonée simple du milieu interstellaire",Observé
TR-015,TR-014 Manteaux de glace sur les grains,Molécules organiques complexes et cages carbonées,"atomes, ions, molécules, glaces et grains réactifs — cas: Molécules organiques complexes et cages carbonées",réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Molécules organiques complexes et cages carbonées,"réactions gaz-phase/surface, adsorption, désorption et photchimie","température, densité, UV et rayonnement cosmique — fenêtre: Régions enrichies; récurrence astrophysique","stockage dans liaisons moléculaires, glaces et grains",héritage/dépendance au chemin depuis: TR-014 Manteaux de glace sur les grains,Observé pour plusieurs espèces
TR-016,"TR-008 Étoiles AGB, processus s et poussières ; TR-009 Explosions stellaires et enrichissement",Condensation de grains présolaires,"minéraux réfractaires, chondres, poussières et galets — cas: Condensation de grains présolaires","grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Condensation de grains présolaires","condensation, fusion, collisions, traînée gazeuse et auto-gravité","température, pression, turbulence et position dans le disque — fenêtre: Premières générations enrichies; processus continu","textures, minéralogie et chronomètres isotopiques conservés dans les solides","héritage/dépendance au chemin depuis: TR-008 Étoiles AGB, processus s et poussières ; TR-009 Explosions stellaires et enrichissement",Observé dans météorites et spectres
TR-017,TR-016 Condensation de grains présolaires,Formation des CAI,"minéraux réfractaires, chondres, poussières et galets — cas: Formation des CAI","grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Formation des CAI","condensation, fusion, collisions, traînée gazeuse et auto-gravité","température, pression, turbulence et position dans le disque — fenêtre: 4,567 Ga avant aujourd'hui; datations isotopiques","textures, minéralogie et chronomètres isotopiques conservés dans les solides",héritage/dépendance au chemin depuis: TR-016 Condensation de grains présolaires,Objet observé; âge inféré
TR-018,TR-017 Formation des CAI,Formation des chondres et remaniement thermique des solides réfractaires,"minéraux réfractaires, chondres, poussières et galets — cas: Formation des chondres et remaniement thermique des solides réfractaires","grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Formation des chondres et remaniement thermique des solides réfractaires","condensation, fusion, collisions, traînée gazeuse et auto-gravité","température, pression, turbulence et position dans le disque — fenêtre: Premiers millions d'années du Système solaire","textures, minéralogie et chronomètres isotopiques conservés dans les solides",héritage/dépendance au chemin depuis: TR-017 Formation des CAI,Architecture observée; mécanisme partiellement établi
TR-019,TR-016 Condensation de grains présolaires ; TR-018 Formation des chondres et remaniement thermique des solides réfractaires,Concentration collective des galets,"minéraux réfractaires, chondres, poussières et galets — cas: Concentration collective des galets","grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Concentration collective des galets","condensation, fusion, collisions, traînée gazeuse et auto-gravité","température, pression, turbulence et position dans le disque — fenêtre: Premiers millions d'années des disques","textures, minéralogie et chronomètres isotopiques conservés dans les solides",héritage/dépendance au chemin depuis: TR-016 Condensation de grains présolaires ; TR-018 Formation des chondres et remaniement thermique des solides réfractaires,Physiquement plausible; observations compatibles
TR-020,TR-019 Concentration collective des galets,Accrétion d'embryons planétaires,"minéraux réfractaires, chondres, poussières et galets — cas: Accrétion d'embryons planétaires","grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Accrétion d'embryons planétaires","condensation, fusion, collisions, traînée gazeuse et auto-gravité","température, pression, turbulence et position dans le disque — fenêtre: Quelques à dizaines de Ma dans les disques","textures, minéralogie et chronomètres isotopiques conservés dans les solides",héritage/dépendance au chemin depuis: TR-019 Concentration collective des galets,Inféré à partir d'archives
TR-021,TR-020 Accrétion d'embryons planétaires,Différenciation métal-silicate,"métaux, silicates, volatils et matériaux planétaires — cas: Différenciation métal-silicate","séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Différenciation métal-silicate","partitionnement, convection, cristallisation, dégazage et gravitation","pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Premiers millions à dizaines de Ma des corps","réservoirs géochimiques, couches planétaires et cycles durables",héritage/dépendance au chemin depuis: TR-020 Accrétion d'embryons planétaires,Inféré à partir d'archives
TR-022,TR-020 Accrétion d'embryons planétaires,Océans magmatiques et cristallisation fractionnée,"métaux, silicates, volatils et matériaux planétaires — cas: Océans magmatiques et cristallisation fractionnée","séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Océans magmatiques et cristallisation fractionnée","partitionnement, convection, cristallisation, dégazage et gravitation","pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Jeunesse des planètes différenciées","réservoirs géochimiques, couches planétaires et cycles durables",héritage/dépendance au chemin depuis: TR-020 Accrétion d'embryons planétaires,Inféré à partir d'archives
TR-023,TR-022 Océans magmatiques et cristallisation fractionnée ; TR-024 Atmosphères secondaires,Hydrosphères liquides durables,"métaux, silicates, volatils et matériaux planétaires — cas: Hydrosphères liquides durables","séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Hydrosphères liquides durables","partitionnement, convection, cristallisation, dégazage et gravitation","pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Terre: possible dès 4,4 Ga; preuves robustes ~3,7 Ga","réservoirs géochimiques, couches planétaires et cycles durables",héritage/dépendance au chemin depuis: TR-022 Océans magmatiques et cristallisation fractionnée ; TR-024 Atmosphères secondaires,Observé aujourd'hui; ancienneté inférée
TR-024,TR-022 Océans magmatiques et cristallisation fractionnée,Atmosphères secondaires,"métaux, silicates, volatils et matériaux planétaires — cas: Atmosphères secondaires","séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Atmosphères secondaires","partitionnement, convection, cristallisation, dégazage et gravitation","pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Après dégazage et apports volatils; durée variable","réservoirs géochimiques, couches planétaires et cycles durables",héritage/dépendance au chemin depuis: TR-022 Océans magmatiques et cristallisation fractionnée,Observé; histoire inférée
TR-025,TR-021 Différenciation métal-silicate ; TR-023 Hydrosphères liquides durables,Recyclage tectonique global,"métaux, silicates, volatils et matériaux planétaires — cas: Recyclage tectonique global","séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Recyclage tectonique global","partitionnement, convection, cristallisation, dégazage et gravitation","pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Indices de mobilité vers 3,35 Ga; origine débattue","réservoirs géochimiques, couches planétaires et cycles durables",héritage/dépendance au chemin depuis: TR-021 Différenciation métal-silicate ; TR-023 Hydrosphères liquides durables,Inféré; chronologie controversée
TR-026,TR-023 Hydrosphères liquides durables,Altération aqueuse et argiles,"minéraux primaires/secondaires, fluides et constituants biologiques — cas: Altération aqueuse et argiles","réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Altération aqueuse et argiles","précipitation, dissolution, redox, métamorphisme et biominéralisation","pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Dès que l'eau interagit durablement avec les roches",stabilité cristalline et archives minéralogiques/géochimiques,héritage/dépendance au chemin depuis: TR-023 Hydrosphères liquides durables,Observé; ancienneté inférée
TR-027,TR-023 Hydrosphères liquides durables,Précipitation chimique à grande échelle,"minéraux primaires/secondaires, fluides et constituants biologiques — cas: Précipitation chimique à grande échelle","réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Précipitation chimique à grande échelle","précipitation, dissolution, redox, métamorphisme et biominéralisation","pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Océans et atmosphères planétaires; processus récurrent",stabilité cristalline et archives minéralogiques/géochimiques,héritage/dépendance au chemin depuis: TR-023 Hydrosphères liquides durables,Inféré à partir d'archives
TR-028,TR-021 Différenciation métal-silicate,Phases de haute pression et de choc,"minéraux primaires/secondaires, fluides et constituants biologiques — cas: Phases de haute pression et de choc","réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Phases de haute pression et de choc","précipitation, dissolution, redox, métamorphisme et biominéralisation","pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Impacts, enfouissement et subduction; récurrent",stabilité cristalline et archives minéralogiques/géochimiques,héritage/dépendance au chemin depuis: TR-021 Différenciation métal-silicate,Observé naturellement et expérimentalement
TR-029,TR-038 Photosynthèse oxygénique,Oxygénation durable de la surface,"minéraux primaires/secondaires, fluides et constituants biologiques — cas: Oxygénation durable de la surface","réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Oxygénation durable de la surface","précipitation, dissolution, redox, métamorphisme et biominéralisation","pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Terre: ~2,5 à 2,3 Ga; archives redox",stabilité cristalline et archives minéralogiques/géochimiques,héritage/dépendance au chemin depuis: TR-038 Photosynthèse oxygénique,Inféré à partir de plusieurs archives
TR-030,TR-036 Établissement du code et de la traduction,Biominéralisation contrôlée,"minéraux primaires/secondaires, fluides et constituants biologiques — cas: Biominéralisation contrôlée","réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Biominéralisation contrôlée","précipitation, dissolution, redox, métamorphisme et biominéralisation","pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Après l'apparition du vivant; multiples lignées",stabilité cristalline et archives minéralogiques/géochimiques,héritage/dépendance au chemin depuis: TR-036 Établissement du code et de la traduction,Observé; histoire reconstruite
TR-031,TR-026 Altération aqueuse et argiles,Synthèse couplée de précurseurs biologiques,"précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Synthèse couplée de précurseurs biologiques","mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Synthèse couplée de précurseurs biologiques","photochimie, activation, condensation, catalyse et auto-assemblage","UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire","cycles réactionnels, compartimentation et copie imparfaite",héritage/dépendance au chemin depuis: TR-026 Altération aqueuse et argiles,Produit expérimentalement
TR-032,TR-031 Synthèse couplée de précurseurs biologiques,"Concentration, activation et polymérisation","précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Concentration, activation et polymérisation","mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Concentration, activation et polymérisation","photochimie, activation, condensation, catalyse et auto-assemblage","UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire","cycles réactionnels, compartimentation et copie imparfaite",héritage/dépendance au chemin depuis: TR-031 Synthèse couplée de précurseurs biologiques,Produit partiellement; contexte naturel ouvert
TR-033,TR-031 Synthèse couplée de précurseurs biologiques,Auto-assemblage de compartiments,"précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Auto-assemblage de compartiments","mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Auto-assemblage de compartiments","photochimie, activation, condensation, catalyse et auto-assemblage","UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire","cycles réactionnels, compartimentation et copie imparfaite",héritage/dépendance au chemin depuis: TR-031 Synthèse couplée de précurseurs biologiques,Produit expérimentalement
TR-034,"TR-032 Concentration, activation et polymérisation ; TR-033 Auto-assemblage de compartiments",Réseaux autocatalytiques et protométabolismes,"précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Réseaux autocatalytiques et protométabolismes","mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Réseaux autocatalytiques et protométabolismes","photochimie, activation, condensation, catalyse et auto-assemblage","UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; scénarios candidats","cycles réactionnels, compartimentation et copie imparfaite","héritage/dépendance au chemin depuis: TR-032 Concentration, activation et polymérisation ; TR-033 Auto-assemblage de compartiments",Produit partiellement; histoire hypothétique
TR-035,"TR-032 Concentration, activation et polymérisation",Catalyse ARN et copie dirigée par matrice,"précurseurs nucléotidiques, acides aminés, lipides et activateurs — cas: Catalyse ARN et copie dirigée par matrice","mélanges réactionnels, surfaces minérales, polymères et compartiments — état postérieur: Catalyse ARN et copie dirigée par matrice","photochimie, activation, condensation, catalyse et auto-assemblage","UV, cycles humides-secs, pH, température et disponibilité minérale — fenêtre: Aucune date historique établie; laboratoire","cycles réactionnels, compartimentation et copie imparfaite","héritage/dépendance au chemin depuis: TR-032 Concentration, activation et polymérisation",Produit partiellement; autonomie hypothétique
TR-036,TR-035 Catalyse ARN et copie dirigée par matrice,Établissement du code et de la traduction,"gènes, ARN, protéines, membranes, métabolites et organites — cas: Établissement du code et de la traduction","réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Établissement du code et de la traduction","traduction, métabolisme, réplication, symbiose et signalisation","ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Avant LUCA; date et enchaînement inconnus","réplication, réparation, hérédité, sélection et homéostasie",héritage/dépendance au chemin depuis: TR-035 Catalyse ARN et copie dirigée par matrice,Reconstruit; origine ouverte
TR-037,TR-036 Établissement du code et de la traduction,LUCA,"gènes, ARN, protéines, membranes, métabolites et organites — cas: LUCA","réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: LUCA","traduction, métabolisme, réplication, symbiose et signalisation","ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: ~4,2 Ga proposé; modèle phylogénétique","réplication, réparation, hérédité, sélection et homéostasie",héritage/dépendance au chemin depuis: TR-036 Établissement du code et de la traduction,Reconstruit phylogénétiquement
TR-038,TR-037 LUCA,Photosynthèse oxygénique,"gènes, ARN, protéines, membranes, métabolites et organites — cas: Photosynthèse oxygénique","réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Photosynthèse oxygénique","traduction, métabolisme, réplication, symbiose et signalisation","ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Antérieure à la Grande Oxygénation; date débattue","réplication, réparation, hérédité, sélection et homéostasie",héritage/dépendance au chemin depuis: TR-037 LUCA,Reconstruit par génomique et archives
TR-039,TR-037 LUCA,Endosymbiose mitochondriale,"gènes, ARN, protéines, membranes, métabolites et organites — cas: Endosymbiose mitochondriale","réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Endosymbiose mitochondriale","traduction, métabolisme, réplication, symbiose et signalisation","ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Paléoprotérozoïque; fenêtre encore discutée","réplication, réparation, hérédité, sélection et homéostasie",héritage/dépendance au chemin depuis: TR-037 LUCA,Reconstruit
TR-040,TR-029 Oxygénation durable de la surface ; TR-039 Endosymbiose mitochondriale,Multicellularités complexes indépendantes,"gènes, ARN, protéines, membranes, métabolites et organites — cas: Multicellularités complexes indépendantes","réseaux cellulaires, génomes, compartiments et organismes multicellulaires — état postérieur: Multicellularités complexes indépendantes","traduction, métabolisme, réplication, symbiose et signalisation","ressources, gradients, écologie, oxygène et contraintes de sélection — fenêtre: Apparitions multiples, surtout Protérozoïque-Phanérozoïque","réplication, réparation, hérédité, sélection et homéostasie",héritage/dépendance au chemin depuis: TR-029 Oxygénation durable de la surface ; TR-039 Endosymbiose mitochondriale,Observé; histoire reconstruite
