identifiant;formulation;domaine;type;variables_observables;prediction_oric;modele_nul;modele_concurrent;temoin_complexite_egale;intervention_ou_contraste;metrique_principale;seuil_de_reussite;fenetre_temporelle;conditions_arret;donnees_apprentissage;donnees_validation;statut_final;ou
H-CL-001;Un modèle multi-mémoires bat une intégrale temporelle unique du forçage cumulé.;application climatique;confirmatoire;noyaux de mémoire par compartiment;gain prédictif du modèle multi-mémoires;intégrale unique des émissions cumulées;modèle à noyau fixe unique;modèle de même nombre de paramètres, mémoires découplées;expériences d'arrêt des émissions;à préenregistrer, WP-CL1;à préenregistrer;longue devant toutes les constantes de temps;aucun gain contre le témoin apparié;simulations historiques;scénarios réservés;Non testé;02_.../application_climat/, hors chaîne de preuve
H-V-001;Un système protocellulaire franchit les six conditions du critère minimal de transition matière-hérédité.;branche 3 régime 7;confirmatoire;lignées, copies, variantes, division, fonction;six conditions atteintes simultanément;chimie sans compartiment;compartiment sans matrice;polymère non copiable apparié en longueur, charge, concentration, encombrement;"ablations membrane, matrice, énergie, variation ; permutation des environnements";proportion de descendants conservant information héritée et différence fonctionnelle;6/6 conditions, plus avantage sur témoin apparié;longue devant toutes les mémoires du système;échec sur deux réplications indépendantes;aucune, expérience à mener;second laboratoire;Non testé;03_branche_vivant/programme_prebiotique/PROGRAMME_PREBIOTIQUE.md
H-V-002;L'histoire d'exposition modifie l'architecture de résistance à MIC finale égale.;branche 3 régime 8;confirmatoire;MIC, fitness, mutations, expression génique;dépendance au chemin à état final vérifié identique;modèle de population classique;fitness landscape, chaînes de Markov;modèle prédictif de même complexité sans variable d'histoire;même dose cumulée, ordres différents;à préenregistrer, WP-R4;avantage hors échantillon;plusieurs cycles, au-delà du retrait;avantage nul contre témoin apparié;lignées d'apprentissage;lignées masquées;Non testé;03_branche_vivant/README.md, acte 3
H-S-003;Il existe un domaine ou reduire une perte diminue la persistance globale par effet indirect.;socle;exploratoire;biomasse finale en fonction du taux de perte;non-monotonie de P* en fonction de l;chemostat a deux variables;neuf extensions structurelles;structures appariees en nombre d especes;balayage de 200 jeux de parametres;remontee relative de la biomasse finale;remontee >= 1 % de l amplitude;4000 unites, au-dela de tous les transitoires;aucune remontee au-dessus du bruit d integration;aucune, modele;600 configurations;Établi;00_socle/test_interventionnel/PORTEE_WP_S2.md : 10 cas sur 600, competition et retard
H-C-014;M2 bat des familles de modeles entierement differentes, a budget et donnees egaux.;branche 2 couche memoire;confirmatoire;RMSE hors echantillon de onze modeles;M2 en tete du classement;persistance, zero parametre;six familles concurrentes;M1P;meme fenetre, meme budget, roue libre;RMSE hors echantillon, BIC;premier rang;calibration 2600-1200 ka, prediction 1200-0 ka;un modele plus simple fait aussi bien;LR04 2600-1200 ka;LR04 1200-0 ka;Réfuté;"RAPPORT_WP_C4.md : rang 4 sur 11 ; persistance a 0 parametre est 2e et bat M2 de 16 %"
H-C-015;Les parametres de M2 sont identifiables sur LR04.;branche 2 couche memoire;confirmatoire;vecteurs de parametres sur quatre graines;dispersion relative faible;M0, 3 parametres;M1, 6 parametres;M1P, 8 parametres;quatre graines d optimisation;dispersion relative maximale des parametres;< 0,10;calibration 2600-1200 ka;dispersion superieure a 1;LR04 2600-1200 ka;sans objet;Réfuté;RAPPORT_WP_C6.md : dispersion 1,233 pour M2 et 1,680 pour M1P, contre 0,003 pour M0
H-C-016;Avec un temoin correctement apparie, M2 conserve une multistabilite que le temoin n a pas.;branche 2 test prospectif;confirmatoire;etendue de la fraction de glace finale;M2 multistable, temoin monostable;mode classic;mode ablated;M2P corrige, deux entrees externes distinctes;24 etats initiaux, deux points discriminants;etendue de la glace finale;0,05, preenregistre;400 Ma, soit 6600 fois tau_max;appariement des plages non tenu;aucune, modele;deux points discriminants;Non concluant;prospectif_c2/RAPPORT_WP_C2.md : temoin multistable lui aussi, et appariement echoue, rapports 6,5 et 3,4 pour un seuil de 2
H-C-017;Le mecanisme manquant a M2 est conditionnel : une variable lente modifie l operateur de reponse.;branche 2 couche memoire;exploratoire;RMSE de quatre formes emboitees;la forme conditionnelle est retenue;forme brute;formes additive et affine;penalisation BIC a parametres comptes;comparaison de quatre formes emboitees;BIC;forme conditionnelle retenue;prediction 1200-0 ka;une forme plus simple est retenue;LR04 2600-1200 ka;LR04 1200-0 ka;Réfuté;RAPPORT_WP_C7.md : le BIC retient la forme affine, gain +27,7 %
H-S-004;La structure de la carte relationnelle porte une information que l ordre chronologique ne contient pas.;socle;confirmatoire;AUC de prediction de liens et de regimes;le predicteur structurel bat la proximite;hasard;proximite chronologique;graphes nuls a degres et ordre conserves;masquage de liens et de transitions;AUC, erreur absolue de regime;AUC structurelle superieure a la proximite;sans objet;AUC au niveau du hasard;carte privee des elements masques;elements masques;Réfuté;"00_socle/carte_relationnelle/ANALYSE_GRAPHE.md : AUC 0,491 contre 0,922 ; WP-M5 : EAM 0,618 contre 0,206"
H-T-002;Les notions du socle produisent une mesure dans plusieurs branches.;transversal;exploratoire;presence d une mesure par notion et par branche;notions invariantes entre branches;notion employee sans mesure;descriptions disciplinaires separees;sans objet;recherche dans les fichiers generes seuls;nombre de branches par notion;au moins deux branches;sans objet;notion sans aucune mesure;sans objet;dossier complet;Non concluant;"plan_directeur/AUDIT_TRANSVERSAL.md : 8 notions sur 15 traversent deux branches ; la chaine ORI-C n en mesure aucune"
H-T-001;Une même définition ORI-C produit une mesure dans les trois branches sans modification.;transversal;confirmatoire;D, H, L, Pacc, séparation X/m/A;portabilité sans adaptation des définitions;descriptions disciplinaires séparées;cadres de résilience classiques;à définir par domaine;benchmark multi-domaines;performance et calibration comparées;à préenregistrer, WP-T2;par domaine;définition non applicable sans adaptation;cas du benchmark;cas réservés;Non testé;plan_directeur/PLAN_DIRECTEUR_TESTS.md WP-T1 et WP-T2
H-M-002;À taille de particules fixée, une turbulence plus forte augmente le seuil critique de solides nécessaire à la formation de planétésimaux.;branche 1 matière;confirmatoire;tau_s, alpha_D, Z_crit;Z_crit croît avec alpha_D à tau_s constant;seuil indépendant de la turbulence;effet non monotone ou dépendant d un autre paramètre;sans objet, contraste de simulations à paramètres déclarés;variation contrôlée de alpha_D;monotonie et rapport des seuils;monotone et rapport extrêmes >= 2;état stationnaire de chaque simulation;non-monotonie ou rapport inférieur à 2;valeurs publiées hors série tau_s=0.01;trois points tau_s=0.01;Validé dans les simulations publiées;01_branche_matiere/tests_causaux/resultats/H011_RESULTAT.json
H-M-003;Le cycle H030-H031-H052-H053 est quantitativement fermé dans une trajectoire naturelle ou expérimentale unique.;branche 1 matière;confirmatoire;flux, réservoirs, circulation hydrothermale, espèces solubles;les quatre relations sont observées dans le même système et reliées temporellement;ancrages séparés sans fermeture;plusieurs voies alternatives sans boucle unique;même nombre de segments documentés dans des systèmes séparés;retrait d un segment ou comparaison entre systèmes;nombre de trajectoires complètes;au moins une trajectoire unique à quatre segments;durée couvrant circulation et altération;aucun système unique;sources par segment;système unique réservé;Non testé, audit courant négatif;01_branche_matiere/tests_causaux/resultats/CYCLE_INTERFACES_RESULTAT.json
H-A-002;Les interventions sur Jupiter et Saturne rendent accessibles plusieurs dimensions de la réponse orbitale terrestre au-delà d une enveloppe conservatrice de référence.;branche 2 couche astronomique;confirmatoire;moyenne, écart type et maximum de l excentricité terrestre;au moins deux métriques dépassent l enveloppe pour chaque intervention;écarts contenus dans l enveloppe de référence;sensibilité aux conditions initiales ou au nombre de corps;enveloppe pas de temps, représentation initiale et nombre de corps;six interventions masse ou demi-grand axe;Pacc_interventions et Pacc_dimensions;deux métriques sur trois par intervention;2 Ma;moins de deux métriques dépassent l enveloppe;variantes de référence;six interventions;Validé dans le modèle réduit;02_branche_systeme_solaire/tests_suivants/resultats/PACC_ASTRONOMIQUE.json
H-C-018;Avec calibration séparée par régime, M2 conserve une différence finale supérieure à un témoin de complexité égale.;branche 2 test prospectif;confirmatoire;fraction de glace finale, température, CO2, productivité;différence matérielle persistante de M2 contre témoin dans les régimes non saturés;mode classique;témoin apparié par régime;témoin de même nombre d états et d entrées;nouvelles graines et points gelés;étendue finale de glace;effet > 0.05 dans au moins 6 graines sur 8;400 Ma;échec dans plus de deux graines ou effet transitoire;scan historique uniquement pour sélectionner les points;huit graines réservées;Non testé, protocole gelé;02_branche_systeme_solaire/tests_suivants/resultats/PROTOCOLE_C2B.json
H-CL-002;Une compilation radiométrique externe peut fournir un contrôle de chronologie et de proxy sans circularité orbitale.;branche 2 climat;exploratoire;âge, d18O, site, latitude, longitude;schéma exploitable et plusieurs sites indépendants;archive sans âge ou sans proxy;biais régional et hétérogénéité des grottes;audit de complétude sans ajustement orbital;aucune intervention, audit externe;nombre de lignes et sites, portée temporelle;colonnes âge et d18O reconnues, plusieurs sites;0-22 ka;schéma non reconnu ou un seul site;aucune;compilation NOAA;Non testé, données à acquérir;02_branche_systeme_solaire/tests_suivants/auditer_speleothemes.py
H-V-003;La réponse à la sélection des populations de vésicules comprend un signal parent-descendant et dépend des mécanismes d alimentation et de resuspension.;branche 3 prébiotique;confirmatoire;turbidité parent et descendant, régime FR FU UR UU;réponse FR positive, supérieure aux ablations et filiation supérieure à la permutation;dérive sans sélection;réponse de population sans transmission de lignée;permutation intra-génération de même taille;sélection contre dérive et ablations du mécanisme;réponse moyenne, corrélation de lignée, contraste d ablation;quatre composantes préenregistrées réussies;toutes les générations et trois répétitions;une composante échoue ou cartes de lignée non exploitées;aucune, jeu externe;douze classeurs Dryad;Non testé, données à acquérir;03_branche_vivant/lignees_vesicules/PROTOCOLE.md
H-V-004;L ascendance évolutive améliore la prédiction de la MIC au-delà de l environnement présent et d une histoire permutée de même complexité.;branche 3 vivant;confirmatoire;MIC, souche, limitation, antibiotique, ascendance;RMSE histoire inférieure aux deux témoins;état présent seul;histoire permutée;même architecture de modèle avec ascendance permutée;ajout ou permutation de l ascendance;RMSE groupée par souche;gain contre les deux témoins et p permutation < 0.05;jeu complet, souche toujours hors apprentissage;gain absent contre un témoin;aucune, jeu externe;souches laissées hors pli;Non testé, données à acquérir;03_branche_vivant/benchmark_histoire_antibiotique_2026/PROTOCOLE.md
