/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Susceptibility of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808946, 
	In supplement to: Channell, JET et al. (2008): Age calibrated relative paleointensity for the last 1.5 Myr from IODP Site U1308 (North Atlantic). Earth and Planetary Science Letters, 274, 59-71, https://doi.org/10.1016/j.epsl.2008.07.005
Related to:	Channell, James E T; Hodell, David A (2013): Magnetic signatures of Heinrich-like detrital layers in the Quaternary of the North Atlantic. Earth and Planetary Science Letters, 369-370, 260-270, https://doi.org/10.1016/j.epsl.2013.03.034
	Channell, James E T; Hodell, David A; Romero, Oscar E; Hillaire-Marcel, Claude; de Vernal, Anne; Stoner, Joseph S; Mazaud, Alain; Röhl, Ursula (2012): A 750-kyr detrital-layer stratigraphy for the North Atlantic (IODP Sites U1302–U1303, Orphan Knoll, Labrador Sea). Earth and Planetary Science Letters, 317-318, 218-230, https://doi.org/10.1016/j.epsl.2011.11.029
	Hodell, David A; Channell, James E T; Curtis, Jason H; Romero, Oscar E; Röhl, Ursula (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 49.877760 * LONGITUDE: -24.238110
	DATE/TIME START: 2004-10-30T00:00:00 * DATE/TIME END: 2004-10-30T00:00:00
	MINIMUM ELEVATION: -3871.0 m * MAXIMUM ELEVATION: -3871.0 m
Event(s):	303-U1308 * LATITUDE: 49.877760 * LONGITUDE: -24.238110 * DATE/TIME: 2004-10-30T00:00:00 * ELEVATION: -3871.0 m * PENETRATION: 1253.5 m * RECOVERY: 1246 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Exp303 (North Atlantic Climate 1) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 134 cores; 1246.0 m cored; 7.5 m drilled; 95.4 % recovery
Parameter(s):	Depth, composite [mcd] (Depth comp) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html) * METHOD/DEVICE: Intercore correlation
	Magnetic susceptibility, volume [10**-6 SI] (kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
	ARM Susceptibility/susceptibility ratio [A/m] (ARM/kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	32289 data points
*/
Depth comp [mcd]	kappa [10**-6 SI]	ARM/kappa [A/m]
3.67	317.4	2.676
3.68	309.6	2.817
3.69	298.0	2.960
3.70	267.7	3.276
3.71	222.9	3.833
3.72	192.2	4.288
3.73	174.3	4.527
3.74	161.0	4.685
3.75	152.6	4.744
3.76	151.3	4.635
3.77	157.0	4.369
3.78	162.6	4.173
3.79	162.9	4.150
3.80	156.6	4.351
3.81	153.9	4.475
3.82	162.5	4.298
3.83	175.8	4.003
3.84	175.4	4.012
3.85	170.1	4.078
3.86	171.8	3.936
3.87	171.7	3.777
3.88	156.6	3.917
3.89	141.0	4.065
3.90	151.1	3.509
3.91	178.0	2.824
3.92	190.7	2.583
3.93	193.6	2.518
3.94	197.3	2.421
3.95	198.6	2.290
3.96	200.5	2.131
3.97	209.5	1.895
3.98	214.2	1.737
3.99	220.3	1.597
4.00	228.8	1.494
4.01	233.3	1.508
4.02	238.4	1.603
4.03	247.1	1.709
4.04	274.3	1.714
4.05	316.5	1.628
4.06	349.4	1.582
4.07	356.1	1.644
4.08	339.6	1.791
4.09	319.3	1.944
4.10	307.4	2.044
4.11	299.2	2.100
4.12	283.8	2.205
4.13	266.9	2.345
4.14	263.1	2.398
4.15	255.5	2.489
4.16	240.2	2.658
4.17	229.9	2.777
4.18	225.2	2.834
4.19	223.9	2.829
4.20	230.0	2.732
4.21	240.0	2.587
4.22	238.9	2.588
4.23	233.6	2.657
4.24	240.2	2.626
4.25	258.9	2.494
4.26	277.4	2.383
4.27	288.4	2.310
4.28	295.0	2.240
4.29	301.5	2.117
4.35	320.2	1.413
4.36	393.2	1.393
4.37	464.6	1.363
4.38	547.6	1.285
4.39	642.6	1.185
4.40	674.5	1.189
4.41	590.8	1.400
4.42	515.7	1.652
4.43	503.6	1.762
4.44	527.5	1.763
4.45	551.7	1.758
4.46	588.9	1.694
4.47	623.6	1.628
4.48	620.5	1.657
4.49	608.0	1.712
4.50	646.6	1.617
4.51	695.7	1.514
4.52	727.0	1.459
4.53	769.2	1.376
4.54	786.6	1.326
4.55	732.6	1.369
4.56	642.5	1.471
4.57	570.2	1.552
4.58	560.2	1.494
4.59	576.2	1.405
4.60	574.7	1.378
4.61	552.4	1.415
4.62	536.2	1.439
4.63	534.2	1.421
4.64	532.4	1.407
4.65	541.4	1.370
4.66	592.5	1.243
4.67	699.7	1.056
4.68	742.8	1.008
4.69	613.0	1.246
4.70	489.2	1.598
4.71	433.0	1.846
4.72	405.8	2.007
4.73	385.0	2.141
4.74	363.0	2.278
4.75	340.9	2.426
4.76	314.4	2.614
4.77	284.3	2.882
4.78	254.0	3.206
4.79	235.5	3.447
4.80	231.4	3.507
4.81	234.9	3.467
4.82	241.0	3.390
4.83	251.7	3.255
4.84	260.7	3.143
4.85	262.7	3.118
4.86	262.6	3.100
4.87	265.2	3.042
4.88	263.1	3.038
4.89	258.1	3.048
4.90	256.2	3.021
4.91	257.1	2.972
4.92	258.4	2.918
4.93	256.0	2.906
4.94	250.2	2.923
4.95	243.6	2.951
4.96	242.0	2.898
4.97	234.9	2.910
4.98	219.4	3.013
4.99	211.1	3.024
5.00	203.4	3.052
5.01	189.7	3.220
5.02	170.1	3.606
5.03	149.1	4.231
5.04	137.3	4.759
5.05	135.2	4.982
5.06	134.8	5.165
5.07	139.3	5.213
5.08	149.9	5.045
5.09	155.8	4.983
5.10	161.8	4.708
5.11	173.3	4.118
5.12	182.4	3.637
5.13	186.8	3.418
5.14	203.3	3.152
5.15	231.2	2.848
5.16	251.0	2.734
5.17	269.5	2.667
5.18	289.6	2.577
5.19	304.8	2.523
5.20	314.0	2.489
5.21	304.0	2.579
5.22	275.4	2.811
5.23	250.6	3.009
5.24	236.0	3.067
5.25	210.6	3.281
5.26	176.1	3.710
5.27	153.3	4.033
5.28	137.7	4.233
5.29	120.9	4.533
5.30	108.7	4.786
5.31	100.4	4.931
5.32	96.3	4.931
5.33	89.5	5.111
5.34	80.0	5.496
5.35	77.9	5.484
5.36	81.2	5.136
5.37	83.8	4.946
5.38	82.0	5.121
5.39	81.6	5.206
5.40	81.0	5.306
5.41	79.4	5.447
5.42	78.8	5.484
5.43	78.8	5.451
5.44	76.7	5.574
5.45	73.9	5.714
5.46	71.7	5.817
5.47	71.6	5.796
5.48	75.2	5.484
5.49	86.5	4.826
5.50	115.1	3.735
5.51	196.6	2.301
5.52	388.4	1.262
5.53	590.8	0.902
5.54	480.7	1.187
5.55	268.2	2.192
5.56	167.9	3.472
5.57	138.4	4.085
5.58	137.7	4.017
5.59	149.9	3.688
5.60	165.3	3.421
5.61	179.8	3.256
5.62	201.7	3.016
5.63	235.4	2.701
5.64	290.5	2.293
5.65	387.0	1.799
5.66	500.0	1.452
5.67	498.4	1.518
5.68	403.7	1.936
5.69	339.3	2.370
5.70	325.7	2.515
5.71	334.4	2.488
5.72	347.7	2.414
5.73	366.6	2.304
5.74	388.0	2.176
5.75	411.6	2.045
5.76	435.9	1.920
5.77	466.6	1.783
5.78	487.6	1.685
5.79	491.0	1.638
5.85	522.6	1.111
5.86	594.2	1.159
5.87	603.8	1.278
5.88	611.4	1.352
5.89	629.2	1.366
5.90	592.8	1.480
5.91	516.3	1.699
5.92	439.5	1.961
5.93	359.3	2.336
5.94	287.9	2.802
5.95	249.2	3.097
5.96	204.7	3.622
5.97	166.5	4.256
5.98	139.4	4.849
5.99	124.1	5.224
6.00	122.1	5.166
6.01	121.3	5.160
6.02	117.8	5.311
6.03	115.8	5.446
6.04	116.6	5.453
6.05	113.0	5.625
6.06	107.5	5.846
6.07	93.5	6.533
6.08	78.2	7.427
6.09	70.2	7.662
6.10	70.3	6.970
6.11	72.9	6.071
6.12	75.0	5.363
6.13	72.1	5.056
6.14	66.2	5.052
6.15	66.0	4.836
6.16	68.4	4.700
6.17	68.7	4.977
6.18	67.7	5.419
6.19	68.7	5.706
6.20	73.9	5.745
6.21	79.3	5.803
6.22	83.3	5.977
6.23	85.3	6.247
6.24	85.7	6.568
6.25	85.1	6.880
6.26	85.9	7.022
6.27	85.2	7.226
6.28	85.9	7.258
6.29	85.8	7.349
6.30	85.0	7.452
6.31	85.1	7.440
6.32	84.9	7.457
6.33	84.5	7.493
6.34	84.2	7.521
6.35	80.3	7.855
6.36	80.9	7.798
6.37	81.7	7.723
6.38	83.0	7.632
6.39	84.2	7.548
6.40	83.8	7.650
6.41	82.3	7.787
6.42	83.6	7.662
6.43	86.0	7.426
6.44	88.3	7.260
6.45	90.6	7.104
6.46	92.2	7.008
6.47	93.1	6.990
6.48	93.8	6.994
6.49	93.5	7.039
6.50	93.3	7.060
6.51	91.7	7.151
6.52	89.7	7.282
6.53	88.5	7.354
6.54	88.2	7.323
6.55	89.3	7.204
6.56	89.9	7.133
6.57	91.3	6.993
6.58	91.6	6.966
6.59	90.4	7.032
6.60	90.3	6.988
6.61	88.9	7.036
6.62	87.0	7.078
6.63	85.4	7.094
6.64	83.1	7.138
6.65	79.9	7.262
6.66	77.8	7.301
6.67	76.8	7.234
6.68	73.1	7.460
6.69	72.1	7.429
6.70	70.3	7.509
6.71	69.1	7.564
6.72	70.0	7.394
6.73	70.1	7.312
6.74	69.4	7.312
6.75	69.2	7.298
6.76	69.6	7.222
6.77	71.8	6.965
6.78	72.6	6.926
6.79	73.4	6.886
6.80	73.1	6.910
6.81	74.7	6.796
6.82	77.6	6.611
6.83	80.3	6.414
6.84	83.7	6.212
6.85	86.1	6.101
6.86	88.1	6.016
6.87	91.0	5.910
6.88	98.0	5.564
6.89	107.0	5.194
6.90	116.7	4.869
6.91	125.2	4.617
6.92	127.3	4.641
6.93	127.0	4.732
6.94	126.1	4.842
6.95	129.7	4.786
6.96	143.2	4.423
6.97	161.0	4.059
6.98	178.2	3.781
6.99	201.9	3.447
7.00	219.1	3.258
7.01	209.3	3.459
7.02	178.6	4.052
7.03	147.6	4.819
7.04	135.2	5.129
7.05	135.6	4.968
7.06	134.7	4.888
7.07	128.1	5.080
7.08	123.1	5.247
7.09	124.3	5.198
7.10	132.0	4.893
7.11	140.0	4.650
7.12	143.6	4.587
7.13	144.3	4.632
7.14	152.6	4.448
7.15	158.1	4.356
7.16	159.4	4.400
7.17	161.2	4.413
7.18	172.4	4.169
7.19	184.3	3.927
7.20	193.8	3.762
7.21	199.9	3.658
7.22	202.2	3.629
7.23	200.0	3.682
7.24	196.0	3.782
7.25	194.9	3.830
7.26	202.8	3.718
7.27	215.0	3.506
7.28	237.8	3.150
7.29	255.4	2.863
7.35	247.8	2.201
7.36	218.4	2.832
7.37	186.1	3.565
7.38	156.5	4.400
7.39	132.5	5.274
7.40	118.1	5.897
7.41	107.3	6.417
7.42	97.7	6.893
7.43	93.5	7.045
7.44	91.3	7.044
7.45	88.2	7.124
7.46	87.9	7.008
7.47	89.7	6.726
7.48	93.6	6.255
7.49	101.1	5.566
7.50	103.2	5.091
7.51	94.0	5.081
7.52	75.4	5.532
7.53	58.8	6.028
7.54	52.9	5.651
7.55	52.9	4.893
7.56	53.0	4.278
7.57	50.6	3.906
7.58	44.7	3.732
7.59	40.2	3.336
7.60	37.3	2.793
7.61	34.7	2.329
7.62	32.4	1.971
7.63	33.2	1.591
7.64	34.6	1.328
7.65	33.4	1.248
7.66	30.9	1.254
7.67	29.0	1.255
7.68	28.8	1.203
7.69	28.5	1.180
7.70	29.3	1.125
7.71	29.7	1.100
7.72	31.3	1.060
7.73	32.3	1.049
7.74	30.7	1.137
7.75	30.8	1.174
7.76	31.7	1.189
7.77	32.6	1.211
7.78	34.0	1.228
7.79	35.0	1.278
7.80	35.2	1.384
7.81	35.6	1.520
7.82	35.5	1.733
7.83	36.8	1.952
7.84	36.6	2.353
7.85	38.2	2.739
7.86	41.1	3.088
7.87	44.2	3.447
7.88	47.0	3.786
7.89	48.3	4.145
7.90	47.5	4.559
7.91	45.9	4.935
7.92	43.6	5.316
7.93	43.3	5.483
7.94	44.8	5.584
7.95	47.8	5.729
7.96	50.6	6.106
7.97	53.0	6.640
7.98	55.6	7.283
7.99	59.1	7.947
8.00	66.8	8.090
8.01	72.0	8.452
8.02	66.5	9.784
8.03	59.2	10.868
8.04	54.8	10.923
8.05	53.4	10.021
8.06	54.7	8.821
8.07	55.3	8.038
8.08	55.9	7.600
8.09	55.5	7.430
8.10	55.8	7.346
8.11	56.1	7.306
8.12	55.9	7.334
8.13	54.9	7.460
8.14	55.4	7.395
8.15	55.1	7.391
8.16	53.5	7.567
8.17	53.8	7.514
8.18	56.7	7.142
8.19	59.4	6.898
8.20	61.9	6.696
8.21	64.8	6.511
8.22	66.5	6.458
8.23	67.9	6.438
8.24	69.3	6.385
8.25	69.1	6.514
8.26	69.4	6.516
8.27	69.5	6.586
8.28	68.8	6.684
8.29	68.7	6.727
8.30	70.0	6.639
8.31	71.7	6.554
8.32	74.5	6.374
8.33	77.8	6.167
8.34	80.5	6.056
8.35	83.2	5.952
8.36	85.2	5.897
8.37	87.4	5.839
8.38	88.5	5.852
8.39	91.1	5.767
8.40	98.5	5.436
8.41	108.8	5.061
8.42	116.3	4.907
8.43	123.1	4.797
8.44	132.3	4.618
8.45	143.3	4.404
8.46	156.8	4.168
8.47	178.1	3.795
8.48	225.1	3.115
8.49	320.4	2.267
8.50	412.1	1.830
8.51	374.2	2.095
8.52	296.9	2.751
8.53	266.8	3.193
8.54	269.2	3.305
8.55	279.8	3.306
8.56	292.0	3.296
8.57	305.2	3.269
8.58	322.4	3.212
8.59	348.8	3.077
8.60	382.7	2.916
8.61	412.1	2.811
8.62	430.7	2.795
8.63	450.6	2.761
8.64	472.9	2.705
8.65	488.5	2.685
8.66	501.2	2.668
8.67	515.6	2.627
8.68	533.9	2.556
8.69	545.2	2.508
8.70	544.4	2.511
8.71	557.1	2.450
8.72	582.8	2.337
8.73	611.3	2.224
8.74	639.2	2.127
8.75	659.4	2.054
8.76	675.9	1.989
8.77	694.3	1.908
8.78	708.2	1.817
8.79	723.3	1.696
8.85	668.6	0.936
8.86	614.1	1.142
8.87	563.4	1.316
8.88	521.7	1.440
8.89	491.8	1.507
8.90	474.7	1.525
8.91	467.0	1.502
8.92	478.9	1.428
8.93	508.3	1.330
8.94	517.7	1.311
8.95	502.0	1.362
8.96	490.8	1.393
8.97	481.0	1.411
8.98	458.6	1.463
8.99	439.9	1.503
9.00	443.0	1.481
9.01	472.7	1.393
9.02	483.5	1.378
9.03	451.5	1.481
9.04	420.1	1.591
9.05	393.1	1.713
9.06	371.5	1.827
9.07	363.3	1.903
9.08	364.8	1.929
9.09	364.1	1.981
9.10	355.4	2.065
9.11	348.4	2.143
9.12	350.3	2.152
9.13	352.0	2.171
9.14	341.8	2.258
9.15	320.8	2.428
9.16	306.4	2.542
9.17	308.8	2.507
9.18	312.1	2.480
9.19	318.0	2.450
9.20	332.6	2.388
9.21	356.6	2.276
9.22	375.6	2.215
9.23	385.4	2.210
9.24	396.2	2.188
9.25	409.6	2.148
9.26	415.3	2.130
9.27	433.4	2.058
9.28	465.7	1.948
9.29	489.6	1.899
9.30	506.2	1.902
9.31	508.5	1.967
9.32	495.6	2.079
9.33	475.9	2.207
9.34	463.4	2.300
9.35	467.6	2.295
9.36	482.1	2.242
