/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Paleointensity of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808945, 
4.890	1.0245
5.100	1.0373
5.300	0.9810
5.510	0.9208
5.710	0.8258
5.910	0.7413
6.120	0.6724
6.320	0.6458
6.530	0.6252
6.730	0.6311
6.930	0.6584
7.140	0.6854
7.340	0.6823
7.550	0.6660
7.750	0.6110
7.950	0.6054
8.160	0.5620
8.360	0.5165
8.570	0.4640
8.770	0.4242
8.970	0.3633
9.180	0.3196
9.380	0.2870
9.590	0.2470
9.790	0.1978
9.990	0.1196
10.200	0.0172
10.400	-0.0366
10.610	0.0406
10.810	0.2064
11.010	0.3519
11.220	0.4308
11.420	0.4490
11.630	0.4157
11.830	0.3595
12.030	0.2844
12.240	0.2214
12.440	0.1566
12.650	0.1081
12.850	0.0632
13.050	-0.0073
13.260	-0.0561
13.460	-0.1142
13.660	-0.1354
13.570	-0.1404
13.040	-0.1424
13.030	-0.1544
13.010	-0.1417
13.000	-0.1254
12.980	-0.0753
13.060	-0.0137
13.290	0.0550
13.520	0.1258
13.760	0.1470
13.990	0.1782
14.220	0.1683
14.550	0.1246
15.050	0.0813
15.550	0.0451
15.550	-0.0017
15.520	-0.0585
15.490	-0.0787
15.460	-0.1161
15.480	-0.1104
15.890	-0.1102
16.290	-0.1260
16.690	-0.1501
17.090	-0.1732
17.510	-0.1706
17.990	-0.1660
18.470	-0.2153
18.940	-0.2828
19.150	-0.3792
19.270	-0.4738
19.380	-0.5320
19.490	-0.5567
19.560	-0.6056
19.620	-0.6407
19.690	-0.6541
19.760	-0.6633
19.830	-0.6549
19.890	-0.6239
19.960	-0.5783
20.030	-0.5202
20.100	-0.4621
20.260	-0.4253
20.510	-0.4117
20.760	-0.4272
21.010	-0.4945
21.260	-0.5742
21.510	-0.6256
21.760	-0.6302
22.010	-0.5326
22.260	-0.3524
22.510	-0.1875
22.760	-0.1250
23.010	-0.2043
23.270	-0.3682
23.520	-0.5330
23.820	-0.6740
24.450	-0.8090
25.080	-0.9014
25.340	-0.9550
25.440	-0.9714
25.550	-0.9833
25.660	-1.0072
25.930	-1.0072
26.190	-1.0147
26.450	-1.0173
26.720	-1.0604
26.940	-1.1340
27.080	-1.2215
27.220	-1.2799
27.350	-1.2713
27.490	-1.2128
27.630	-1.1251
27.760	-1.0779
27.900	-1.0638
28.040	-1.0539
28.170	-1.0457
28.310	-1.0481
28.450	-1.0487
28.580	-1.0353
28.720	-1.0287
29.540	-0.4849
29.680	-0.5790
29.820	-0.6492
29.950	-0.6816
30.090	-0.7076
30.230	-0.7011
30.380	-0.7065
30.760	-0.7129
31.140	-0.6995
31.510	-0.6665
31.690	-0.6586
31.640	-0.6979
31.590	-0.7455
31.540	-0.8121
31.480	-0.8847
31.430	-0.9267
31.610	-0.9442
32.050	-0.9836
32.490	-1.0135
32.930	-1.0206
33.370	-1.0633
33.810	-1.0957
34.250	-1.1262
34.590	-1.1779
34.640	-1.2117
34.690	-1.2387
34.740	-1.2670
34.790	-1.2739
34.850	-1.2459
34.900	-1.1914
34.950	-1.1191
35.000	-1.0273
35.050	-0.9298
35.100	-0.8326
35.150	-0.7531
35.210	-0.6691
35.260	-0.6047
35.310	-0.5404
35.380	-0.4671
35.450	-0.4125
35.520	-0.3918
35.600	-0.3806
35.670	-0.3918
35.740	-0.3933
35.810	-0.3852
35.880	-0.3529
35.960	-0.3028
36.030	-0.2561
36.100	-0.2103
36.150	-0.1782
36.200	-0.1822
36.260	-0.2001
36.310	-0.2035
36.360	-0.1925
36.410	-0.1317
36.460	-0.0388
36.510	0.0632
36.560	0.1472
36.610	0.1850
36.670	0.1621
36.720	0.0953
36.770	-0.0337
36.820	-0.2179
36.870	-0.4378
36.920	-0.6507
36.970	-0.8420
37.020	-1.0209
37.070	-1.1577
37.130	-1.2825
37.180	-1.3851
37.230	-1.4732
37.280	-1.5294
37.330	-1.5294
37.380	-1.4738
37.430	-1.3857
37.480	-1.3012
37.530	-1.2202
37.590	-1.1639
37.640	-1.1392
37.690	-1.1078
37.740	-1.0831
37.790	-1.0258
37.840	-0.9289
37.890	-0.8100
37.940	-0.6897
38.000	-0.5934
38.050	-0.5252
38.100	-0.4917
38.150	-0.4830
38.200	-0.4615
38.250	-0.4620
38.300	-0.4822
38.350	-0.5280
38.410	-0.5384
38.460	-0.4898
38.510	-0.4344
38.560	-0.3746
38.610	-0.3413
38.660	-0.3524
38.710	-0.3706
38.760	-0.3996
38.820	-0.4301
38.870	-0.4645
38.920	-0.5264
38.970	-0.6144
39.020	-0.6987
39.070	-0.8033
39.120	-0.9150
39.170	-1.0165
39.220	-1.0631
39.280	-1.0397
39.330	-0.9870
39.380	-0.9369
39.430	-0.8935
39.480	-0.8560
39.530	-0.8190
39.580	-0.8131
39.630	-0.8361
39.690	-0.8646
39.740	-0.8876
39.790	-0.9021
39.840	-0.8867
39.890	-0.8634
39.940	-0.8732
39.990	-0.9752
40.040	-1.1304
40.100	-1.2965
40.150	-1.4097
40.230	-1.4859
40.320	-1.5379
40.400	-1.5752
40.490	-1.5939
40.580	-1.6179
40.660	-1.6588
40.740	-1.7277
40.830	-1.8130
40.920	-1.8776
41.000	-1.9042
41.090	-1.9018
41.170	-1.8982
41.260	-1.9232
41.430	-1.3069
41.510	-1.3772
41.600	-1.4444
41.690	-1.5046
41.770	-1.5504
41.860	-1.5707
41.940	-1.5726
42.030	-1.5615
42.110	-1.5451
42.200	-1.5286
42.280	-1.5180
42.370	-1.5031
42.460	-1.4970
42.540	-1.5030
42.630	-1.5189
42.710	-1.5304
42.850	-1.5253
42.980	-1.4976
43.110	-1.4511
43.240	-1.3811
43.380	-1.2877
43.510	-1.1958
43.640	-1.1045
43.780	-1.0267
43.910	-0.9301
44.040	-0.7938
44.180	-0.6398
44.310	-0.4857
44.440	-0.3527
44.580	-0.2262
44.710	-0.1351
44.840	-0.0793
44.970	-0.0746
45.110	-0.0904
45.240	-0.1308
45.370	-0.1828
45.510	-0.2288
45.640	-0.2935
45.770	-0.3594
45.910	-0.4303
46.040	-0.4900
46.170	-0.5396
46.310	-0.5788
46.440	-0.6250
46.570	-0.6433
46.700	-0.6528
46.840	-0.5982
46.970	-0.4547
47.100	-0.2182
47.240	0.0631
47.370	0.3428
47.500	0.6119
47.640	0.8131
47.770	0.9623
47.900	1.0448
48.030	1.1428
48.160	1.2086
48.280	1.2317
48.410	1.1746
48.530	1.0443
48.660	0.8843
48.780	0.6922
48.900	0.4890
49.030	0.2666
49.150	0.0553
49.280	-0.1226
49.400	-0.2095
49.530	-0.2372
49.650	-0.1820
49.780	-0.0605
49.900	0.1191
50.020	0.2981
50.150	0.4056
50.270	0.4790
50.400	0.4895
50.520	0.5026
50.640	0.5143
50.770	0.5372
50.890	0.5658
51.020	0.5840
51.140	0.5651
51.260	0.5399
51.390	0.5163
51.510	0.5046
51.640	0.5091
51.760	0.4899
51.890	0.4346
52.010	0.3384
52.130	0.2738
52.260	0.2141
52.380	0.1970
52.510	0.1866
52.630	0.2071
52.760	0.2559
52.880	0.3328
53.010	0.4344
53.130	0.5372
53.250	0.5714
53.380	0.5833
53.500	0.6080
53.630	0.6092
53.750	0.6452
53.870	0.7129
54.000	0.7433
54.120	0.8030
54.250	0.8235
54.370	0.7857
54.500	0.7074
54.620	0.6434
54.740	0.5684
54.870	0.5138
54.990	0.4485
55.120	0.3681
55.240	0.2777
55.370	0.1730
55.490	0.0780
55.610	0.0097
55.740	-0.0631
55.860	-0.1517
55.990	-0.2133
56.150	-0.2644
56.320	-0.3212
56.480	-0.3488
56.650	-0.3535
56.810	-0.3463
56.980	-0.3482
57.150	-0.3447
57.310	-0.3640
57.470	-0.3960
57.640	-0.4754
57.810	-0.5363
57.970	-0.5711
58.140	-0.6027
58.300	-0.6403
58.470	-0.6665
59.460	-0.2885
59.630	-0.1010
59.790	0.1336
59.960	0.2680
60.120	0.3182
60.290	0.2645
60.450	0.1567
60.620	0.0279
60.780	-0.0879
60.950	-0.2129
61.110	-0.3437
61.280	-0.4439
61.440	-0.4776
61.610	-0.4902
61.780	-0.5222
61.940	-0.6178
62.080	-0.7456
62.210	-0.8802
62.340	-1.0009
62.480	-1.0970
62.610	-1.1915
62.750	-1.2608
62.880	-1.2932
63.010	-1.2959
63.150	-1.2424
63.280	-1.1754
63.420	-1.1242
63.550	-1.0829
63.690	-1.0602
63.820	-1.0220
63.950	-0.9678
64.090	-0.8831
64.220	-0.7730
64.360	-0.6705
64.490	-0.5897
64.620	-0.5404
64.760	-0.5054
64.890	-0.4748
65.030	-0.4355
65.160	-0.4032
65.290	-0.3693
65.430	-0.3503
65.560	-0.3568
65.700	-0.3476
65.830	-0.3576
65.960	-0.3613
66.100	-0.3710
66.230	-0.3863
66.370	-0.4201
66.500	-0.4510
66.640	-0.4857
66.770	-0.5062
66.900	-0.5193
67.040	-0.5242
67.170	-0.5144
67.310	-0.5006
67.440	-0.4888
67.570	-0.4872
67.710	-0.4822
67.840	-0.5082
67.980	-0.5239
68.110	-0.5559
68.250	-0.5747
68.380	-0.5889
68.510	-0.6090
68.650	-0.6400
68.780	-0.6746
68.920	-0.6994
69.050	-0.6808
69.180	-0.6107
69.320	-0.5145
69.450	-0.3950
69.590	-0.1823
69.720	0.1705
69.850	0.5184
69.990	0.5388
70.120	0.1838
70.260	-0.1142
70.390	-0.0856
70.530	0.0084
70.660	-0.0124
70.790	-0.0626
70.930	-0.1097
71.060	-0.1439
71.190	-0.1558
71.330	-0.1436
71.460	-0.1116
71.600	-0.0933
71.730	-0.0650
71.870	-0.0622
72.070	-0.0452
72.280	-0.0285
72.490	-0.0225
72.690	-0.0282
72.900	-0.0488
73.110	-0.0766
73.320	-0.0965
73.520	-0.0914
73.730	-0.0711
73.940	-0.0336
74.140	0.0169
74.350	0.1078
74.560	0.2112
74.760	0.2889
74.970	0.3254
75.180	0.3167
75.390	0.2793
75.590	0.2254
75.800	0.1826
76.010	0.1197
76.210	0.0784
76.420	0.0352
76.630	-0.0638
76.830	-0.2198
77.040	-0.4544
77.250	-0.7639
77.460	-1.1158
77.660	-1.3683
77.870	-1.1450
78.080	-0.5680
78.280	-0.1227
78.490	0.0830
78.700	0.0231
78.900	-0.0219
79.110	0.0478
79.320	0.1653
79.530	0.2387
79.730	0.2550
79.940	0.2336
80.150	0.2034
80.350	0.1649
80.560	0.1431
80.770	0.1372
80.970	0.1267
81.180	0.1067
81.390	0.0742
81.600	0.0453
81.800	0.0263
82.010	0.0147
82.220	-0.0027
82.430	-0.0214
82.630	-0.0268
82.840	-0.0237
83.050	-0.0027
83.250	0.0035
84.500	0.0060
84.700	-0.0235
84.910	-0.0582
85.120	-0.0989
85.320	-0.1202
85.530	-0.1105
85.750	-0.0515
85.970	0.0156
86.190	0.0754
86.410	0.1225
86.630	0.1530
86.850	0.1206
87.070	0.0725
87.290	-0.0125
87.510	-0.0944
87.730	-0.1256
87.950	-0.1184
88.170	-0.0898
88.390	-0.0178
88.610	0.0517
88.830	0.0832
89.050	0.1020
89.270	0.0638
89.490	0.0026
89.710	-0.0023
89.930	0.0220
90.150	0.1083
90.370	0.1976
90.590	0.3041
90.810	0.4667
91.040	0.6333
91.250	0.7259
91.470	0.6556
91.690	0.5326
91.920	0.4099
92.140	0.3186
92.360	0.2872
92.580	0.2659
92.710	0.2524
92.840	0.2219
92.970	0.1990
93.100	0.1608
93.230	0.1463
93.360	0.1323
93.490	0.1062
93.630	0.0643
93.760	-0.0015
93.890	-0.1220
94.020	-0.2204
94.150	-0.3510
94.280	-0.4378
94.410	-0.4899
94.540	-0.4946
94.670	-0.4821
94.810	-0.4671
94.940	-0.4907
95.070	-0.5383
95.200	-0.5927
95.330	-0.6481
95.460	-0.6691
95.590	-0.6857
95.720	-0.7076
95.850	-0.7245
95.990	-0.7322
96.120	-0.7414
96.250	-0.7323
96.380	-0.7347
96.510	-0.7257
96.640	-0.7003
96.770	-0.6522
96.900	-0.5858
97.030	-0.5307
97.170	-0.4834
97.300	-0.4913
97.430	-0.5168
97.560	-0.5536
97.690	-0.5958
97.820	-0.6630
97.950	-0.7257
98.080	-0.7868
98.210	-0.8276
98.350	-0.8524
98.480	-0.8527
98.610	-0.8298
98.740	-0.8023
98.870	-0.7763
99.000	-0.7650
99.130	-0.7691
99.260	-0.7957
99.390	-0.8267
99.530	-0.8530
99.660	-0.8586
99.790	-0.8581
99.920	-0.8420
100.050	-0.8262
100.180	-0.8045
100.310	-0.7832
100.440	-0.7522
100.570	-0.7106
100.710	-0.6760
100.840	-0.6530
100.970	-0.6370
101.100	-0.6166
101.230	-0.5788
101.360	-0.5409
101.490	-0.5270
101.620	-0.5024
101.750	-0.4884
101.890	-0.4885
102.020	-0.4626
102.150	-0.4428
102.280	-0.4043
102.410	-0.3921
102.540	-0.3715
102.670	-0.3652
102.800	-0.3448
102.930	-0.3492
103.070	-0.3458
103.200	-0.3808
103.330	-0.4162
103.460	-0.4485
103.590	-0.4857
103.730	-0.5418
103.870	-0.6232
104.000	-0.6977
104.140	-0.7516
104.280	-0.7744
104.420	-0.7667
104.560	-0.7656
104.700	-0.7422
104.830	-0.7200
104.970	-0.6780
105.110	-0.6156
105.250	-0.5322
105.390	-0.4249
105.520	-0.3102
105.660	-0.1997
105.800	-0.0953
105.940	-0.0080
106.080	0.0195
106.220	0.0090
106.350	-0.0352
106.490	-0.1055
106.630	-0.2050
106.770	-0.3130
107.600	-0.2837
107.730	-0.3122
107.870	-0.3241
108.010	-0.3575
108.150	-0.4084
108.290	-0.4411
108.430	-0.4941
108.560	-0.5559
108.700	-0.6318
108.840	-0.6922
108.980	-0.7231
109.120	-0.7423
109.250	-0.7224
109.390	-0.6900
109.530	-0.6252
109.670	-0.5178
109.810	-0.3940
109.950	-0.1913
110.080	0.0403
110.220	0.2903
110.360	0.4736
110.500	0.5647
110.640	0.6365
110.770	0.7452
110.910	0.9559
111.050	1.3967
111.190	1.7789
111.330	2.3814
111.470	3.0672
111.600	3.7659
111.740	4.4455
111.880	4.9515
112.020	5.3646
112.160	5.6937
112.290	6.0003
112.430	6.2519
112.570	6.4507
112.710	6.5973
112.850	6.8087
112.990	7.0921
113.120	7.3324
113.260	7.2570
113.400	6.9377
113.540	6.3309
113.680	5.5661
113.810	4.7218
113.950	3.8191
114.090	2.9588
114.230	2.1196
114.370	1.3659
114.510	0.7974
114.640	0.3736
114.780	0.0743
114.920	-0.1420
115.060	-0.2677
115.200	-0.3473
115.330	-0.3920
115.470	-0.4161
115.610	-0.4446
115.750	-0.5090
115.890	-0.6054
116.020	-0.6834
116.160	-0.7178
116.300	-0.7140
116.440	-0.6985
116.580	-0.7133
116.720	-0.7201
116.850	-0.7470
116.990	-0.8104
117.130	-0.8924
117.270	-0.9397
117.410	-0.8938
117.540	-0.7928
117.680	-0.7108
117.820	-0.6688
117.960	-0.6779
118.100	-0.6975
118.240	-0.7219
118.370	-0.7542
118.510	-0.7895
118.650	-0.8123
118.790	-0.8493
118.930	-0.8768
119.060	-0.9146
119.200	-0.9663
119.340	-1.0139
119.480	-1.0666
119.620	-1.1264
119.760	-1.1812
119.890	-1.2299
120.030	-1.2669
120.170	-1.2909
120.310	-1.2994
120.450	-1.2955
120.580	-1.2907
120.720	-1.2760
120.860	-1.2556
121.000	-1.2190
121.140	-1.1775
121.280	-1.1407
121.410	-1.1068
121.550	-1.0796
121.690	-1.0561
121.830	-1.0322
121.970	-0.9858
122.100	-0.9085
122.240	-0.7985
122.380	-0.6856
122.520	-0.5926
122.660	-0.5168
122.800	-0.4882
122.930	-0.4586
123.070	-0.4561
123.210	-0.4751
123.350	-0.4655
123.490	-0.4109
123.620	-0.3112
123.760	-0.1881
123.900	-0.0535
124.040	0.0501
124.180	0.1086
124.310	0.1469
124.450	0.1530
124.590	0.1270
124.730	0.0806
124.870	0.0180
125.010	-0.0462
125.140	-0.1088
125.280	-0.1722
125.420	-0.2207
125.560	-0.2756
125.700	-0.3497
125.830	-0.4316
125.970	-0.4994
126.110	-0.5316
126.250	-0.5356
126.390	-0.5352
126.530	-0.5341
126.660	-0.5287
126.800	-0.4924
126.940	-0.4248
127.160	-0.3422
127.370	-0.2654
127.590	-0.2235
127.800	-0.2345
129.100	0.9481
129.310	0.9280
129.530	0.8236
129.740	0.7100
129.960	0.6095
130.180	0.4304
130.390	0.2317
130.610	0.0076
130.820	-0.2109
131.040	-0.3892
131.250	-0.5042
131.470	-0.5848
131.690	-0.6679
131.900	-0.7248
132.120	-0.7364
132.330	-0.7203
132.550	-0.6966
132.760	-0.6331
132.980	-0.5053
133.200	-0.3422
133.410	-0.1457
133.630	0.0555
133.840	0.2108
134.060	0.2758
134.270	0.3094
134.490	0.3165
134.710	0.3941
134.920	0.5059
135.140	0.6078
135.350	0.6503
135.570	0.6685
135.780	0.6749
136.000	0.7334
136.230	0.8133
136.460	0.9004
136.700	0.9854
136.930	1.0587
137.160	1.0367
137.390	0.9989
137.620	0.9796
137.860	0.9515
138.090	0.9080
138.320	0.8624
138.550	0.7934
138.780	0.7485
139.020	0.7006
139.250	0.6855
139.480	0.6908
139.710	0.6947
139.950	0.7113
140.180	0.7781
140.410	0.8454
140.640	0.9418
140.870	1.0838
141.110	1.2485
141.340	1.3657
141.570	1.3607
141.800	1.2267
142.030	0.9605
142.270	0.7571
142.500	0.6678
142.730	0.6289
142.960	0.6279
143.190	0.5622
143.430	0.5320
143.660	0.4825
143.890	0.4579
144.120	0.4650
144.350	0.4715
144.590	0.5384
144.820	0.5959
145.050	0.6489
145.280	0.6776
145.510	0.6540
145.750	0.6337
145.980	0.5624
146.210	0.4555
146.440	0.3396
146.680	0.2301
146.910	0.1659
147.140	0.1236
147.370	0.0917
147.600	0.1154
147.840	0.1472
148.070	0.1365
148.300	0.0706
148.530	0.0018
148.760	-0.0255
149.000	-0.0147
149.230	0.0581
149.460	0.1408
149.690	0.2058
149.920	0.2552
150.160	0.3290
150.390	0.4229
150.620	0.5213
150.850	0.5736
151.080	0.5992
151.320	0.6119
151.550	0.6226
151.780	0.6706
152.010	0.7001
152.240	0.6397
152.480	0.5864
152.710	0.5493
152.940	0.5977
153.170	0.7322
153.410	0.8386
153.640	0.9157
153.870	1.0342
154.100	1.1624
154.330	1.2946
154.570	1.3294
154.800	1.2245
155.030	0.9803
155.260	0.7226
155.490	0.5880
155.730	0.6114
155.960	0.6674
156.190	0.6097
156.420	0.4576
156.650	0.3036
156.890	0.1647
157.120	0.0664
157.350	0.0973
157.580	0.2215
157.810	0.3832
158.050	0.4928
158.280	0.5941
158.510	0.6345
158.740	0.6411
158.970	0.6596
159.210	0.6999
159.440	0.7590
159.670	0.9091
159.900	1.0687
160.140	1.2098
160.370	1.3026
160.600	1.3318
160.830	1.2858
161.060	1.2308
161.300	1.2111
161.530	1.2081
161.760	1.2099
161.990	1.1322
163.380	1.1300
163.620	1.0576
163.850	0.9588
164.080	0.8529
164.310	0.7346
164.540	0.6556
164.780	0.5979
165.010	0.4840
165.240	0.3705
165.470	0.2918
165.700	0.2732
165.940	0.3184
166.170	0.4291
166.400	0.5665
166.630	0.7429
166.860	0.8751
167.100	0.9671
167.330	1.0668
167.560	1.1454
167.790	1.2162
168.030	1.2621
168.260	1.2666
168.490	1.1853
168.720	1.0440
168.950	0.9097
169.190	0.8402
169.420	0.8348
169.650	0.8588
169.880	0.8608
170.110	0.8227
170.350	0.7381
170.580	0.6305
170.810	0.5344
171.040	0.4655
171.270	0.4186
171.510	0.3868
171.740	0.3196
171.970	0.2429
172.200	0.1718
172.430	0.1250
172.670	0.1457
172.900	0.1714
173.130	0.2346
173.360	0.2905
173.590	0.3368
173.830	0.3726
174.060	0.4338
174.290	0.4820
174.520	0.5146
174.760	0.5203
174.990	0.4824
175.220	0.4190
175.450	0.3490
175.680	0.3216
175.920	0.3253
176.150	0.3528
176.380	0.3621
176.610	0.3395
176.840	0.2850
177.080	0.2241
177.310	0.1639
177.540	0.1117
177.770	0.0498
178.000	-0.0323
178.240	-0.1092
178.470	-0.1694
178.700	-0.1918
178.930	-0.1799
179.160	-0.1851
179.400	-0.1979
179.630	-0.2024
179.860	-0.1844
180.090	-0.1090
180.320	0.0119
180.560	0.1590
180.790	0.2664
181.020	0.2845
181.250	0.2272
181.490	0.1016
181.720	-0.0387
181.950	-0.1796
182.180	-0.3222
182.410	-0.4551
182.650	-0.5621
182.880	-0.6538
183.110	-0.7216
183.340	-0.7808
183.570	-0.8342
183.810	-0.8643
184.040	-0.8906
184.270	-0.9029
184.500	-0.9037
184.730	-0.9246
184.970	-0.9209
185.200	-0.9229
185.430	-0.9156
185.660	-0.9108
185.890	-0.9227
186.130	-0.9499
186.360	-0.9884
186.590	-1.0493
186.820	-1.0839
187.050	-1.1142
187.290	-1.1297
187.520	-1.1356
187.750	-1.1424
187.980	-1.1550
188.220	-1.1602
188.450	-1.1870
188.680	-1.2365
188.910	-1.2988
189.140	-1.3661
189.380	-1.4334
189.610	-1.5140
189.840	-1.6069
190.070	-1.7001
190.300	-1.7613
190.540	-1.7478
190.770	-1.6612
191.000	-1.5098
191.110	-1.3045
191.230	-1.0762
191.340	-0.8072
191.450	-0.5862
191.570	-0.4288
191.680	-0.3284
191.800	-0.3050
191.910	-0.3252
192.020	-0.3398
192.140	-0.3203
192.250	-0.2840
192.360	-0.3253
192.480	-0.4768
192.590	-0.6945
192.700	-0.9759
192.820	-1.2197
192.930	-1.4004
193.050	-1.5490
193.160	-1.6480
193.270	-1.7142
193.390	-1.7563
193.500	-1.7775
193.610	-1.7744
193.730	-1.7471
193.840	-1.6988
193.950	-1.6392
194.070	-1.5810
194.180	-1.5497
194.300	-1.5483
194.980	-1.3008
195.090	-1.2238
195.200	-1.1581
195.320	-1.1137
195.430	-1.0628
195.550	-1.0153
195.660	-0.9822
195.770	-0.9576
195.890	-0.9306
196.000	-0.8804
196.110	-0.8378
196.230	-0.8514
196.340	-0.9246
196.450	-0.9907
196.570	-1.0195
196.680	-1.0181
196.800	-1.0025
196.910	-0.9854
197.020	-0.9524
197.140	-0.9249
197.250	-0.9051
197.360	-0.9082
197.480	-0.9268
197.590	-0.9539
197.700	-0.9746
197.820	-0.9826
197.930	-0.9843
198.050	-0.9656
198.160	-0.9564
198.270	-0.9430
198.390	-0.9178
198.500	-0.8863
198.610	-0.8425
198.730	-0.7914
198.840	-0.7192
198.950	-0.6514
199.070	-0.5875
199.180	-0.5226
199.300	-0.4707
199.410	-0.4177
199.520	-0.3921
199.640	-0.3863
199.750	-0.3820
199.860	-0.3617
199.980	-0.3036
200.090	-0.2026
200.200	-0.1226
200.320	-0.0746
200.430	-0.0562
200.550	-0.0638
200.660	-0.0540
200.770	-0.0133
200.890	0.0522
201.000	0.1248
201.150	0.1988
201.310	0.2364
201.460	0.2443
201.620	0.2541
201.770	0.2534
201.930	0.2529
202.080	0.2744
202.240	0.2830
202.390	0.3191
202.540	0.3605
202.700	0.3896
202.850	0.4261
203.010	0.4547
203.160	0.4908
203.320	0.5044
203.470	0.5133
203.630	0.5119
203.780	0.4794
203.930	0.4464
204.090	0.4420
204.240	0.4674
204.400	0.5582
204.550	0.7074
204.710	0.8912
204.860	1.0575
205.020	1.1212
205.170	1.0495
205.330	0.8411
205.480	0.5284
205.630	0.2086
205.790	-0.0916
205.940	-0.2711
206.100	-0.3558
206.250	-0.3873
206.410	-0.3983
206.560	-0.4094
206.720	-0.4415
206.870	-0.5007
207.020	-0.5762
207.180	-0.6728
207.330	-0.7577
207.490	-0.7844
207.640	-0.7801
207.800	-0.7438
207.950	-0.6834
208.110	-0.6027
208.260	-0.5442
208.410	-0.5040
208.570	-0.4822
208.720	-0.4711
208.880	-0.4686
209.030	-0.4494
209.190	-0.4429
209.340	-0.4172
209.500	-0.4138
209.650	-0.4200
209.800	-0.4364
209.960	-0.4843
210.110	-0.5217
210.270	-0.5750
210.420	-0.6259
210.580	-0.6546
210.730	-0.7004
210.890	-0.7350
211.040	-0.7688
211.200	-0.8014
211.350	-0.8288
211.500	-0.8160
211.660	-0.7942
211.810	-0.7425
211.970	-0.6774
212.120	-0.6091
212.280	-0.5520
212.430	-0.5107
212.590	-0.5157
212.740	-0.5476
212.890	-0.6116
213.050	-0.6739
213.200	-0.7171
213.360	-0.7108
213.510	-0.6855
213.670	-0.6134
213.820	-0.5271
213.980	-0.4674
214.130	-0.4282
214.280	-0.4332
214.440	-0.4627
214.590	-0.4880
214.750	-0.5104
214.900	-0.5537
215.060	-0.5678
215.980	-0.6616
216.140	-0.6000
216.290	-0.5341
216.450	-0.4815
216.600	-0.4318
216.760	-0.3711
216.910	-0.3173
217.070	-0.2721
