event_id,host,symbiont,gene_transfer,metabolic_integration,dependency,evidence_level,genome_retention_proxy,section_retention_json,derived_proxy
GCA_023898665,not_reported_in_source,Candidatus Nomurabacteria bacterium,,0.16,,,0.7204301075268817,"{""PMF"": 0.0, ""envelope"": 0.2, ""replication"": 0.9090909090909091, ""transcription"": 0.8, ""translation"": 0.9391304347826087}",True
GCA_024818515,not_reported_in_source,Candidatus Nasuia deltocephalinicola,,0.0,,,0.3548387096774194,"{""PMF"": 0.0, ""envelope"": 0.0, ""replication"": 0.18181818181818182, ""transcription"": 0.3, ""translation"": 0.5304347826086957}",True
GCA_025999335,not_reported_in_source,Candidatus Parcubacteria bacterium,,0.36,,,0.7204301075268817,"{""PMF"": 0.4, ""envelope"": 0.35, ""replication"": 0.6363636363636364, ""transcription"": 0.7, ""translation"": 0.8869565217391304}",True
GCA_025999395,not_reported_in_source,Candidatus Parcubacteria bacterium,,0.34,,,0.7204301075268817,"{""PMF"": 0.0, ""envelope"": 0.425, ""replication"": 0.6363636363636364, ""transcription"": 0.7, ""translation"": 0.8956521739130435}",True
GCA_026016225,not_reported_in_source,Candidatus Nealsonbacteria bacterium,,0.38,,,0.7311827956989247,"{""PMF"": 0.0, ""envelope"": 0.475, ""replication"": 0.7272727272727273, ""transcription"": 0.8, ""translation"": 0.8782608695652174}",True
GCA_027925225,not_reported_in_source,Candidatus Hepatoplasma sp.,,0.4,,,0.7311827956989247,"{""PMF"": 0.7, ""envelope"": 0.325, ""replication"": 0.7272727272727273, ""transcription"": 0.5, ""translation"": 0.8956521739130435}",True
GCA_030060845,not_reported_in_source,Candidatus Midichloria sp.,,0.84,,,0.9354838709677419,"{""PMF"": 0.7, ""envelope"": 0.875, ""replication"": 1.0, ""transcription"": 0.9, ""translation"": 0.9739130434782609}",True
GCA_900016775,not_reported_in_source,Serratia symbiotica,,0.88,,,0.9301075268817204,"{""PMF"": 0.8, ""envelope"": 0.9, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 0.9652173913043478}",True
GCA_900019315,not_reported_in_source,Candidatus Tremblaya princeps,,0.0,,,0.3924731182795699,"{""PMF"": 0.0, ""envelope"": 0.0, ""replication"": 0.2727272727272727, ""transcription"": 0.4, ""translation"": 0.5739130434782609}",True
GCA_944407095,not_reported_in_source,Candidatus Enterousia intestinigallinarum,,0.54,,,0.8440860215053764,"{""PMF"": 0.0, ""envelope"": 0.675, ""replication"": 0.9090909090909091, ""transcription"": 0.8, ""translation"": 0.9739130434782609}",True
GCA_946893605,not_reported_in_source,Candidatus Saccharibacteria bacterium,,0.34,,,0.7473118279569892,"{""PMF"": 0.6, ""envelope"": 0.275, ""replication"": 0.7272727272727273, ""transcription"": 0.8, ""translation"": 0.9217391304347826}",True
GCF_000008605,not_reported_in_source,Treponema pallidum subsp. pallidum str. Nichols,,0.56,,,0.8602150537634409,"{""PMF"": 0.0, ""envelope"": 0.7, ""replication"": 0.9090909090909091, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_000011745,not_reported_in_source,Candidatus Blochmannia pennsylvanicus str. BPEN,,0.96,,,0.9623655913978495,"{""PMF"": 0.9, ""envelope"": 0.975, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_000012345,not_reported_in_source,Candidatus Pelagibacter ubique HTCC1062,,0.86,,,0.9354838709677419,"{""PMF"": 0.8, ""envelope"": 0.875, ""replication"": 0.9090909090909091, ""transcription"": 0.8, ""translation"": 0.9826086956521739}",True
GCF_000013165,not_reported_in_source,Neorickettsia sennetsu str. Miyayama,,0.64,,,0.8602150537634409,"{""PMF"": 0.7, ""envelope"": 0.625, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.9652173913043478}",True
GCF_000021865,not_reported_in_source,Rhodobacter capsulatus SB 1003,,0.96,,,0.989247311827957,"{""PMF"": 0.9, ""envelope"": 0.975, ""replication"": 1.0, ""transcription"": 1.0, ""translation"": 1.0}",True
GCF_000027325,not_reported_in_source,Mycoplasmoides genitalium G37,,0.34,,,0.7473118279569892,"{""PMF"": 0.6, ""envelope"": 0.275, ""replication"": 0.6363636363636364, ""transcription"": 0.6, ""translation"": 0.9478260869565217}",True
GCF_000093065,not_reported_in_source,Candidatus Riesia pediculicola USDA,,0.66,,,0.8709677419354839,"{""PMF"": 0.0, ""envelope"": 0.825, ""replication"": 0.7272727272727273, ""transcription"": 0.8, ""translation"": 0.9826086956521739}",True
GCF_000195735,not_reported_in_source,Rickettsia prowazekii str. Madrid E,,0.9,,,0.9623655913978495,"{""PMF"": 0.8, ""envelope"": 0.925, ""replication"": 1.0, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCF_000196075,not_reported_in_source,Tropheryma whipplei TW08/27,,0.66,,,0.8494623655913979,"{""PMF"": 0.7, ""envelope"": 0.65, ""replication"": 0.8181818181818182, ""transcription"": 0.5, ""translation"": 0.9652173913043478}",True
GCF_000219175,not_reported_in_source,Candidatus Moranella endobia PCIT,,0.46,,,0.8387096774193549,"{""PMF"": 0.1, ""envelope"": 0.55, ""replication"": 0.9090909090909091, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCF_000247565,not_reported_in_source,Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony),,0.9,,,0.9354838709677419,"{""PMF"": 0.8, ""envelope"": 0.925, ""replication"": 0.6363636363636364, ""transcription"": 0.8, ""translation"": 0.991304347826087}",True
GCF_000287295,not_reported_in_source,Candidatus Carsonella ruddii HT isolate Thao2000,,0.12,,,0.46236559139784944,"{""PMF"": 0.5, ""envelope"": 0.025, ""replication"": 0.18181818181818182, ""transcription"": 0.4, ""translation"": 0.6434782608695652}",True
GCF_000304455,not_reported_in_source,Cardinium endosymbiont cEper1 of Encarsia pergandiella,,0.74,,,0.9032258064516129,"{""PMF"": 0.7, ""envelope"": 0.75, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.991304347826087}",True
GCF_000709555,not_reported_in_source,Candidatus Walczuchella monophlebidarum,,0.06,,,0.6774193548387096,"{""PMF"": 0.0, ""envelope"": 0.075, ""replication"": 0.45454545454545453, ""transcription"": 0.7, ""translation"": 0.9652173913043478}",True
GCF_000754265,not_reported_in_source,Candidatus Baumannia cicadellinicola,,0.9,,,0.967741935483871,"{""PMF"": 0.9, ""envelope"": 0.9, ""replication"": 1.0, ""transcription"": 0.9, ""translation"": 1.0}",True
GCF_000828515,not_reported_in_source,Candidatus Ishikawaella capsulata Mpkobe,,0.7,,,0.8924731182795699,"{""PMF"": 0.9, ""envelope"": 0.65, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_000829155,not_reported_in_source,Candidatus Karelsulcia muelleri PSPU,,0.18,,,0.6666666666666666,"{""PMF"": 0.6, ""envelope"": 0.075, ""replication"": 0.36363636363636365, ""transcription"": 0.5, ""translation"": 0.9217391304347826}",True
GCF_000931575,not_reported_in_source,Haemophilus influenzae,,0.94,,,0.9838709677419355,"{""PMF"": 0.8, ""envelope"": 0.975, ""replication"": 1.0, ""transcription"": 1.0, ""translation"": 1.0}",True
GCF_000974825,not_reported_in_source,Escherichia coli K-12,,0.98,,,0.9946236559139785,"{""PMF"": 0.9, ""envelope"": 1.0, ""replication"": 1.0, ""transcription"": 1.0, ""translation"": 1.0}",True
GCF_001242845,not_reported_in_source,Candidatus Westeberhardia cardiocondylae,,0.8,,,0.9032258064516129,"{""PMF"": 0.9, ""envelope"": 0.775, ""replication"": 0.5454545454545454, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_001269425,not_reported_in_source,Candidatus Baumannia cicadellinicola,,0.86,,,0.946236559139785,"{""PMF"": 0.9, ""envelope"": 0.85, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 1.0}",True
GCF_002119845,not_reported_in_source,Rhizobium etli,,0.9,,,0.967741935483871,"{""PMF"": 0.9, ""envelope"": 0.9, ""replication"": 1.0, ""transcription"": 1.0, ""translation"": 0.991304347826087}",True
GCF_002776555,not_reported_in_source,Legionella endosymbiont of Polyplax serrata,,0.78,,,0.9193548387096774,"{""PMF"": 0.9, ""envelope"": 0.75, ""replication"": 0.7272727272727273, ""transcription"": 0.9, ""translation"": 1.0}",True
GCF_002777075,not_reported_in_source,Chlamydia trachomatis,,0.64,,,0.8709677419354839,"{""PMF"": 0.0, ""envelope"": 0.8, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.9826086956521739}",True
GCF_002849995,not_reported_in_source,Candidatus Portiera aleyrodidarum,,0.22,,,0.6827956989247311,"{""PMF"": 0.6, ""envelope"": 0.125, ""replication"": 0.2727272727272727, ""transcription"": 0.6, ""translation"": 0.9304347826086956}",True
GCF_004296475,not_reported_in_source,endosymbiont of Sipalinus gigas,,0.36,,,0.7526881720430108,"{""PMF"": 0.0, ""envelope"": 0.45, ""replication"": 0.5454545454545454, ""transcription"": 0.7, ""translation"": 0.9478260869565217}",True
GCF_005080705,not_reported_in_source,Buchnera aphidicola (Therioaphis trifolii),,0.44,,,0.8172043010752689,"{""PMF"": 0.9, ""envelope"": 0.325, ""replication"": 0.6363636363636364, ""transcription"": 0.8, ""translation"": 1.0}",True
GCF_009883795,not_reported_in_source,Coxiella endosymbiont of Amblyomma sculptum,,0.82,,,0.9301075268817204,"{""PMF"": 0.8, ""envelope"": 0.825, ""replication"": 0.7272727272727273, ""transcription"": 0.9, ""translation"": 1.0}",True
GCF_012562765,not_reported_in_source,Enterobacteriaceae endosymbiont of Plateumaris pusilla,,0.78,,,0.9086021505376344,"{""PMF"": 0.9, ""envelope"": 0.75, ""replication"": 0.7272727272727273, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_012571345,not_reported_in_source,Enterobacteriaceae endosymbiont of Macroplea mutica,,0.46,,,0.8279569892473119,"{""PMF"": 0.1, ""envelope"": 0.55, ""replication"": 0.7272727272727273, ""transcription"": 0.8, ""translation"": 1.0}",True
GCF_013030075,not_reported_in_source,Neisseria gonorrhoeae,,0.92,,,0.978494623655914,"{""PMF"": 1.0, ""envelope"": 0.9, ""replication"": 1.0, ""transcription"": 1.0, ""translation"": 1.0}",True
GCF_013463375,not_reported_in_source,Candidatus Carsonella ruddii,,0.12,,,0.46774193548387094,"{""PMF"": 0.5, ""envelope"": 0.025, ""replication"": 0.18181818181818182, ""transcription"": 0.4, ""translation"": 0.6521739130434783}",True
GCF_013463555,not_reported_in_source,Candidatus Profftella armatura,,0.32,,,0.7688172043010753,"{""PMF"": 0.9, ""envelope"": 0.175, ""replication"": 0.6363636363636364, ""transcription"": 0.6, ""translation"": 0.991304347826087}",True
GCF_014251515,not_reported_in_source,Blattabacterium cuenoti,,0.72,,,0.8709677419354839,"{""PMF"": 0.7, ""envelope"": 0.725, ""replication"": 0.5454545454545454, ""transcription"": 0.8, ""translation"": 0.9739130434782609}",True
GCF_014251975,not_reported_in_source,Blattabacterium cuenoti,,0.54,,,0.8064516129032258,"{""PMF"": 0.7, ""envelope"": 0.5, ""replication"": 0.36363636363636365, ""transcription"": 0.8, ""translation"": 0.9652173913043478}",True
GCF_016889585,not_reported_in_source,Candidatus Karelsulcia muelleri,,0.0,,,0.5483870967741935,"{""PMF"": 0.0, ""envelope"": 0.0, ""replication"": 0.36363636363636365, ""transcription"": 0.5, ""translation"": 0.808695652173913}",True
GCF_017656055,not_reported_in_source,Candidatus Nardonella dryophthoridicola,,0.24,,,0.6881720430107527,"{""PMF"": 0.0, ""envelope"": 0.3, ""replication"": 0.45454545454545453, ""transcription"": 0.5, ""translation"": 0.9217391304347826}",True
GCF_019669085,not_reported_in_source,Borrelia sp. HM,,0.6,,,0.8655913978494624,"{""PMF"": 0.0, ""envelope"": 0.75, ""replication"": 0.9090909090909091, ""transcription"": 0.9, ""translation"": 0.9739130434782609}",True
GCF_019923565,not_reported_in_source,Candidatus Schneideria nysicola,,0.88,,,0.9247311827956989,"{""PMF"": 0.9, ""envelope"": 0.875, ""replication"": 0.45454545454545453, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCF_020541245,not_reported_in_source,Candidatus Annandia pinicola,,0.28,,,0.7258064516129032,"{""PMF"": 0.9, ""envelope"": 0.125, ""replication"": 0.5454545454545454, ""transcription"": 0.3, ""translation"": 0.9739130434782609}",True
GCF_021222645,not_reported_in_source,Candidatus Nanosynbacter sp. HMT-352,,0.42,,,0.7795698924731183,"{""PMF"": 0.6, ""envelope"": 0.375, ""replication"": 0.9090909090909091, ""transcription"": 0.7, ""translation"": 0.9304347826086956}",True
GCF_024205245,not_reported_in_source,Buchnera aphidicola (Sitobion miscanthi),,0.74,,,0.9139784946236559,"{""PMF"": 0.9, ""envelope"": 0.7, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 1.0}",True
GCF_025021925,not_reported_in_source,Wolbachia endosymbiont of Howardula sp.,,0.62,,,0.8655913978494624,"{""PMF"": 0.7, ""envelope"": 0.6, ""replication"": 0.6363636363636364, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCF_026644375,not_reported_in_source,Borreliella afzelii,,0.6,,,0.8709677419354839,"{""PMF"": 0.0, ""envelope"": 0.75, ""replication"": 0.9090909090909091, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_028856405,not_reported_in_source,Candidatus Purcelliella pentastirinorum,,0.76,,,0.9086021505376344,"{""PMF"": 0.8, ""envelope"": 0.75, ""replication"": 0.6363636363636364, ""transcription"": 0.9, ""translation"": 1.0}",True
GCF_900039485,not_reported_in_source,Candidatus Doolittlea endobia,,0.78,,,0.9139784946236559,"{""PMF"": 0.1, ""envelope"": 0.95, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.991304347826087}",True
GCF_900044015,not_reported_in_source,Candidatus Hoaglandella endobia,,0.76,,,0.9086021505376344,"{""PMF"": 0.0, ""envelope"": 0.95, ""replication"": 0.7272727272727273, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCF_900048035,not_reported_in_source,Candidatus Gullanella endobia,,0.64,,,0.8870967741935484,"{""PMF"": 0.0, ""envelope"": 0.8, ""replication"": 0.9090909090909091, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCF_900048045,not_reported_in_source,Candidatus Mikella endobia,,0.16,,,0.7311827956989247,"{""PMF"": 0.0, ""envelope"": 0.2, ""replication"": 0.5454545454545454, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_900090215,not_reported_in_source,secondary endosymbiont of Trabutina mannipara,,0.18,,,0.7311827956989247,"{""PMF"": 0.0, ""envelope"": 0.225, ""replication"": 0.5454545454545454, ""transcription"": 0.9, ""translation"": 0.9739130434782609}",True
GCF_900343015,not_reported_in_source,Arsenophonus endosymbiont of Aleurodicus dispersus,,0.36,,,0.8010752688172043,"{""PMF"": 0.0, ""envelope"": 0.45, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 0.9826086956521739}",True
GCF_900638335,not_reported_in_source,Campylobacter lari,,0.88,,,0.9354838709677419,"{""PMF"": 0.9, ""envelope"": 0.875, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.9826086956521739}",True
GCF_902713755,not_reported_in_source,Candidatus Portiera aleyrodidarum,,0.28,,,0.7365591397849462,"{""PMF"": 0.9, ""envelope"": 0.125, ""replication"": 0.5454545454545454, ""transcription"": 0.8, ""translation"": 0.9478260869565217}",True
GCF_902860225,not_reported_in_source,Candidatus Azoamicus ciliaticola,,0.42,,,0.7688172043010753,"{""PMF"": 0.9, ""envelope"": 0.3, ""replication"": 0.36363636363636365, ""transcription"": 0.9, ""translation"": 0.9478260869565217}",True
