edge_id;processus;type;branche;source_id;source_type;statut_preuve;score_preuve;score_source;plancher_documentaire;moyenne_documentaire;poids_activation_stress;perte_projection_ablation;perte_fermeture_stricte_ablation;noeuds_aval;voies_alternatives_min;appartient_cycle;cycle_ids;cycle_verrou_interfaces;entrees_manquantes_sans_arete;role_genealogique;priorite_calibrage;necessite_empirique;suffisance_empirique;temporalite_quantitative;reversibilite_physique;intervention_directe
H011;Instabilite de streaming;collectif;disque;S02;revue;modele;0.600;0.850;0.600;0.725;0.700;6;15;24;0;true;11;false;;progression;P1_documentation_effet_aval;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H012;Effondrement gravitationnel des filaments;transition;disque;S02;revue;modele_appuye;0.750;0.850;0.750;0.800;1.000;5;14;23;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H013;Accretion de planetesimaux en embryons;assemblage;planetaire;S12;revue;modele_appuye;0.750;0.850;0.750;0.800;1.000;2;3;17;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H014;Fusion rapide de precurseurs solides;transformation;disque;S06;article;observe_infere;0.850;0.950;0.850;0.900;1.000;0;0;1;1;true;2;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H015;Production collisionnelle de chondres;recyclage;planetaire;S07;article_modele;modele_appuye;0.750;0.800;0.750;0.775;1.000;0;0;13;1;false;;false;;retour;P3_redondante;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H016;Reincorporation des chondres;assemblage;disque;S07;article_modele;observe_infere;0.850;0.800;0.800;0.825;1.000;1;1;0;0;true;2;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H017;Separation isotopique NC-CC;filtrage;disque;S08;revue;observe;1.000;0.850;0.850;0.925;1.000;3;4;13;1;true;3|11;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H018;Reservoir CI distinct;separation;disque;S08;revue;observe_hypothese;0.650;0.850;0.650;0.750;1.000;1;1;8;0;true;3;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H019;Fuite de poussiere entre reservoirs;transport;disque;S09;prepublication;modele;0.600;0.550;0.550;0.575;0.700;0;0;13;1;true;3;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H020;Accretion precoce riche en 26Al;transformation;planetaire;S05;article;observe_infere;0.850;0.950;0.850;0.900;1.000;2;2;11;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H021;Accretion tardive et conservation primitive;transformation;planetaire;S03;mission_source;observe_infere;0.850;0.900;0.850;0.875;1.000;1;3;15;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H022;Alteration aqueuse du corps parent;transformation;planetaire;S03;mission_source;observe;1.000;0.900;0.900;0.950;1.000;2;2;13;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H023;Rupture collisionnelle du corps parent;fragmentation;planetaire;S03;mission_source;observe_infere;0.850;0.900;0.850;0.875;1.000;0;0;12;1;false;;false;;retour;P3_redondante;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H024;Reassemblage asteroidale;assemblage;planetaire;S03;mission_source;observe_infere;0.850;0.900;0.850;0.875;1.000;1;1;0;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H025;Separation metal-silicate;partitionnement;planetaire;S10;revue;observe_experience;0.950;0.850;0.850;0.900;1.000;1;1;9;0;true;25;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H026;Degazage et redistribution;transport;planetaire;S10;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;0;0;8;1;true;25;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H027;Capture et apport externe de volatils;transmission;planetaire;S12;revue;scenario_concurrent;0.450;0.850;0.450;0.650;0.700;0;0;7;1;true;3;false;;progression;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H028;Accretion majoritairement interne;assemblage;planetaire;S13;article_recent;scenario_concurrent;0.450;0.900;0.450;0.675;0.700;0;0;0;2;true;3;false;;progression;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H029;Accretion mixte NC-CC;assemblage;planetaire;S11;article;observe_infere;0.850;0.950;0.850;0.900;1.000;0;0;0;2;true;3;false;;progression;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H030;Formation de l inventaire accessible;selection;planetaire;S10;revue;definition_operationnelle;0.550;0.850;0.550;0.700;0.700;1;0;6;0;true;1|25;true;N054;progression;P1_cycle_verrou;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H031;Circulation entre reservoirs et interfaces;transport;interface;S14;perspective;observe_modele;0.800;0.650;0.650;0.725;1.000;2;0;6;0;true;1|25;true;N029;progression;P1_cycle_verrou;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H032;Serpentinisation;transformation;interface;S14;perspective;observe;1.000;0.650;0.650;0.825;1.000;1;0;2;0;true;1;false;N030;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H033;Organisation chimique aux interfaces;transition;interface;S14;perspective;hypothese_testable;0.350;0.650;0.350;0.500;0.350;2;0;0;0;true;1;false;N029|N030|N031;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H034;Survie de l inventaire baryonique;contrainte;cosmique;S15;revue_reference;observe_infere;0.850;1.000;0.850;0.925;1.000;0;0;52;0;true;32;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H035;Confinement des quarks;transformation;cosmique;S15;revue_reference;observe_experience;0.950;1.000;0.950;0.975;1.000;1;45;51;0;true;32;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H036;Nucleosynthese primordiale;assemblage;cosmique;S15;revue_reference;observe_infere;0.850;1.000;0.850;0.925;1.000;51;44;50;0;true;32;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H037;Recombinaison electronique;transformation;cosmique;S15;revue_reference;observe_infere;0.850;1.000;0.850;0.925;1.000;50;43;49;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H038;Formation de H2 et HD;transformation;cosmique;S16;revue;observe_infere;0.850;0.850;0.850;0.850;1.000;1;42;48;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H039;Refroidissement ouvrant l effondrement;condition;stellaire;S16;revue;modele_appuye;0.750;0.850;0.750;0.800;1.000;48;41;47;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H040;Formation des premieres etoiles;transition;stellaire;S17;revue;modele_appuye;0.750;0.850;0.750;0.800;1.000;47;40;46;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H041;Nucleosynthese hydrostatique et explosive;transformation;stellaire;S17;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;1;39;45;0;false;;false;;emission;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H042;Ejection par vents et explosions;transmission;stellaire;S17;revue;observe;1.000;0.850;0.850;0.925;1.000;2;38;44;0;false;;false;;emission;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H043;Enrichissement du milieu interstellaire;transmission;interstellaire;S17;revue;observe_infere;0.850;0.850;0.850;0.850;1.000;1;36;42;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H044;Condensation stellaire de grains;transformation;interstellaire;S04;mission_source;observe;1.000;0.900;0.900;0.950;1.000;1;36;42;0;false;;false;;emission;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H045;Chimie gazeuse glaces et surfaces;transformation;interstellaire;S18;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;1;35;41;0;false;;false;;emission;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H046;Transmission au nuage protosolaire;transmission;interstellaire;S04;mission_source;observe_infere;0.850;0.900;0.850;0.875;1.000;41;34;38;0;false;;false;;emission;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H047;Alimentation de la population de poussiere;assemblage;disque;S01;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;4;26;32;1;true;2;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H048;Destruction selective et tri des grains presolaires;filtrage;disque;S04;mission_source;observe;1.000;0.900;0.900;0.950;1.000;1;27;33;0;false;;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H049;Impacts geants entre embryons;transformation;planetaire;S12;revue;modele_appuye;0.750;0.850;0.750;0.800;1.000;1;2;8;0;false;;false;;retour;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H050;Cristallisation de l ocean magmatique et formation de croute;transformation;planetaire;S12;revue;observe_infere;0.850;0.850;0.850;0.850;1.000;1;1;7;0;true;25;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H051;Apport tardif apres segregation du noyau;transmission;planetaire;S25;article;observe_infere;0.850;0.950;0.850;0.900;1.000;1;1;9;0;true;3|25;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H052;Circulation hydrothermale entretenue;transport;interface;S14;perspective;observe;1.000;0.650;0.650;0.825;1.000;1;0;6;0;true;1;true;N030;progression;P1_cycle_verrou;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H053;Alteration aqueuse produisant des especes solubles;transformation;interface;S26;mission_source;observe;1.000;0.900;0.900;0.950;1.000;1;0;6;0;true;1;true;N053;progression;P1_cycle_verrou;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
