/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Dust concentration measured with a coulter counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695984, 
	In supplement to: Lambert, F et al. (2008): Dust-climate couplings over the past 800,000 years from the EPICA Dome C ice core. Nature, 452, 616-619, https://doi.org/10.1038/nature06763
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 11.8269 m * MAXIMUM DEPTH, ice/snow: 3188.8650 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * RECOVERY: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome_C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	New version of dataset doi:10.1594/PANGAEA.198744 published in Augustin et al. (2004, doi:10.1038/nature02599)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Dust concentration [µg/kg] (Dust conc) * PI: Petit, Jean Robert (jean-robert.petit@univ-grenoble-alpes.fr) * METHOD/DEVICE: Coulter counter
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	2308 data points
*/
Depth ice/snow [m]	Age model [ka]	Dust conc [µg/kg]
200.2250	5.968	11.76
201.1750	6.004	17.26
201.3800	6.012	10.04
202.4250	6.048	16.94
204.6250	6.128	13.75
205.7250	6.167	18.24
206.8250	6.206	9.10
207.9250	6.246	7.39
209.5750	6.307	8.16
211.2250	6.368	5.44
212.1750	6.404	8.06
212.3250	6.410	8.78
213.4250	6.450	7.30
216.7250	6.571	18.64
217.8250	6.613	14.24
218.9250	6.655	38.80
221.1250	6.736	26.12
222.2250	6.776	5.03
222.6250	6.792	21.14
223.8200	6.837	18.78
224.4250	6.858	5.80
226.0750	6.914	11.90
227.7250	6.975	12.38
228.8500	7.015	16.01
229.9250	7.056	10.76
232.1250	7.140	21.50
232.7300	7.163	6.13
233.2250	7.184	26.00
233.6250	7.201	6.28
234.3250	7.229	5.02
235.4250	7.271	18.18
237.0750	7.331	6.64
238.7200	7.393	23.22
239.8250	7.437	3.94
240.9250	7.479	10.02
242.5750	7.540	19.49
244.2250	7.596	5.22
244.6250	7.610	12.79
245.3250	7.634	18.66
246.4250	7.676	20.25
248.6250	7.754	24.15
249.7250	7.793	18.37
250.8250	7.834	16.63
251.9250	7.875	19.18
253.5750	7.934	18.32
255.2250	7.996	14.12
256.1750	8.033	14.03
256.3250	8.039	9.86
257.4250	8.084	22.24
259.0750	8.146	11.76
260.7250	8.214	10.94
261.8250	8.257	13.95
262.9250	8.299	12.76
265.1250	8.384	26.72
266.2250	8.428	17.42
267.3300	8.469	15.74
268.2750	8.504	18.37
268.4250	8.509	26.57
270.0750	8.571	7.04
271.7250	8.629	10.92
272.8250	8.669	10.28
273.9250	8.710	9.90
276.1750	8.793	19.70
276.6250	8.810	17.46
277.2250	8.834	14.23
278.1750	8.867	32.92
278.3250	8.873	23.88
279.4250	8.912	12.12
281.0750	8.970	13.16
282.7250	9.028	22.38
283.8250	9.067	18.62
284.9250	9.106	6.30
286.5750	9.169	16.72
288.2250	9.225	7.48
289.3250	9.263	19.94
290.4250	9.302	20.97
292.0750	9.358	17.47
293.7250	9.413	8.66
294.8250	9.448	13.21
295.9250	9.485	17.83
297.5750	9.543	17.08
299.3150	9.600	6.22
300.3250	9.634	11.42
301.4250	9.670	10.98
303.6250	9.739	15.97
304.7250	9.772	8.78
305.8250	9.810	13.86
306.9250	9.848	16.56
307.4750	9.867	15.54
308.5750	9.903	14.77
309.1250	9.921	20.12
309.6750	9.939	11.97
310.2250	9.958	9.32
311.1250	9.988	10.24
311.3250	9.995	2.99
311.8750	10.013	21.12
312.4250	10.030	11.95
312.9750	10.048	25.34
314.0750	10.084	27.35
314.6250	10.101	17.10
315.1750	10.118	14.68
316.8250	10.170	11.74
317.3750	10.188	6.74
317.9250	10.205	14.11
318.4750	10.223	70.20
319.5750	10.260	16.64
320.1250	10.279	5.07
320.6750	10.296	7.99
321.2250	10.314	4.98
321.9150	10.337	3.34
322.3250	10.351	11.80
322.8750	10.370	6.50
323.4250	10.389	56.37
323.9750	10.407	9.30
325.0750	10.446	7.55
325.6250	10.463	21.38
326.7375	10.496	16.08
327.2750	10.512	18.60
327.8250	10.528	12.72
328.3753	10.544	13.98
328.9250	10.563	14.08
329.4750	10.581	21.18
331.1250	10.637	15.79
332.2250	10.673	11.46
333.1750	10.704	10.02
333.3250	10.709	19.13
334.4250	10.747	21.74
336.0750	10.803	28.09
337.7250	10.857	10.96
338.8250	10.896	7.88
339.8750	10.930	6.78
339.9250	10.932	15.83
343.2250	11.043	21.00
343.6250	11.056	45.21
344.3250	11.079	10.40
345.4250	11.118	16.18
347.0750	11.176	14.07
348.7250	11.228	11.62
349.8250	11.265	20.36
350.9250	11.303	20.86
352.5750	11.354	30.72
354.2250	11.412	15.70
355.3250	11.449	10.26
355.7250	11.461	4.84
356.4250	11.483	50.98
358.0750	11.536	13.63
359.7250	11.594	8.47
360.8250	11.632	5.95
361.9250	11.668	11.84
363.0250	11.705	3.20
365.2250	11.780	5.82
367.4250	11.864	4.56
369.6250	11.950	10.52
370.7250	11.994	6.48
371.1250	12.010	2.86
371.8250	12.038	10.46
372.9250	12.084	6.54
375.1250	12.182	15.20
376.2250	12.228	9.48
377.8750	12.299	30.60
378.4250	12.325	8.41
381.1250	12.451	15.88
381.8250	12.483	16.46
382.8250	12.532	19.90
383.9250	12.590	17.04
387.2250	12.756	25.52
389.1250	12.854	17.39
389.4250	12.869	12.82
390.5250	12.923	24.64
392.7250	13.033	17.92
393.8250	13.088	59.78
394.9750	13.147	10.80
396.5750	13.223	25.88
398.2250	13.301	17.42
399.3250	13.355	33.96
400.4250	13.413	34.98
402.0750	13.496	37.94
403.7250	13.574	9.91
404.8250	13.631	36.42
405.9250	13.688	12.88
407.5750	13.771	38.34
409.2250	13.850	27.50
411.4250	13.957	27.20
413.0750	14.029	19.67
414.7250	14.107	27.66
416.3750	14.181	20.09
416.9250	14.206	18.88
418.5750	14.274	23.54
420.2250	14.342	13.38
421.8750	14.418	68.23
422.4250	14.443	13.04
425.7250	14.603	22.19
427.3750	14.689	22.80
427.9250	14.717	48.26
429.5750	14.798	17.62
431.2250	14.877	32.66
431.6250	14.898	35.56
432.8750	14.960	41.03
433.4250	14.986	30.60
435.0750	15.071	33.66
436.7250	15.154	58.80
437.1250	15.175	31.10
437.8400	15.213	46.30
438.3750	15.243	54.42
438.9350	15.275	87.96
441.1250	15.399	64.78
442.7250	15.486	80.08
443.8750	15.551	76.22
444.4250	15.583	147.96
446.0750	15.674	50.04
447.7250	15.767	189.06
448.8250	15.831	148.17
449.9250	15.896	76.70
452.0750	16.027	134.05
453.2250	16.098	205.71
454.3250	16.163	173.59
455.4250	16.232	319.80
457.0750	16.336	199.00
459.1250	16.470	162.46
460.3750	16.554	135.80
460.9250	16.591	319.39
462.0250	16.667	449.72
463.5250	16.775	235.08
464.9750	16.884	216.92
466.9800	17.027	359.72
467.5250	17.068	441.16
468.7650	17.161	205.24
469.8250	17.242	278.88
470.2750	17.277	192.02
471.9250	17.409	314.33
473.1750	17.513	640.50
473.5750	17.547	529.50
474.1250	17.588	517.00
475.2250	17.678	282.20
476.3250	17.766	509.50
477.4250	17.859	299.42
478.5250	17.951	115.39
479.0750	17.995	933.00
479.7750	18.052	427.98
480.8050	18.137	479.10
482.3250	18.264	847.00
484.1750	18.419	887.00
485.1250	18.496	559.50
486.9150	18.646	504.50
487.3250	18.680	572.00
487.9050	18.728	443.48
489.5900	18.870	941.00
490.0750	18.910	539.00
490.6950	18.961	581.00
491.9750	19.071	530.00
492.8250	19.141	1470.00
493.9250	19.228	405.20
495.6250	19.371	423.43
496.1250	19.413	1279.00
498.3250	19.605	364.77
498.9750	19.663	148.92
499.9750	19.748	688.50
501.1250	19.840	736.00
501.6250	19.883	762.50
502.7250	19.981	288.18
503.9250	20.082	442.03
504.3750	20.120	480.54
504.9250	20.165	854.50
506.0650	20.263	590.50
506.5750	20.307	689.00
507.1250	20.355	763.50
509.0150	20.518	555.50
509.3250	20.543	829.00
511.5750	20.737	453.82
512.0750	20.779	831.50
514.5350	20.991	384.14
514.8250	21.017	674.50
516.4750	21.157	1083.50
517.0750	21.208	816.00
518.1250	21.302	803.00
519.8950	21.447	745.50
520.3250	21.485	702.50
521.4250	21.580	972.50
522.5450	21.680	678.00
524.1750	21.817	827.00
526.3750	22.004	778.50
528.0250	22.152	1334.00
528.5750	22.201	796.00
531.3250	22.438	620.50
532.9750	22.579	854.50
537.3750	22.969	605.50
539.0750	23.110	383.28
539.5750	23.151	545.50
543.8250	23.518	511.50
545.0750	23.624	961.50
547.8250	23.866	1322.00
548.9250	23.968	601.00
550.5750	24.122	564.00
553.8750	24.417	640.50
557.1750	24.717	1366.00
558.8250	24.870	556.50
561.5750	25.126	981.50
564.3250	25.386	802.00
567.0750	25.642	1297.50
569.8250	25.902	1525.00
573.1250	26.209	374.94
574.7750	26.366	372.04
577.5250	26.622	896.50
580.8250	26.935	589.00
585.2300	27.335	456.66
586.3300	27.428	392.65
587.4350	27.527	355.97
588.5300	27.630	585.00
589.6300	27.720	117.25
591.2200	27.861	416.68
591.8300	27.914	324.94
592.9600	28.019	302.74
594.0300	28.121	434.80
595.1300	28.227	363.49
596.7200	28.370	293.96
597.8200	28.462	807.50
598.4200	28.514	633.00
599.5300	28.611	127.94
601.1200	28.757	205.92
601.7300	28.812	330.61
602.8300	28.910	341.10
603.9200	29.006	375.80
605.0300	29.101	464.46
606.1300	29.194	436.61
607.2300	29.285	493.13
608.3300	29.378	713.00
609.4300	29.477	548.00
610.5800	29.577	252.20
612.7300	29.761	1126.50
613.8300	29.865	592.50
614.9300	29.970	881.50
616.0300	30.074	844.50
617.1300	30.179	1473.50
618.2300	30.280	566.50
619.3300	30.383	516.00
620.4300	30.485	443.22
624.8300	30.886	403.56
626.4200	31.029	605.00
627.0300	31.088	550.00
628.1300	31.197	383.82
629.2300	31.306	584.00
630.3300	31.410	319.63
631.4300	31.514	331.04
632.5300	31.621	550.50
633.6300	31.728	286.18
634.7300	31.824	122.81
635.8900	31.927	293.48
636.9300	32.014	210.96
638.0300	32.107	141.88
640.2300	32.304	121.65
641.3300	32.401	114.03
642.4600	32.502	296.61
643.5300	32.601	244.26
644.6300	32.710	288.38
645.7300	32.819	422.61
646.8300	32.924	355.23
647.9300	33.027	379.88
649.2600	33.143	304.65
650.1300	33.217	279.94
651.2300	33.312	241.58
652.8600	33.454	268.01
653.4200	33.504	234.64
654.5300	33.602	296.24
655.6300	33.702	315.10
660.0300	34.133	273.47
661.1300	34.237	169.96
662.2300	34.345	88.45
663.3350	34.448	239.46
664.9230	34.589	124.44
665.5300	34.643	58.79
668.2100	34.876	249.23
668.8300	34.931	121.74
669.9300	35.026	205.84
671.0300	35.119	111.88
672.1300	35.217	174.64
674.3300	35.409	125.14
675.4300	35.504	150.42
676.5300	35.604	115.50
677.6300	35.701	221.63
678.7300	35.801	152.35
679.8300	35.906	55.14
681.4300	36.049	247.19
682.0300	36.104	155.42
684.2300	36.311	171.82
685.3300	36.409	147.61
686.4500	36.510	416.59
687.5300	36.607	219.06
688.6400	36.708	103.44
689.7400	36.810	133.52
690.8400	36.915	76.86
691.9300	37.010	131.04
693.0300	37.103	194.96
695.7200	37.335	60.54
696.3400	37.387	73.19
697.4300	37.482	74.25
698.5300	37.573	65.56
699.6300	37.658	19.93
700.7300	37.739	87.46
702.3200	37.856	232.80
702.9300	37.901	28.42
704.0300	37.995	115.63
705.1800	38.088	43.16
706.2700	38.175	43.86
707.3300	38.265	54.75
708.9250	38.393	45.52
710.0200	38.482	76.87
710.6450	38.532	35.65
711.7300	38.618	81.13
712.8300	38.707	33.02
713.9300	38.801	65.06
715.0300	38.889	98.51
716.1300	38.979	83.26
717.2300	39.071	60.91
718.3300	39.164	131.73
719.4250	39.264	256.42
722.7300	39.572	243.44
724.3250	39.730	260.88
725.4200	39.835	309.94
726.0300	39.892	266.69
727.1300	39.992	262.56
728.7200	40.136	204.55
729.3300	40.191	275.23
730.4300	40.296	244.90
731.5700	40.400	192.98
732.6300	40.493	84.41
733.7300	40.600	266.94
734.8300	40.708	187.87
736.4250	40.863	172.80
737.0300	40.923	230.00
738.1300	41.026	119.62
739.7200	41.171	250.00
740.3350	41.226	101.12
741.4300	41.319	124.50
743.0150	41.466	215.14
743.6450	41.520	182.32
744.7450	41.624	126.62
745.8400	41.729	295.23
747.4200	41.882	129.76
748.0300	41.943	315.81
750.2300	42.164	190.76
751.3300	42.271	223.68
752.9200	42.420	158.01
753.5300	42.475	315.73
754.6600	42.578	205.48
755.7300	42.676	204.38
757.3200	42.825	114.20
757.9300	42.879	161.24
759.0300	42.972	55.76
760.1300	43.066	156.94
761.2300	43.159	39.78
762.3300	43.255	80.44
763.4250	43.356	164.95
764.5300	43.449	172.82
765.6550	43.551	133.28
766.7500	43.651	172.25
767.8300	43.749	123.33
768.9300	43.852	186.14
770.0500	43.958	207.38
771.1700	44.065	291.27
771.6000	44.107	181.22
772.2300	44.169	262.26
773.3300	44.279	302.89
774.4400	44.385	256.90
776.0150	44.532	136.75
776.1200	44.542	70.84
778.8500	44.798	121.96
780.4200	44.943	101.15
781.0500	45.001	133.02
781.6050	45.051	61.50
782.1300	45.098	80.49
783.7200	45.234	109.26
784.3300	45.287	122.12
785.4900	45.385	78.54
786.5900	45.478	83.92
787.5650	45.559	116.58
793.0600	45.989	56.36
798.5650	46.424	208.42
804.0650	46.837	41.74
809.0850	47.249	94.97
814.5850	47.712	62.88
820.0850	48.220	255.84
826.6150	48.816	156.24
831.5650	49.266	182.85
837.1350	49.773	277.18
842.5650	50.258	200.40
848.0650	50.746	93.12
853.0850	51.196	162.04
858.5850	51.674	133.16
864.0850	52.120	73.42
869.5850	52.582	163.86
875.0850	53.029	57.68
880.5800	53.442	39.64
886.0800	53.895	127.28
891.5800	54.350	62.41
897.0800	54.846	106.06
903.0300	55.352	173.51
908.0800	55.815	156.37
913.5900	56.330	194.83
919.0800	56.815	168.60
924.5800	57.260	51.92
930.1000	57.717	45.72
935.5800	58.172	67.12
941.0800	58.594	51.46
946.5800	59.026	51.30
952.5700	59.511	83.22
957.5800	59.927	246.14
963.0800	60.416	340.25
968.5800	60.899	88.04
974.0800	61.397	136.80
979.5800	61.922	267.48
985.0800	62.483	703.00
990.5800	63.083	392.16
996.0800	63.669	309.00
1001.5800	64.222	376.79
1007.0800	64.821	249.18
1012.5800	65.419	945.50
1018.0800	66.045	289.81
1023.5900	66.671	471.00
1029.1400	67.306	842.50
1034.5800	67.912	689.00
1040.0800	68.520	283.92
1045.5800	69.144	319.44
1051.1300	69.749	152.48
1056.5800	70.299	75.61
1062.0800	70.781	34.42
1067.5800	71.283	42.41
1073.0800	71.807	23.78
1078.5800	72.366	209.85
1084.0800	72.959	183.38
1089.5800	73.498	110.62
1095.0800	73.997	67.12
1100.5825	74.462	40.50
1106.0800	74.915	35.10
1111.5800	75.424	72.70
1117.0800	75.985	119.40
1122.5800	76.535	221.95
1128.0800	77.076	87.96
1133.5800	77.604	159.38
1139.0800	78.152	63.96
1144.5800	78.673	89.04
1150.0850	79.181	93.34
1155.5850	79.673	86.14
1161.0850	80.156	44.08
1166.5975	80.637	68.14
1172.0850	81.117	81.94
1177.5850	81.594	36.66
1183.0850	82.040	57.62
1188.5850	82.472	39.42
1194.0850	82.892	86.56
1199.5850	83.297	34.08
1205.0850	83.719	38.82
1210.5850	84.145	18.24
1216.0850	84.592	75.15
1221.5850	85.049	30.48
1227.0850	85.518	81.90
1232.5850	86.013	68.54
1238.0850	86.523	15.36
1243.5850	87.067	89.01
1254.5850	88.233	129.87
1260.0850	88.797	77.44
1265.5150	89.333	97.84
1276.5850	90.383	36.48
1282.0850	90.942	74.97
1287.5850	91.503	84.72
1293.0850	92.044	56.20
1298.5850	92.581	21.26
1304.0850	93.107	101.66
1309.5850	93.629	33.38
1315.0850	94.136	22.58
1320.5850	94.652	51.38
1326.0850	95.136	33.11
1331.5850	95.665	21.22
1337.0825	96.185	58.33
1342.5850	96.702	39.00
1348.0850	97.221	30.87
1353.5850	97.738	49.86
1359.1025	98.256	51.12
1364.5850	98.775	36.14
1370.0850	99.321	50.58
1375.5850	99.852	63.82
1381.0850	100.377	66.20
1386.5850	100.896	62.73
1392.0850	101.413	61.56
1397.5850	101.933	31.62
1403.0850	102.483	35.26
1408.5850	103.056	56.36
1414.0850	103.710	137.34
1419.5850	104.334	51.12
1425.0850	104.921	91.82
1430.5850	105.499	45.32
1436.0850	106.070	26.02
1441.5850	106.604	24.64
1447.6350	107.227	28.18
1452.5850	107.786	59.66
1458.0850	108.492	46.64
1463.5850	109.215	43.91
1469.0850	109.890	65.80
1474.5850	110.552	22.10
1485.5850	111.869	36.87
1491.0850	112.531	58.18
1496.5850	113.166	14.58
1502.0850	113.779	9.85
1507.5850	114.345	14.54
1513.0850	114.903	14.18
1518.5850	115.440	15.29
1524.0850	115.979	23.36
1529.6000	116.505	24.14
1535.0850	117.004	12.56
1540.5850	117.485	10.04
1546.0850	117.957	12.00
1551.5850	118.415	2.70
1557.0850	118.877	8.94
1562.5850	119.320	35.39
1568.0850	119.763	7.40
1573.5850	120.198	11.15
1584.5850	121.042	12.18
1590.0850	121.455	21.48
1595.5850	121.857	18.42
1601.0850	122.279	9.67
1606.6050	122.685	13.00
1612.0850	123.081	9.79
1617.5850	123.489	11.80
1623.0850	123.885	24.45
1628.5850	124.275	24.66
1634.0850	124.672	17.61
1639.6250	125.094	15.63
1645.0850	125.508	19.08
1650.5850	125.938	26.18
1656.0850	126.362	34.07
1661.5850	126.791	12.50
1667.0850	127.167	31.04
1672.5850	127.551	46.11
1678.0850	127.915	9.62
1683.5850	128.251	18.89
1689.0850	128.569	9.18
1694.5850	128.891	9.27
1700.0850	129.226	17.02
1705.5850	129.562	3.94
1711.0850	129.909	35.39
1716.5850	130.271	6.81
1727.5850	131.088	6.76
1731.9850	131.445	7.84
1733.0850	131.545	10.04
1738.5850	132.070	17.51
1744.0850	132.628	19.06
1749.5850	133.262	69.50
1755.0850	133.946	94.50
1760.5850	134.708	97.97
1766.0800	135.598	316.02
1771.5850	136.559	251.26
1777.0850	137.554	167.70
1782.5850	138.560	194.36
1788.0850	139.634	361.44
1793.5850	140.708	324.86
1799.6350	141.894	386.28
1804.0350	142.746	309.36
1810.0850	143.910	875.00
1815.5850	144.966	394.87
1821.0850	146.049	403.36
1826.5850	147.067	431.72
1832.0850	148.130	150.91
1837.5850	149.171	186.14
1843.0850	150.173	182.20
1848.5850	151.169	262.08
1854.0850	152.193	156.02
1859.5850	153.209	369.52
1865.0850	154.312	444.73
1867.8350	154.889	740.50
1870.5850	155.471	632.00
1876.0850	156.682	643.50
1881.5850	157.863	450.52
1887.0850	158.918	69.42
1892.5850	159.904	104.14
1898.0850	160.988	567.00
1903.5850	162.083	169.70
1909.0850	163.087	204.22
1914.5850	164.206	421.48
1920.0850	165.424	169.26
1925.5850	166.593	217.70
1931.0850	167.707	110.60
1936.5850	168.726	104.58
1942.0850	169.785	86.04
1947.5850	170.923	160.88
1953.0850	172.015	88.04
1958.5850	173.104	189.21
1964.0850	174.299	266.20
1969.5850	175.469	306.94
1975.0850	176.736	150.46
1980.5850	177.807	81.19
1986.0850	178.839	175.52
1997.0850	181.359	507.00
2002.5850	182.671	326.15
2008.0850	184.018	264.79
2013.5850	185.362	270.32
2019.0850	186.641	32.88
2024.5850	187.738	29.42
2030.0850	188.764	37.98
2035.5850	189.920	86.06
2046.5850	192.339	34.35
2052.0850	193.528	125.70
2057.5850	194.761	88.54
2063.0850	195.860	64.09
2068.5850	196.900	32.88
2074.0850	197.843	28.26
2079.5850	198.720	35.18
2085.0850	199.589	29.13
2086.1850	199.767	14.51
2090.5850	200.454	12.78
2096.0850	201.329	21.04
2101.5850	202.255	17.45
2107.0850	203.317	28.62
2112.5850	204.435	24.05
2118.0850	205.471	26.84
2123.5850	206.464	14.40
2129.2050	207.468	21.20
2134.5850	208.382	17.40
2140.0850	209.286	21.20
2145.5850	210.162	18.78
2150.5350	210.932	16.62
2156.5850	211.883	26.03
2162.1750	212.799	34.57
2167.5850	213.685	38.98
2173.0850	214.585	18.62
2178.5850	215.433	23.34
2184.0850	216.344	19.74
2195.0850	218.542	49.80
2199.5250	219.532	72.60
2200.7750	219.826	68.14
2201.0350	219.888	68.86
2201.7250	220.058	104.64
2202.8250	220.325	90.24
2203.9250	220.608	107.55
2205.0250	220.894	119.24
2209.4250	222.135	188.60
2218.2250	224.860	108.24
2222.6500	226.109	34.98
2227.0250	227.232	63.70
2231.4250	228.585	127.46
2235.8250	229.894	36.22
2240.2250	231.243	70.02
2244.6250	232.504	48.36
2249.0250	233.710	43.85
2253.4250	234.824	44.05
2257.8250	235.831	32.36
2262.2250	236.768	39.88
2266.6300	237.690	60.06
2271.0250	238.589	37.61
2275.4250	239.455	41.74
