/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Fine particle percentage measured with a laser particle counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695987, 
424.536	-0.1263
425.537	-0.1923
426.715	0.1626
428.065	0.5770
429.718	0.3489
431.767	0.1134
432.870	-0.0019
433.969	-0.0583
435.023	-0.1782
436.141	-0.1339
437.267	-0.2469
438.423	-0.0610
439.625	-0.0839
440.798	-0.0492
441.954	0.0085
443.120	-0.0035
444.216	-0.1283
445.342	-0.1712
446.471	0.0376
447.536	0.1285
448.573	0.1060
449.719	-0.0015
450.881	-0.2011
452.042	-0.3525
453.229	-0.2590
454.400	-0.0804
455.550	-1.1264
456.813	-0.7683
458.216	-0.3257
459.652	-0.3255
461.031	-0.2644
462.350	-0.0785
463.620	-0.0144
464.951	-0.0827
466.367	-0.2570
467.740	-0.1848
469.115	-0.3219
470.337	-0.6140
471.435	-1.9184
472.392	-1.5171
474.576	-0.6911
475.696	-1.1137
476.679	-1.7867
478.562	-1.5532
480.605	-3.7382
482.489	-1.3504
484.225	-2.4073
485.870	-1.3385
487.444	-1.1840
488.889	-0.9039
490.338	-1.8091
491.845	-0.8965
493.416	-0.8461
495.001	-0.6565
496.584	-0.8456
498.157	-0.2062
499.694	-0.2464
501.269	-0.8998
