/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Dust concentration measured with a laser particle counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695985, 
	In supplement to: Lambert, F et al. (2008): Dust-climate couplings over the past 800,000 years from the EPICA Dome C ice core. Nature, 452, 616-619, https://doi.org/10.1038/nature06763
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 24.20 m * MAXIMUM DEPTH, ice/snow: 3188.90 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * RECOVERY: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome_C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Dust concentration [µg/kg] (Dust conc) * PI: Stocker, Thomas F (https://orcid.org/0000-0003-1245-2728, thomas.stocker@climate.unibe.ch) * METHOD/DEVICE: Laser particle counter, KLOTZ
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10326 data points
*/
Depth ice/snow [m]	Age model [ka]	Dust conc [µg/kg]
397.10	13.249	26.80
397.65	13.275	37.80
398.20	13.300	37.90
398.75	13.327	40.00
399.30	13.354	36.20
399.85	13.383	41.50
400.40	13.412	45.40
400.95	13.440	39.60
401.50	13.468	39.10
402.05	13.495	38.30
402.60	13.520	40.10
403.15	13.546	90.30
403.70	13.572	34.80
404.25	13.600	41.10
404.80	13.629	35.10
405.35	13.658	37.10
405.90	13.687	35.60
406.45	13.715	49.30
407.00	13.742	68.90
407.55	13.770	54.70
408.10	13.796	41.30
408.65	13.822	36.10
409.20	13.848	27.40
409.75	13.875	29.20
410.30	13.903	25.00
410.85	13.930	24.60
411.40	13.956	26.80
411.95	13.979	34.00
412.50	14.002	25.30
413.05	14.028	21.10
413.60	14.053	90.70
414.15	14.080	24.30
414.70	14.106	22.10
415.25	14.131	24.60
415.80	14.156	29.60
416.35	14.180	24.40
416.90	14.205	45.50
417.45	14.230	25.50
418.00	14.252	22.90
418.55	14.273	38.70
419.10	14.295	27.60
419.65	14.318	49.20
420.20	14.341	31.00
420.75	14.364	35.00
421.30	14.390	24.10
421.85	14.417	34.70
422.40	14.442	29.30
422.95	14.467	35.60
423.50	14.493	29.20
424.05	14.520	43.90
424.60	14.547	32.80
425.15	14.574	75.70
425.70	14.601	58.70
426.25	14.631	50.90
426.80	14.660	39.80
427.35	14.688	36.40
427.90	14.716	107.00
428.45	14.744	38.30
429.00	14.770	91.50
429.55	14.796	44.60
430.10	14.823	33.00
430.65	14.850	52.60
431.20	14.876	31.60
431.75	14.904	33.90
432.30	14.933	29.20
432.85	14.959	32.20
433.40	14.984	46.80
433.95	15.014	78.60
434.50	15.042	71.60
435.05	15.070	85.40
435.60	15.097	48.80
436.15	15.125	48.00
436.70	15.153	39.00
437.25	15.182	87.20
437.80	15.211	39.50
438.35	15.242	46.90
438.90	15.273	53.90
439.45	15.304	41.50
440.00	15.335	63.50
440.55	15.366	41.40
441.10	15.397	44.70
441.65	15.427	63.90
442.20	15.457	62.70
442.75	15.487	49.10
443.30	15.518	51.60
443.85	15.549	64.70
444.40	15.581	61.70
444.95	15.612	73.30
445.50	15.642	66.70
446.05	15.672	49.80
446.60	15.703	47.00
447.15	15.734	64.20
447.70	15.765	68.10
448.25	15.797	67.30
448.80	15.830	66.20
449.35	15.862	87.10
449.90	15.894	73.90
450.45	15.927	90.00
451.00	15.960	82.10
451.55	15.994	92.50
452.10	16.029	67.60
452.65	16.063	85.20
453.20	16.096	110.00
453.75	16.129	129.00
454.30	16.162	92.60
454.85	16.196	110.00
455.40	16.231	94.60
455.95	16.266	128.00
456.50	16.299	111.00
457.05	16.334	96.20
457.60	16.369	129.00
458.15	16.404	147.00
458.70	16.440	117.00
459.25	16.478	122.00
459.80	16.516	138.00
460.35	16.553	110.00
460.90	16.589	142.00
461.45	16.626	163.00
462.00	16.665	144.00
462.55	16.705	171.00
463.10	16.744	143.00
463.65	16.784	153.00
464.20	16.825	150.00
464.75	16.867	148.00
465.30	16.907	162.00
465.85	16.947	172.00
466.40	16.986	177.00
466.95	17.025	220.00
467.50	17.066	224.00
468.05	17.105	225.00
468.60	17.148	193.00
469.15	17.190	257.00
469.70	17.233	238.00
470.25	17.275	221.00
470.80	17.318	238.00
471.35	17.361	301.00
471.90	17.407	259.00
472.45	17.453	263.00
473.00	17.499	291.00
473.55	17.545	311.00
474.10	17.586	344.00
474.65	17.630	332.00
475.20	17.676	257.00
475.75	17.720	250.00
476.30	17.764	269.00
476.85	17.810	259.00
477.40	17.857	279.00
477.95	17.903	326.00
478.50	17.949	301.00
479.05	17.993	248.00
479.60	18.037	288.00
480.15	18.082	306.00
480.70	18.128	360.00
481.25	18.174	423.00
481.80	18.219	332.00
482.35	18.266	323.00
482.90	18.312	425.00
483.45	18.361	402.00
484.00	18.405	331.00
484.55	18.449	398.00
485.10	18.493	343.00
485.65	18.540	390.00
486.20	18.586	361.00
486.75	18.632	399.00
487.30	18.678	472.00
488.40	18.769	437.00
488.95	18.815	363.00
489.50	18.862	586.00
490.05	18.908	365.00
490.60	18.953	375.00
491.15	19.001	330.00
491.70	19.049	334.00
492.25	19.093	354.00
492.80	19.139	434.00
493.35	19.185	402.00
493.90	19.226	371.00
494.45	19.272	431.00
495.00	19.317	392.00
495.55	19.365	357.00
496.10	19.411	370.00
496.65	19.458	355.00
497.20	19.506	396.00
497.75	19.555	427.00
498.30	19.603	451.00
498.85	19.652	499.00
499.40	19.700	494.00
499.95	19.746	490.00
500.50	19.790	555.00
501.05	19.834	459.00
501.60	19.881	563.00
502.15	19.931	500.00
502.70	19.979	400.00
503.25	20.026	470.00
503.80	20.072	445.00
504.35	20.118	391.00
504.90	20.163	431.00
505.45	20.210	533.00
506.00	20.257	576.00
506.55	20.304	527.00
507.10	20.352	445.00
507.65	20.401	479.00
508.20	20.450	414.00
508.75	20.496	417.00
509.30	20.541	477.00
509.85	20.587	496.00
510.40	20.635	417.00
510.95	20.683	568.00
511.50	20.731	601.00
512.05	20.776	540.00
512.60	20.823	493.00
513.15	20.870	432.00
513.70	20.918	486.00
514.25	20.965	422.00
514.80	21.015	587.00
515.35	21.062	566.00
515.90	21.109	691.00
516.45	21.155	531.00
517.00	21.201	488.00
517.55	21.250	488.00
518.10	21.300	598.00
518.65	21.346	646.00
519.20	21.390	552.00
519.75	21.435	748.00
520.30	21.482	618.00
520.85	21.531	725.00
521.40	21.578	830.00
521.95	21.626	695.00
522.50	21.676	695.00
523.05	21.724	729.00
523.60	21.770	701.00
524.15	21.815	772.00
524.70	21.859	729.00
525.25	21.907	678.00
525.80	21.953	681.00
526.35	22.002	715.00
526.90	22.050	680.00
527.45	22.099	695.00
528.00	22.150	966.00
528.55	22.199	989.00
529.10	22.244	983.00
529.65	22.295	996.00
530.20	22.345	952.00
530.75	22.389	925.00
531.30	22.436	890.00
531.85	22.483	893.00
532.40	22.529	938.00
532.95	22.577	1010.00
533.50	22.626	864.00
534.05	22.674	936.00
534.60	22.723	721.00
535.15	22.772	716.00
535.70	22.821	643.00
536.25	22.869	734.00
536.80	22.918	614.00
537.35	22.967	615.00
537.90	23.014	568.00
538.45	23.059	583.00
539.00	23.104	564.00
539.55	23.149	623.00
540.10	23.195	692.00
540.65	23.242	655.00
541.20	23.289	766.00
541.75	23.340	638.00
542.30	23.388	680.00
542.85	23.435	689.00
543.40	23.483	600.00
543.95	23.529	615.00
544.50	23.575	658.00
545.05	23.622	624.00
545.60	23.668	623.00
546.15	23.715	690.00
546.70	23.763	776.00
547.25	23.812	896.00
547.80	23.864	781.00
548.35	23.916	714.00
548.90	23.965	694.00
549.45	24.015	680.00
550.00	24.069	764.00
550.55	24.119	781.00
551.10	24.168	742.00
551.65	24.216	819.00
552.20	24.263	770.00
552.75	24.314	806.00
553.30	24.363	768.00
553.85	24.415	715.00
554.40	24.467	739.00
554.95	24.511	764.00
555.50	24.558	730.00
556.05	24.609	776.00
556.60	24.662	1240.00
557.15	24.714	1210.00
557.70	24.766	885.00
558.25	24.818	907.00
558.80	24.868	927.00
559.35	24.919	948.00
559.90	24.969	1040.00
560.45	25.020	871.00
561.00	25.072	928.00
561.55	25.123	997.00
562.10	25.173	864.00
562.65	25.223	970.00
563.20	25.276	952.00
563.75	25.330	1060.00
564.30	25.384	1020.00
564.85	25.435	961.00
565.40	25.487	1050.00
565.95	25.538	1190.00
566.50	25.589	977.00
567.05	25.640	1170.00
567.60	25.690	1160.00
568.15	25.743	1140.00
568.70	25.795	1160.00
569.25	25.847	1090.00
569.80	25.900	1090.00
570.35	25.950	1130.00
570.90	26.000	1100.00
571.45	26.053	1060.00
572.00	26.103	1060.00
572.55	26.154	1060.00
573.10	26.207	1370.00
573.65	26.257	1350.00
574.20	26.311	817.00
574.75	26.364	1260.00
575.30	26.413	1270.00
575.85	26.465	1340.00
577.50	26.620	312.00
578.05	26.674	369.00
578.60	26.727	401.00
579.15	26.777	323.00
579.70	26.828	380.00
580.25	26.880	369.00
580.80	26.933	318.00
581.35	26.985	364.00
581.90	27.037	378.00
582.45	27.090	335.00
583.00	27.142	274.00
583.55	27.192	209.00
584.10	27.240	201.00
584.65	27.287	213.00
594.00	28.119	686.00
594.55	28.170	541.00
595.10	28.224	513.00
595.65	28.275	401.00
596.20	28.324	386.00
596.75	28.373	384.00
597.30	28.419	399.00
597.85	28.465	439.00
598.40	28.512	439.00
598.95	28.560	493.00
599.50	28.608	357.00
600.05	28.658	374.00
600.60	28.709	384.00
601.15	28.759	548.00
601.70	28.809	344.00
602.25	28.859	396.00
602.80	28.908	389.00
603.35	28.956	400.00
603.90	29.004	369.00
604.45	29.052	410.00
605.00	29.099	359.00
605.55	29.145	428.00
606.10	29.192	431.00
606.65	29.236	435.00
607.20	29.283	401.00
607.75	29.328	450.00
608.30	29.375	547.00
608.85	29.425	522.00
609.40	29.474	422.00
609.95	29.523	454.00
610.50	29.570	508.00
611.05	29.618	495.00
611.60	29.665	462.00
612.15	29.711	520.00
612.70	29.758	582.00
613.25	29.808	613.00
613.80	29.862	608.00
614.35	29.915	581.00
614.90	29.967	729.00
615.45	30.020	593.00
616.00	30.071	662.00
616.55	30.124	660.00
617.10	30.177	647.00
617.65	30.227	636.00
618.20	30.277	537.00
618.75	30.330	579.00
619.30	30.380	491.00
619.85	30.431	420.00
620.40	30.483	458.00
620.95	30.534	459.00
624.25	30.837	388.00
624.80	30.884	366.00
625.35	30.933	476.00
625.90	30.983	473.00
626.45	31.032	475.00
627.00	31.085	568.00
627.55	31.141	489.00
628.10	31.194	475.00
628.65	31.247	531.00
629.20	31.303	503.00
629.75	31.356	488.00
630.30	31.408	434.00
630.85	31.459	424.00
631.40	31.511	468.00
631.95	31.564	516.00
632.50	31.618	597.00
633.05	31.673	300.00
633.60	31.725	308.00
634.15	31.773	319.00
634.70	31.821	325.00
635.25	31.871	311.00
635.80	31.919	309.00
636.35	31.965	488.00
636.90	32.012	320.00
637.45	32.055	385.00
638.00	32.104	303.00
638.55	32.154	341.00
639.10	32.203	371.00
639.65	32.253	290.00
640.20	32.302	279.00
640.75	32.350	362.00
641.30	32.399	331.00
641.85	32.448	356.00
642.40	32.496	411.00
642.95	32.545	351.00
643.50	32.598	491.00
644.05	32.652	466.00
644.60	32.707	476.00
645.15	32.761	435.00
645.70	32.816	379.00
646.25	32.869	408.00
646.80	32.921	354.00
647.35	32.973	342.00
647.90	33.024	321.00
648.45	33.073	344.00
649.00	33.121	312.00
649.55	33.168	305.00
650.10	33.215	381.00
650.65	33.262	339.00
651.20	33.309	272.00
651.75	33.355	263.00
652.30	33.404	264.00
652.85	33.453	273.00
653.40	33.502	287.00
653.95	33.551	282.00
654.50	33.599	305.00
655.05	33.648	339.00
655.60	33.699	290.00
656.15	33.750	271.00
659.45	34.077	386.00
660.00	34.130	315.00
660.55	34.181	379.00
661.10	34.234	294.00
661.65	34.287	314.00
662.20	34.342	278.00
662.75	34.395	314.00
663.30	34.445	301.00
663.85	34.494	279.00
664.40	34.545	256.00
664.95	34.591	248.00
665.50	34.640	203.00
666.05	34.688	200.00
666.60	34.736	205.00
667.15	34.785	201.00
667.70	34.832	203.00
668.25	34.879	209.00
668.80	34.928	196.00
669.35	34.977	192.00
669.90	35.024	256.00
670.45	35.069	186.00
671.00	35.117	211.00
671.55	35.167	210.00
672.10	35.214	279.00
672.65	35.260	216.00
673.20	35.307	207.00
673.75	35.356	209.00
674.30	35.406	208.00
674.85	35.454	207.00
675.40	35.501	226.00
675.95	35.551	215.00
676.50	35.602	208.00
677.05	35.650	213.00
677.60	35.698	230.00
678.15	35.746	275.00
678.70	35.798	227.00
679.25	35.848	289.00
679.80	35.903	238.00
680.35	35.952	270.00
680.90	36.001	244.00
681.45	36.051	281.00
682.00	36.101	216.00
682.55	36.154	179.00
683.10	36.206	234.00
683.65	36.258	248.00
684.20	36.308	190.00
684.75	36.357	196.00
685.30	36.406	246.00
685.85	36.456	242.00
686.40	36.506	231.00
686.95	36.555	204.00
687.50	36.604	218.00
688.05	36.655	230.00
688.60	36.705	170.00
689.15	36.755	205.00
689.70	36.807	248.00
690.25	36.859	179.00
690.80	36.911	178.00
691.35	36.961	170.00
691.90	37.007	150.00
692.45	37.051	226.00
693.00	37.100	187.00
693.55	37.149	172.00
694.10	37.198	177.00
694.65	37.244	147.00
695.20	37.290	156.00
695.75	37.337	183.00
696.30	37.384	145.00
696.85	37.431	155.00
697.40	37.480	155.00
697.95	37.525	156.00
698.50	37.571	222.00
699.05	37.613	259.00
699.60	37.656	157.00
700.15	37.697	163.00
700.70	37.737	154.00
701.25	37.779	146.00
701.80	37.819	176.00
702.35	37.858	152.00
702.90	37.899	161.00
703.45	37.945	167.00
704.00	37.992	181.00
704.55	38.039	145.00
705.10	38.082	157.00
705.65	38.124	176.00
706.20	38.169	146.00
706.75	38.215	148.00
707.30	38.263	144.00
707.85	38.306	137.00
708.40	38.351	136.00
708.95	38.395	142.00
709.50	38.439	155.00
710.05	38.484	142.00
710.60	38.529	137.00
711.15	38.572	188.00
711.70	38.616	153.00
712.25	38.660	169.00
712.80	38.704	146.00
713.35	38.751	184.00
713.90	38.798	169.00
714.45	38.842	170.00
715.00	38.886	151.00
715.55	38.931	151.00
716.10	38.976	147.00
716.65	39.023	154.00
717.20	39.069	178.00
717.75	39.111	197.00
718.30	39.161	224.00
718.85	39.211	216.00
719.40	39.261	207.00
719.95	39.312	235.00
720.50	39.362	290.00
721.05	39.413	312.00
721.60	39.463	272.00
722.15	39.515	338.00
722.70	39.569	269.00
723.25	39.625	300.00
723.80	39.680	285.00
724.35	39.732	258.00
724.90	39.787	274.00
725.45	39.838	353.00
726.00	39.890	266.00
726.55	39.940	337.00
727.10	39.990	322.00
727.65	40.039	328.00
728.20	40.089	285.00
728.75	40.138	302.00
729.30	40.188	354.00
729.85	40.241	310.00
730.40	40.293	297.00
730.95	40.345	322.00
731.50	40.394	305.00
732.05	40.441	262.00
732.60	40.490	291.00
733.15	40.543	331.00
733.70	40.597	293.00
734.25	40.651	330.00
734.80	40.705	290.00
735.35	40.759	345.00
735.90	40.812	306.00
736.45	40.865	274.00
737.00	40.920	289.00
737.55	40.972	303.00
738.10	41.023	320.00
738.65	41.073	334.00
739.20	41.123	280.00
739.75	41.174	255.00
740.30	41.223	249.00
740.85	41.269	234.00
741.40	41.317	226.00
741.95	41.366	315.00
742.50	41.416	292.00
743.05	41.469	304.00
743.60	41.516	263.00
744.15	41.569	240.00
744.70	41.620	241.00
745.25	41.674	313.00
745.80	41.725	286.00
746.35	41.777	312.00
746.90	41.832	311.00
747.45	41.885	303.00
748.00	41.940	282.00
748.55	41.995	356.00
749.10	42.050	365.00
749.65	42.106	336.00
750.20	42.161	354.00
750.75	42.215	274.00
751.30	42.268	259.00
751.85	42.319	347.00
752.40	42.371	352.00
752.95	42.423	315.00
753.50	42.473	305.00
754.05	42.522	279.00
754.60	42.573	275.00
755.15	42.625	249.00
755.70	42.674	283.00
756.25	42.726	253.00
756.80	42.777	232.00
757.35	42.827	209.00
757.90	42.876	249.00
758.45	42.922	222.00
759.00	42.969	210.00
759.55	43.017	217.00
760.10	43.064	201.00
760.65	43.110	179.00
761.20	43.157	183.00
761.75	43.205	202.00
762.30	43.252	228.00
762.85	43.303	214.00
763.40	43.354	235.00
763.95	43.400	237.00
764.50	43.447	221.00
765.05	43.495	278.00
765.60	43.546	218.00
766.15	43.597	224.00
766.70	43.647	238.00
767.25	43.696	235.00
767.80	43.746	219.00
768.35	43.796	229.00
768.90	43.849	239.00
769.45	43.902	323.34
770.00	43.954	259.38
770.55	44.005	294.48
771.10	44.058	301.98
771.65	44.112	230.10
772.20	44.166	315.54
772.75	44.221	244.13
773.30	44.276	268.84
773.85	44.330	229.46
774.40	44.382	191.73
774.95	44.431	225.58
775.50	44.482	213.11
776.05	44.535	203.03
776.60	44.588	254.43
777.15	44.641	243.84
777.70	44.692	205.09
778.25	44.743	160.08
778.80	44.794	131.76
779.35	44.845	114.37
779.90	44.896	165.31
780.45	44.946	106.10
781.00	44.996	90.26
781.55	45.046	116.54
782.10	45.095	156.66
782.65	45.143	120.13
783.20	45.189	128.19
783.75	45.237	102.00
784.30	45.284	115.68
784.85	45.331	88.46
785.40	45.377	72.18
785.95	45.424	112.97
786.50	45.470	144.91
787.05	45.517	166.69
787.60	45.562	89.06
788.15	45.606	88.61
788.70	45.652	92.46
789.25	45.697	75.46
789.80	45.742	75.14
790.35	45.785	38.14
790.90	45.827	73.88
791.45	45.870	69.32
792.00	45.912	94.27
792.55	45.951	92.91
793.10	45.992	55.37
793.65	46.036	96.80
794.20	46.080	66.37
794.75	46.124	52.78
795.30	46.165	52.58
795.85	46.210	55.23
796.40	46.254	44.55
796.95	46.298	58.47
797.50	46.341	41.83
798.05	46.384	78.96
798.60	46.427	54.22
799.15	46.466	36.50
799.70	46.504	59.34
800.25	46.542	53.87
801.35	46.624	65.12
801.90	46.666	54.20
802.45	46.707	106.75
803.00	46.748	64.37
803.55	46.794	58.80
804.10	46.840	113.73
804.65	46.885	87.20
805.20	46.930	84.42
805.75	46.975	86.86
806.30	47.020	99.80
806.85	47.065	129.81
807.40	47.111	102.18
807.95	47.158	114.05
808.50	47.203	86.61
809.05	47.246	80.68
809.60	47.289	104.72
810.15	47.334	78.15
810.70	47.380	84.57
811.25	47.428	91.90
811.80	47.474	90.63
812.35	47.522	75.14
812.90	47.569	93.40
813.45	47.616	85.49
814.00	47.664	121.85
814.55	47.710	116.26
815.10	47.755	130.28
815.65	47.803	156.11
816.20	47.852	136.75
816.75	47.900	284.82
817.30	47.950	300.83
817.85	48.005	228.44
818.40	48.058	275.05
818.95	48.111	294.84
819.50	48.165	237.04
820.05	48.217	307.79
820.60	48.268	327.76
821.15	48.318	330.82
821.70	48.367	436.27
822.25	48.414	211.05
822.80	48.461	225.48
823.35	48.510	224.35
825.55	48.712	315.66
826.10	48.766	242.39
826.65	48.819	199.62
827.20	48.867	255.69
827.75	48.915	203.44
828.30	48.962	216.70
828.85	49.012	252.76
829.40	49.063	334.22
829.95	49.115	258.43
