/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Fine particle percentage measured with a coulter counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695986, 
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	380 data points
*/
Age model [ka]	FPP
3.117	-2.9618
5.088	-1.8972
7.169	-1.4363
9.416	-1.8548
10.991	-1.4925
13.150	-0.4723
15.015	1.5438
17.221	1.5753
19.352	1.2061
21.232	0.8111
23.656	0.2148
25.933	0.4150
28.140	1.3626
30.050	1.0366
32.271	1.4452
34.276	1.4268
36.388	1.7371
38.518	2.3968
40.746	2.0540
42.793	1.5158
44.961	0.8783
47.455	-0.4248
49.771	0.4739
52.001	-0.0052
54.314	0.3036
56.736	0.3392
58.738	1.2957
60.788	1.8215
62.904	0.8905
65.067	0.7275
67.819	0.2122
69.478	-0.0870
71.635	0.4348
73.807	-0.3124
75.925	0.5595
78.050	0.6313
80.121	0.9074
82.629	0.0752
84.557	-0.0823
87.003	0.2523
89.465	-1.0435
92.418	-1.0928
94.914	-1.5410
96.502	-0.6785
98.656	-0.0954
100.949	0.0917
103.274	0.4650
105.734	-0.1419
107.970	0.0741
110.551	0.0207
113.056	0.4755
115.343	1.2750
117.344	0.2671
119.874	-0.2734
122.559	-0.1345
124.443	0.0724
126.514	-1.7126
128.682	-0.9755
131.853	0.4054
133.828	1.4923
136.790	1.5176
139.429	2.0032
142.289	1.1875
144.560	1.6374
146.808	0.6064
149.103	1.2648
151.421	1.4972
155.345	1.6573
156.975	1.0800
159.777	0.6252
161.336	-0.2185
164.053	0.1276
166.530	0.4039
168.991	0.6207
171.365	-0.0289
173.690	0.7022
176.083	0.3024
179.179	-0.1904
182.568	-0.0602
184.835	-0.4322
187.111	0.0608
189.432	0.9203
192.932	0.5257
195.224	0.0694
197.481	0.0708
199.839	-0.9367
202.601	-1.4078
205.598	-0.4857
207.672	-1.1623
210.602	-0.2155
212.615	-0.7138
215.559	-1.2839
217.614	-0.0163
221.114	0.4608
224.564	0.0681
227.499	-0.0504
229.594	0.4972
231.701	0.4844
233.779	0.0834
235.864	0.5396
237.965	0.8999
240.046	0.4962
242.117	-0.6151
244.209	0.7847
246.545	0.5806
248.972	0.2507
251.523	0.3569
254.143	0.4265
256.896	-1.5747
259.606	-0.1405
263.864	0.6863
266.906	1.1339
269.981	1.2063
273.080	0.1550
276.213	-0.3628
280.930	-0.6916
282.519	-0.4732
285.620	-1.0376
288.834	-0.6077
292.073	0.3626
295.389	-0.2732
298.702	-0.9142
301.975	-1.4732
305.198	-1.1488
308.292	-0.3801
311.389	-0.1554
317.190	-0.5632
319.698	-0.9501
321.947	-1.0273
324.540	-0.5832
328.834	-0.7855
330.433	0.1612
333.727	0.6164
337.294	-0.3372
343.090	0.9088
345.051	1.5000
349.151	0.9015
353.129	0.5124
355.095	0.5763
359.131	0.4903
361.140	-0.0595
363.164	-0.1544
365.239	0.0674
367.301	0.1187
369.358	-0.4248
371.469	-0.9670
373.585	-0.5544
375.616	-0.2051
377.693	-0.3608
379.761	0.0411
381.847	0.1440
384.123	0.0709
386.185	0.3593
388.354	-0.6954
390.516	-0.9108
392.614	0.2744
394.670	0.2611
396.766	-0.2178
398.828	-1.1086
400.822	-0.7482
404.837	-0.2581
409.012	-0.6321
411.313	-1.9320
413.622	-2.1251
416.134	-1.4968
418.653	-2.3030
419.937	-2.1354
422.528	-2.0917
425.092	-1.8143
427.548	-0.4673
430.177	-0.3814
432.852	0.9678
435.562	1.5490
437.656	1.3499
439.880	0.9799
446.414	0.1912
449.690	-0.2447
453.267	-0.1528
457.090	0.0134
461.475	0.0512
465.627	0.5664
469.688	0.0633
473.853	0.0135
477.972	-0.8024
482.137	-3.2121
483.947	-1.9154
486.756	-2.0474
489.480	-1.5973
492.238	-0.7698
496.993	0.5128
