record_id,title,authors,year,venue,identifier_type,identifier,url,domain_primary,domain_secondary,oric_branch,hypothesis_ids,evidence_role,data_available,code_available,open_access,screening_tier,screening_status,metadata_quality,source_origin,source_file,notes,citation_raw
PUB-0011,FoundCause: Causal Discovery with Latent Confounders from Observational Data,Blöbaum et al.,2026,arXiv,arxiv,2606.17516,https://arxiv.org/abs/2606.17516,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0012,Introduction to Symbolic Regression in the Physical Sciences,Bartlett et al.,2025,arXiv,arxiv,2512.15920,https://arxiv.org/abs/2512.15920,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,review,
PUB-0013,CAnDOIT: Causal Discovery with Observational and Interventional Data from Time-Series,Castri et al.,2024,arXiv,arxiv,2410.02844,https://arxiv.org/abs/2410.02844,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0014,Koopman operator based identification of nonlinear networks,"Anantharaman, Mauroy",2024,arXiv,arxiv,2412.18492,https://arxiv.org/abs/2412.18492,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0015,Causal Discovery from Temporal Data: An Overview and New Perspectives,Gong et al.,2023,arXiv,arxiv,2303.10112,https://arxiv.org/abs/2303.10112,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,review,
PUB-0016,CUTS+: High-dimensional Causal Discovery from Irregular Time-series,Cheng et al.,2023,arXiv,arxiv,2305.05890,https://arxiv.org/abs/2305.05890,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0017,Hierarchical graph neural networks for causal discovery and root cause localization,Wang et al.,2023,arXiv,arxiv,2302.01987,https://arxiv.org/abs/2302.01987,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0018,Wavelet Multiscale Granger Causality Analysis Based on State Space Models,Qing Zhang et al.,2023,Symmetry,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,modèle concurrent / banc de test,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0019,A survey on causal discovery: Theory and practice,Alessandro Zanga et al.,2022,International Journal of Approximate Reasoning,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0020,Causal machine learning: A survey and open problems,Kaddour et al.,2022,arXiv,arxiv,2206.15475,https://arxiv.org/abs/2206.15475,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,review,
PUB-0021,D’ya like DAGs? A survey on structure learning and causal discovery,Matthew Vowels et al.,2022,ACM Computing Surveys,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0022,Machine learning hidden symmetries,Ziming Liu; Max Tegmark,2022,Physical Review Letters,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0023,Toward causal representation learning,Bernhard Schölkopf et al.,2021,Proceedings of the IEEE,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0024,Dynotears: Structure learning from time-series data,Roxana Pamfil et al.,2020,AISTATS,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0025,Causal discovery with reinforcement learning,"Zhu, Ng, Chen",2019,arXiv,arxiv,1906.04477,https://arxiv.org/abs/1906.04477,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0026,Review of causal discovery methods based on graphical models,Clark Glymour; Kun Zhang; Peter Spirtes,2019,Frontiers in Genetics,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0027,Causal discovery algorithms: A practical guide,Daniel Malinsky; David Danks,2018,Philosophy Compass,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0028,Constraint-based causal discovery for non-linear structural causal models with cycles and latent confounders,"Forré, Mooij",2018,arXiv,arxiv,1807.03024,https://arxiv.org/abs/1807.03024,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0029,DAGs with NO TEARS: Continuous optimization for structure learning,Xun Zheng et al.,2018,NeurIPS,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0030,Robust causal inference using directed acyclic graphs: the R package dagitty,Jan Textor et al.,2016,International Journal of Epidemiology,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0031,A discovery algorithm for directed cyclic graphs,Richardson,2013,arXiv,arxiv,1302.3599,https://arxiv.org/abs/1302.3599,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0032,Directed cyclic graphical representations of feedback models,Spirtes,2013,arXiv,arxiv,1302.4982,https://arxiv.org/abs/1302.4982,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0033,Discovering cyclic causal models by independent components analysis,Lacerda et al.,2012,arXiv,arxiv,1206.3273,https://arxiv.org/abs/1206.3273,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,method,
PUB-0034,Causality,Judea Pearl,2009,Cambridge University Press,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
PUB-0035,Probabilistic Graphical Models: Principles and Techniques,Daphne Koller; Nir Friedman,2009,MIT Press,none,,,causal_discovery_system_id,,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,modèle concurrent / banc de test,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,citation externe vérifiée; texte intégral à dépouiller,métadonnées bibliographiques curées,Bibliographie de la revue arXiv 2312.16815,,import de référence secondaire,
