record_id,domain_primary,oric_branch,hypothesis_ids,evidence_role,screening_tier,priority,action_possible,reason
PUB-0015,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0016,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0017,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0018,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0019,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0020,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0021,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0022,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0023,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0024,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0025,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0026,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0027,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0028,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0029,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0030,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0031,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0032,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0033,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0034,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0035,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0036,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0037,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0038,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0039,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0040,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0041,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0042,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0043,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0044,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0045,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0046,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0047,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0048,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,synthèse / cadrage,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0049,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0050,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0051,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0052,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0053,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0054,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0055,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0056,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0057,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0058,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0059,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0060,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0061,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,synthèse / cadrage,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0062,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0063,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0064,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0065,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0066,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0067,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0068,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0069,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0070,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0071,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0072,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0073,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0074,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0075,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0076,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0077,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0078,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0079,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0080,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0081,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0082,causal_emergence,Socle / transversal,H-S-002;H-M-001;H-T-001;H-T-002,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,1,tester gain causal des niveaux ORI-C,priorité fondée sur les verrous de l’état initial
PUB-0083,climate_tipping,"Branche 2 — planètes, Système solaire et climat",H-C-005;H-C-011;H-C-012;H-C-013;H-C-016;H-C-017,méthode / outil,A — titre/résumé vérifié,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0084,climate_tipping,"Branche 2 — planètes, Système solaire et climat",H-C-005;H-C-011;H-C-012;H-C-013;H-C-016;H-C-017,méthode / outil,A — titre/résumé vérifié,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0085,climate_tipping,"Branche 2 — planètes, Système solaire et climat",H-C-005;H-C-011;H-C-012;H-C-013;H-C-016;H-C-017,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0086,evolution_fitness_landscapes,Branche 3 — vivant,H-V-002;H-T-001,synthèse / cadrage,A — titre/résumé vérifié,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0087,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0088,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0089,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0090,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0091,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,données,A — titre/résumé vérifié,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0092,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,modèle concurrent / banc de test,A — titre/résumé vérifié,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0093,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,preuve disciplinaire / contexte,C — candidat bibliographique extrait,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0094,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,modèle concurrent / banc de test,A — titre/résumé vérifié,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0095,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0096,exoplanet_climate,"Branche 2 — planètes, Système solaire et climat",H-C-011;H-C-012;H-C-013;H-C-016,données,A — titre/résumé vérifié,2,tester bassins et persistance,priorité fondée sur les verrous de l’état initial
PUB-0097,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0098,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0099,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0100,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0101,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0102,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0103,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0104,living_systems,Branche 3 — vivant,,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0105,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0106,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,synthèse / cadrage,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0107,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,méthode / outil,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0108,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0109,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0110,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0111,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0112,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0113,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0114,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0115,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,synthèse / cadrage,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0116,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0117,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0118,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,synthèse / cadrage,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0119,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0120,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0121,matter_chronology,Branche 1 — matière,H-M-001;H-S-002;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
