ID;Entité;type_registre;statut_original;statut_ontologique;mode_obtention;milieu_validation;certitude_historique;role_causal
MAT-00126;Antimony;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00127;Tellurium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00128;Iodine;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00129;Xenon;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00130;Caesium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00131;Barium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00132;Lanthanum;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00133;Cerium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00134;Praseodymium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00135;Neodymium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00136;Promethium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00137;Samarium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00138;Europium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00139;Gadolinium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00140;Terbium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00141;Dysprosium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00142;Holmium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00143;Erbium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00144;Thulium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00145;Ytterbium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00146;Lutetium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00147;Hafnium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00148;Tantalum;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00149;Tungsten;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00150;Rhenium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00151;Osmium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00152;Iridium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00153;Platinum;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00154;Gold;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00155;Mercury;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00156;Thallium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00157;Lead;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00158;Bismuth;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00159;Polonium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00160;Astatine;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00161;Radon;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00162;Francium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00163;Radium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00164;Actinium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00165;Thorium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00166;Protactinium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00167;Uranium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00168;Neptunium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00169;Plutonium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00170;Americium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00171;Curium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00172;Berkelium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00173;Californium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00174;Einsteinium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00175;Fermium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00176;Mendelevium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00177;Nobelium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00178;Lawrencium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00179;Rutherfordium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00180;Dubnium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00181;Seaborgium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00182;Bohrium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00183;Hassium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00184;Meitnerium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00185;Darmstadtium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00186;Roentgenium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00187;Copernicium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00188;Nihonium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00189;Flerovium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00190;Moscovium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00191;Livermorium;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00192;Tennessine;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00193;Oganesson;ENT;Confirmé officiellement;confirme;registre;non_specifie;non_specifie;non_specifie
MAT-00194;Hydrogène moléculaire;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00195;Monoxyde de carbone;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00196;Azote moléculaire;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00197;Oxygène moléculaire;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00198;Eau;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00199;Ammoniac;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00200;Méthane;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00201;Dioxyde de carbone;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00202;Monoxyde de silicium;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00203;Dioxyde de soufre;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00204;Hydroxyle;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00205;Méthylidyne;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00206;Hydrogène moléculaire ionisé;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00207;Trihydrogène cation;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00208;Formyle cation;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00209;Cyanure d'hydrogène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00210;Isocyanure d'hydrogène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00211;Formaldéhyde;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00212;Méthanol;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00213;Éthanol;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00214;Acétaldéhyde;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00215;Lactaldéhyde;ENT;Détection rapportée en 2026;candidat;observe;non_specifie;directe;non_specifie
MAT-00216;Érythrulose;ENT;Détection rapportée en juillet 2026;candidat;observe;non_specifie;directe;non_specifie
MAT-00217;Acide formique;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00218;Acide acétique;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00219;Formamide;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00220;Urée;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00221;Diméthyléther;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00222;Formiate de méthyle;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00223;Acétonitrile;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00224;Benzonitrile;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00225;Acétylène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00226;Éthylène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00227;Éthane;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00228;Benzène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00229;Indène;ENT;Confirmé dans le milieu interstellaire;confirme;observe;astrophysique;non_specifie;non_specifie
MAT-00230;Phénalène;ENT;Confirmé en 2025;confirme;observe;non_specifie;directe;non_specifie
MAT-00231;Cyanocoronène;ENT;Confirmé en 2025;confirme;observe;non_specifie;directe;non_specifie
MAT-00232;Buckminsterfullerène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00233;Fullerène C70;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00234;Oxyde de propylène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00235;Glycolaldéhyde;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00236;Éthylène glycol;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00237;Glycine;ENT;Confirmé hors détection interstellaire incontestable;candidat;observe;astrophysique;non_specifie;non_specifie
MAT-00238;Alanine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00239;Adénine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00240;Guanine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00241;Cytosine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00242;Thymine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00243;Uracile;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00244;Ribose-adénosine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00245;ATP;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00246;ADN;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00247;ARN;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00248;Protéines;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00249;Phospholipides;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00250;Cellulose;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00251;Chitine;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00252;Chlorophylle a;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00253;Hème b;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00254;Polyéthylène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00255;Polypropylène;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00256;PVC;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00257;PET;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00258;PTFE;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00259;Diamant;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00260;Graphite;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00261;Silice;ENT;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00262;Molécules interstellaires observées;ENT;352 espèces recensées au 16 juillet 2026;registre_ouvert;registre;astrophysique;sans_objet;sans_objet
MAT-00263;Structures chimiques PubChem;ENT;Catalogue ouvert;registre_ouvert;registre;non_specifie;sans_objet;sans_objet
MAT-00264;Solide cristallin;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00265;Solide amorphe;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00266;Verre;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00267;Liquide;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00268;Gaz;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00269;Plasma thermique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00270;Plasma non thermique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00271;Fluide supercritique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00272;Cristal liquide nématique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00273;Cristal liquide smectique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00274;Phase cholestérique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00275;Cristal plastique;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
MAT-00276;Matière granulaire dense;PHA;Confirmé;confirme;observe;non_specifie;non_specifie;non_specifie
