Catégorie;Nom;Symbole;Composition;Charge;Statut;Stabilité;Production ou environnement;Note;Source URL
État exotique;pentaquarks Pc;Pc+;c anti-c et trois quarks légers;+1;Résonances observées;Très instables;Désintégrations de baryons bottom;Structure interne discutée;https://pdg.lbl.gov/
État exotique;molécule hadronique;divers;état lié ou quasi-lié de hadrons;Variable;Classe avec candidats confirmés;Instable;Seuils hadroniques;Architecture composite possible;https://pdg.lbl.gov/
État exotique;glueball;divers;gluons liés;0 ou variable;Prédit, candidats non conclusifs;Instable;Collisions, QCD;Aucune identification définitive;https://pdg.lbl.gov/
État exotique;méson hybride;divers;quark, antiquark et excitation gluonique;Variable;Prédit, plusieurs candidats;Instable;Collisions haute énergie;Structure gluonique excitée;https://pdg.lbl.gov/
Atome exotique;positronium;Ps;électron et positron;0;Confirmé;Très court à court selon état;Laboratoire, astrophysique possible;Atome purement leptonique;https://pdg.lbl.gov/
Atome exotique;muonium;Mu;muon positif et électron;0;Confirmé;Durée limitée par le muon;Laboratoire;Système hydrogénoïde leptonique;https://pdg.lbl.gov/
Atome exotique;pionium;A2π;π+ et π−;0;Confirmé;Très instable;Collisions;Atome mésonique;https://pdg.lbl.gov/
Atome exotique;hélium antiprotonique;anti-p He+;noyau d'hélium, antiproton, électron;Variable;Confirmé;Métastable à l'échelle atomique;Laboratoire;Atome exotique à trois corps;https://pdg.lbl.gov/
Antimatière composite;antiproton;anti-p;anti-u anti-u anti-d;−1;Confirmé;Stable dans les limites observées;Rayons cosmiques, accélérateurs;Antibaryon du proton;https://pdg.lbl.gov/
Antimatière composite;antineutron;anti-n;anti-u anti-d anti-d;0;Confirmé;Instable libre;Accélérateurs;Antibaryon du neutron;https://pdg.lbl.gov/
Antinoyau;antideutéron;anti-d;antiproton et antineutron;−1;Confirmé;Stable contre désintégration forte;Accélérateurs;Antinoyau léger;https://pdg.lbl.gov/
Antinoyau;antihélium 4;anti-4He;deux antiprotons et deux antineutrons;−2;Confirmé en laboratoire;Stable contre désintégration forte;Collisions d'ions lourds;Antinoyau le plus lourd clairement produit en laboratoire;https://pdg.lbl.gov/
