ID;Niveau principal;Sous-niveau;Entité;Symbole ou formule;Type d'entrée;Statut;Composition ou description;Architecture ou état;Réservoirs typiques;Stabilité ou durée;Accessibilité;Mobilisabilité;Source URL;type_registre
MAT-00040;Particules composites;Méson vectoriel;phi;φ;Entité ou famille;Confirmé;principalement s anti-s;Méson vectoriel étrange;Collisions hadroniques;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00041;Particules composites;Méson étrange;kaon positif;K+;Entité ou famille;Confirmé;u anti-s;Méson étrange;Rayons cosmiques, collisions;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00042;Particules composites;Méson étrange;kaon négatif;K−;Entité ou famille;Confirmé;s anti-u;Antiparticule du kaon positif;Rayons cosmiques, collisions;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00043;Particules composites;Méson étrange;kaon neutre;K0;Entité ou famille;Confirmé;d anti-s;État de saveur;Collisions, physique CP;Instable, oscillations;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00044;Particules composites;Méson étrange;antikaon neutre;anti-K0;Entité ou famille;Confirmé;s anti-d;État de saveur;Collisions, physique CP;Instable, oscillations;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00045;Particules composites;Méson étrange;kaon court;KS0;Entité ou famille;Confirmé;superposition K0 et anti-K0;État propre approximatif;Désintégrations faibles;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00046;Particules composites;Méson étrange;kaon long;KL0;Entité ou famille;Confirmé;superposition K0 et anti-K0;État propre approximatif;Désintégrations faibles;Instable, plus long vécu;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00047;Particules composites;Méson charmé;D zéro;D0;Entité ou famille;Confirmé;c anti-u;Méson ouvertement charmé;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00048;Particules composites;Méson charmé;anti-D zéro;anti-D0;Entité ou famille;Confirmé;u anti-c;Antiparticule du D0;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00049;Particules composites;Méson charmé;D positif;D+;Entité ou famille;Confirmé;c anti-d;Méson charmé;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00050;Particules composites;Méson charmé;D étrange;Ds+;Entité ou famille;Confirmé;c anti-s;Méson charmé et étrange;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00051;Particules composites;Charmonium;J/psi;J/ψ;Entité ou famille;Confirmé;c anti-c;État lié charm-anticharm;Collisions, plasma quarks-gluons;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00052;Particules composites;Charmonium;eta charm;ηc;Entité ou famille;Confirmé;c anti-c;Charmonium pseudoscalaire;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00053;Particules composites;Charmonium;psi deux S;ψ(2S);Entité ou famille;Confirmé;c anti-c excité;État excité du charmonium;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00054;Particules composites;Méson bottom;B positif;B+;Entité ou famille;Confirmé;u anti-b;Méson ouvertement bottom;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00055;Particules composites;Méson bottom;B zéro;B0;Entité ou famille;Confirmé;d anti-b;Méson bottom neutre;Physique CP;Instable, oscillations;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00056;Particules composites;Méson bottom;Bs zéro;Bs0;Entité ou famille;Confirmé;s anti-b;Méson bottom étrange;Physique CP;Instable, oscillations;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00057;Particules composites;Méson double lourd;Bc positif;Bc+;Entité ou famille;Confirmé;c anti-b;Contient charm et bottom;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00058;Particules composites;Bottomonium;Upsilon;Υ;Entité ou famille;Confirmé;b anti-b;État lié bottom-antibottom;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00059;Particules composites;Bottomonium;eta bottom;ηb;Entité ou famille;Confirmé;b anti-b;Bottomonium pseudoscalaire;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00060;Particules composites;État exotique;X 3872;X(3872);Entité ou famille;Résonance confirmée, structure ouverte;structure interne discutée, tétraquark ou molécule hadronique;État exotique majeur;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00061;Particules composites;État exotique;Zc 3900;Zc(3900);Entité ou famille;Résonance observée;au moins quatre quarks;Candidat tétraquark;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00062;Particules composites;État exotique;Tcc positif;Tcc+;Entité ou famille;État exotique observé;cc anti-u anti-d probable;Candidat tétraquark doublement charmé;Collisions haute énergie;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00063;Particules composites;État exotique;pentaquarks Pc;Pc+;Entité ou famille;Résonances observées;c anti-c et trois quarks légers;Structure interne discutée;Désintégrations de baryons bottom;Très instables;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00064;Particules composites;État exotique;molécule hadronique;divers;Entité ou famille;Classe avec candidats confirmés;état lié ou quasi-lié de hadrons;Architecture composite possible;Seuils hadroniques;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00065;Particules composites;État exotique;glueball;divers;Entité ou famille;Prédit, candidats non conclusifs;gluons liés;Aucune identification définitive;Collisions, QCD;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00066;Particules composites;État exotique;méson hybride;divers;Entité ou famille;Prédit, plusieurs candidats;quark, antiquark et excitation gluonique;Structure gluonique excitée;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00067;Particules composites;Atome exotique;positronium;Ps;Entité ou famille;Confirmé;électron et positron;Atome purement leptonique;Laboratoire, astrophysique possible;Très court à court selon état;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00068;Particules composites;Atome exotique;muonium;Mu;Entité ou famille;Confirmé;muon positif et électron;Système hydrogénoïde leptonique;Laboratoire;Durée limitée par le muon;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00069;Particules composites;Atome exotique;pionium;A2π;Entité ou famille;Confirmé;π+ et π−;Atome mésonique;Collisions;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00070;Particules composites;Atome exotique;hélium antiprotonique;anti-p He+;Entité ou famille;Confirmé;noyau d'hélium, antiproton, électron;Atome exotique à trois corps;Laboratoire;Métastable à l'échelle atomique;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00071;Particules composites;Antimatière composite;antiproton;anti-p;Entité ou famille;Confirmé;anti-u anti-u anti-d;Antibaryon du proton;Rayons cosmiques, accélérateurs;Stable dans les limites observées;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00072;Particules composites;Antimatière composite;antineutron;anti-n;Entité ou famille;Confirmé;anti-u anti-d anti-d;Antibaryon du neutron;Accélérateurs;Instable libre;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00073;Particules composites;Antinoyau;antideutéron;anti-d;Entité ou famille;Confirmé;antiproton et antineutron;Antinoyau léger;Accélérateurs;Stable contre désintégration forte;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00074;Particules composites;Antinoyau;antihélium 4;anti-4He;Entité ou famille;Confirmé en laboratoire;deux antiprotons et deux antineutrons;Antinoyau le plus lourd clairement produit en laboratoire;Collisions d'ions lourds;Stable contre désintégration forte;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00075;Noyaux et nuclides;Catalogue NUBASE2020;5 843 états nucléaires détaillés;A-Z;Catalogue complet importé;Observé ou estimé selon ligne;Protons, neutrons, états fondamentaux, isomères et résonances;Voir feuille 04_Nuclides_NUBASE;Laboratoires, étoiles, réacteurs, nature;Stable, radioactif ou résonant;Variable selon nuclide;Non quantifié;https://www-nds.iaea.org/amdc/ame2020/nubase_4.mas20.txt;NUC
MAT-00076;Atomes et éléments;Non-métal;Hydrogen;H;Entité;Confirmé officiellement;Numéro atomique 1, masse atomique indicative 1.008;Période 1, groupe 1, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00077;Atomes et éléments;Gaz noble;Helium;He;Entité;Confirmé officiellement;Numéro atomique 2, masse atomique indicative 4.003;Période 1, groupe 18, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00078;Atomes et éléments;Métal alcalin;Lithium;Li;Entité;Confirmé officiellement;Numéro atomique 3, masse atomique indicative 6.941;Période 2, groupe 1, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00079;Atomes et éléments;Métal alcalino-terreux;Beryllium;Be;Entité;Confirmé officiellement;Numéro atomique 4, masse atomique indicative 9.012;Période 2, groupe 2, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00080;Atomes et éléments;Métalloïde;Boron;B;Entité;Confirmé officiellement;Numéro atomique 5, masse atomique indicative 10.812;Période 2, groupe 13, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00081;Atomes et éléments;Non-métal;Carbon;C;Entité;Confirmé officiellement;Numéro atomique 6, masse atomique indicative 12.011;Période 2, groupe 14, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00082;Atomes et éléments;Non-métal;Nitrogen;N;Entité;Confirmé officiellement;Numéro atomique 7, masse atomique indicative 14.007;Période 2, groupe 15, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00083;Atomes et éléments;Non-métal;Oxygen;O;Entité;Confirmé officiellement;Numéro atomique 8, masse atomique indicative 15.999;Période 2, groupe 16, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00084;Atomes et éléments;Halogène;Fluorine;F;Entité;Confirmé officiellement;Numéro atomique 9, masse atomique indicative 18.998;Période 2, groupe 17, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00085;Atomes et éléments;Gaz noble;Neon;Ne;Entité;Confirmé officiellement;Numéro atomique 10, masse atomique indicative 20.18;Période 2, groupe 18, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00086;Atomes et éléments;Métal alcalin;Sodium;Na;Entité;Confirmé officiellement;Numéro atomique 11, masse atomique indicative 22.99;Période 3, groupe 1, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00087;Atomes et éléments;Métal alcalino-terreux;Magnesium;Mg;Entité;Confirmé officiellement;Numéro atomique 12, masse atomique indicative 24.305;Période 3, groupe 2, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00088;Atomes et éléments;Métal post-transition;Aluminium;Al;Entité;Confirmé officiellement;Numéro atomique 13, masse atomique indicative 26.982;Période 3, groupe 13, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00089;Atomes et éléments;Métalloïde;Silicon;Si;Entité;Confirmé officiellement;Numéro atomique 14, masse atomique indicative 28.086;Période 3, groupe 14, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00090;Atomes et éléments;Non-métal;Phosphorus;P;Entité;Confirmé officiellement;Numéro atomique 15, masse atomique indicative 30.974;Période 3, groupe 15, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00091;Atomes et éléments;Non-métal;Sulfur;S;Entité;Confirmé officiellement;Numéro atomique 16, masse atomique indicative 32.067;Période 3, groupe 16, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00092;Atomes et éléments;Halogène;Chlorine;Cl;Entité;Confirmé officiellement;Numéro atomique 17, masse atomique indicative 35.453;Période 3, groupe 17, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00093;Atomes et éléments;Gaz noble;Argon;Ar;Entité;Confirmé officiellement;Numéro atomique 18, masse atomique indicative 39.948;Période 3, groupe 18, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00094;Atomes et éléments;Métal alcalin;Potassium;K;Entité;Confirmé officiellement;Numéro atomique 19, masse atomique indicative 39.098;Période 4, groupe 1, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00095;Atomes et éléments;Métal alcalino-terreux;Calcium;Ca;Entité;Confirmé officiellement;Numéro atomique 20, masse atomique indicative 40.078;Période 4, groupe 2, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00096;Atomes et éléments;Métal de transition;Scandium;Sc;Entité;Confirmé officiellement;Numéro atomique 21, masse atomique indicative 44.956;Période 4, groupe 3, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00097;Atomes et éléments;Métal de transition;Titanium;Ti;Entité;Confirmé officiellement;Numéro atomique 22, masse atomique indicative 47.867;Période 4, groupe 4, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00098;Atomes et éléments;Métal de transition;Vanadium;V;Entité;Confirmé officiellement;Numéro atomique 23, masse atomique indicative 50.944;Période 4, groupe 5, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00099;Atomes et éléments;Métal de transition;Chromium;Cr;Entité;Confirmé officiellement;Numéro atomique 24, masse atomique indicative 51.996;Période 4, groupe 6, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
