Catégorie;Nom;Composition ou formule;Structure;Réservoirs ou usages;Statut;Note;Source URL
Oxyde;Magnétite;Fe3O4;Spinelle inverse;Roches, organismes magnétotactiques;Confirmé;Ferrimagnétique;https://www.rruff.net/ima-mineral-list/
Oxyde;Rutile;TiO2;Cristal tétragonal;Roches, sables lourds;Confirmé;Polymorphe majeur de TiO2;https://www.rruff.net/ima-mineral-list/
Hydroxyde;Goethite;FeO(OH);Cristal orthorhombique;Sols, altération;Confirmé;Oxyhydroxyde de fer;https://www.rruff.net/ima-mineral-list/
Carbonate;Calcite;CaCO3;Cristal trigonal;Roches sédimentaires, organismes;Confirmé;Carbonate majeur;https://www.rruff.net/ima-mineral-list/
Carbonate;Aragonite;CaCO3;Cristal orthorhombique;Coquilles, hautes pressions;Confirmé;Polymorphe de la calcite;https://www.rruff.net/ima-mineral-list/
Carbonate;Dolomite;CaMg(CO3)2;Cristal trigonal;Roches carbonatées;Confirmé;Carbonate double;https://www.rruff.net/ima-mineral-list/
Carbonate;Magnésite;MgCO3;Cristal trigonal;Roches ultramafiques, altération;Confirmé;Réservoir de carbone et magnésium;https://www.rruff.net/ima-mineral-list/
Carbonate;Sidérite;FeCO3;Cristal trigonal;Sédiments, veines;Confirmé;Carbonate de fer;https://www.rruff.net/ima-mineral-list/
Sulfate;Gypse;CaSO4·2H2O;Cristal monoclinique;Évaporites, Mars;Confirmé;Sulfate hydraté;https://www.rruff.net/ima-mineral-list/
Sulfate;Anhydrite;CaSO4;Cristal orthorhombique;Évaporites, profondeur;Confirmé;Sulfate anhydre;https://www.rruff.net/ima-mineral-list/
Sulfate;Barytine;BaSO4;Cristal orthorhombique;Veines hydrothermales;Confirmé;Sulfate dense;https://www.rruff.net/ima-mineral-list/
Phosphate;Apatite;Ca5(PO4)3(F,Cl,OH);Cristal hexagonal;Roches, os, dents;Confirmé;Réservoir majeur de phosphore;https://www.rruff.net/ima-mineral-list/
Phosphate;Monazite;(Ce,La,Nd,Th)PO4;Cristal monoclinique;Granites, sables lourds;Confirmé;Porteur de terres rares;https://www.rruff.net/ima-mineral-list/
Silicate, nésosilicate;Olivine;(Mg,Fe)2SiO4;Tétraèdres isolés;Manteaux planétaires, météorites;Confirmé;Solution forstérite-fayalite;https://www.rruff.net/ima-mineral-list/
Silicate, pyroxène;Enstatite;MgSiO3;Chaînes simples;Manteaux, météorites;Confirmé;Pyroxène magnésien;https://www.rruff.net/ima-mineral-list/
Silicate, pyroxène;Diopside;CaMgSi2O6;Chaînes simples;Roches magmatiques et métamorphiques;Confirmé;Clinopyroxène;https://www.rruff.net/ima-mineral-list/
Silicate, amphibole;Trémolite;Ca2Mg5Si8O22(OH)2;Chaînes doubles;Roches métamorphiques;Confirmé;Amphibole;https://www.rruff.net/ima-mineral-list/
Silicate, mica;Muscovite;KAl2(AlSi3O10)(OH)2;Feuillets;Granites, métamorphites;Confirmé;Mica blanc;https://www.rruff.net/ima-mineral-list/
Silicate, mica;Biotite;K(Mg,Fe)3AlSi3O10(F,OH)2;Feuillets;Roches magmatiques et métamorphiques;Confirmé;Mica sombre;https://www.rruff.net/ima-mineral-list/
Silicate, feldspath;Orthose;KAlSi3O8;Réseau tridimensionnel;Granites, roches continentales;Confirmé;Feldspath potassique;https://www.rruff.net/ima-mineral-list/
Silicate, feldspath;Albite;NaAlSi3O8;Réseau tridimensionnel;Roches magmatiques et métamorphiques;Confirmé;Pôle sodique des plagioclases;https://www.rruff.net/ima-mineral-list/
Silicate, feldspath;Anorthite;CaAl2Si2O8;Réseau tridimensionnel;Basaltes, anorthosites;Confirmé;Pôle calcique des plagioclases;https://www.rruff.net/ima-mineral-list/
Silicate, argile;Kaolinite;Al2Si2O5(OH)4;Feuillets;Sols, altération;Confirmé;Argile 1:1;https://www.rruff.net/ima-mineral-list/
Silicate, argile;Montmorillonite;(Na,Ca)0.33(Al,Mg)2Si4O10(OH)2·nH2O;Feuillets gonflants;Sols, sédiments;Confirmé;Smectite réactive;https://www.rruff.net/ima-mineral-list/
Silicate, zéolite;Clinoptilolite;(Na,K,Ca)2-3Al3(Al,Si)2Si13O36·12H2O;Réseau poreux;Roches volcaniques altérées;Confirmé;Zéolite naturelle;https://www.rruff.net/ima-mineral-list/
Silicate, grenat;Pyrope;Mg3Al2Si3O12;Réseau de grenat;Manteau, métamorphites;Confirmé;Grenat magnésien;https://www.rruff.net/ima-mineral-list/
Silicate haute pression;Ringwoodite;Mg2SiO4;Spinelle;Zone de transition du manteau, météorites;Confirmé;Porteur potentiel d'eau;https://www.rruff.net/ima-mineral-list/
Silicate haute pression;Bridgmanite;(Mg,Fe)SiO3;Structure pérovskite;Manteau inférieur terrestre;Confirmé indirectement et en laboratoire;Probablement le minéral le plus abondant de la Terre;https://www.rruff.net/ima-mineral-list/
Oxyde haute pression;Ferropericlase;(Mg,Fe)O;Structure halite;Manteau inférieur;Confirmé;Phase majeure du manteau profond;https://www.rruff.net/ima-mineral-list/
Silicate haute pression;Post-pérovskite;MgSiO3;Structure lamellaire dense;Couche D'' du manteau;Confirmé en laboratoire, inféré dans la Terre;Phase de très haute pression;https://www.rruff.net/ima-mineral-list/
Glace minérale;Glace Ih;H2O;Réseau hexagonal;Terre, lunes, comètes;Confirmé;Glace ordinaire;https://www.rruff.net/ima-mineral-list/
Glace minérale;Glace amorphe;H2O;Réseau désordonné;Nuages, comètes, laboratoires;Confirmé;Plusieurs densités amorphes;https://www.rruff.net/ima-mineral-list/
Glace planétaire;Glace de CO2;CO2;Cristal moléculaire;Mars, comètes;Confirmé;Glace sèche;https://www.rruff.net/ima-mineral-list/
Glace planétaire;Glace de méthane;CH4;Cristal moléculaire;Titan, Pluton, objets transneptuniens;Confirmé;Glace volatile;https://www.rruff.net/ima-mineral-list/
Glace planétaire;Glace d'azote;N2;Cristal moléculaire;Pluton, Triton;Confirmé;Glace très volatile;https://www.rruff.net/ima-mineral-list/
Poussière cosmique;Silicates amorphes;Mg-Fe-Si-O;Grains amorphes;Milieu interstellaire, disques;Confirmé spectroscopiquement;Poussières dominantes;https://www.rruff.net/ima-mineral-list/
Poussière cosmique;Grains carbonés;C et H variables;Graphitique, amorphe, PAH;Milieu interstellaire, enveloppes stellaires;Confirmé ou inféré;Réservoir de carbone solide;https://www.rruff.net/ima-mineral-list/
Météoritique;Chondrules;silicates et métal;Gouttelettes fondues solidifiées;Chondrites;Confirmé;Archives du disque protoplanétaire;https://www.rruff.net/ima-mineral-list/
Météoritique;Inclusions riches en calcium et aluminium;oxydes et silicates réfractaires;Agrégats réfractaires;Chondrites carbonées;Confirmé;Parmi les premiers solides du Système solaire;https://www.rruff.net/ima-mineral-list/
Météoritique;Matrice chondritique;silicates fins, organiques, sulfures;Agrégat fin;Chondrites;Confirmé;Mélange primordial;https://www.rruff.net/ima-mineral-list/
Matière organique complexe;Tholins;polymères organiques azotés;Solide amorphe;Titan, Pluton, laboratoires;Confirmé comme analogue et inféré planétairement;Produit photochimique;https://www.rruff.net/ima-mineral-list/
Métal et alliage;Fer-nickel météoritique;Fe-Ni;Phases kamacite et taénite;Météorites, noyaux planétaires;Confirmé;Alliage cosmique;https://www.rruff.net/ima-mineral-list/
Métal et alliage;Acier;Fe-C et alliants;Cristaux et phases multiples;Technosphère;Confirmé;Famille d'alliages;https://www.rruff.net/ima-mineral-list/
Métal et alliage;Bronze;Cu-Sn;Solution et phases intermétalliques;Technosphère;Confirmé;Alliage historique;https://www.rruff.net/ima-mineral-list/
Métal et alliage;Laiton;Cu-Zn;Solution solide;Technosphère;Confirmé;Alliage cuivre-zinc;https://www.rruff.net/ima-mineral-list/
Métal et alliage;Superalliage base nickel;Ni, Cr, Co, Al, Ti et autres;Matrice et précipités;Turbines, technosphère;Confirmé;Résistance à haute température;https://www.rruff.net/ima-mineral-list/
Céramique;Verre silicaté;SiO2 et modificateurs;Solide amorphe;Technosphère, volcanisme;Confirmé;Famille de verres;https://www.rruff.net/ima-mineral-list/
Céramique;Porcelaine;silicates, mullite, verre;Composite céramique;Technosphère;Confirmé;Céramique cuite;https://www.rruff.net/ima-mineral-list/
Céramique;Carbure de silicium;SiC;Réseau covalent;Poussières stellaires, abrasifs, électronique;Confirmé;Matériau réfractaire;https://www.rruff.net/ima-mineral-list/
Céramique;Nitrure de silicium;Si3N4;Réseau covalent;Technosphère;Confirmé;Céramique technique;https://www.rruff.net/ima-mineral-list/
Semi-conducteur;Silicium cristallin;Si;Diamant cubique;Croûte, électronique, photovoltaïque;Confirmé;Semi-conducteur majeur;https://www.rruff.net/ima-mineral-list/
Semi-conducteur;Arséniure de gallium;GaAs;Zincblende;Technosphère;Confirmé;Optoélectronique;https://www.rruff.net/ima-mineral-list/
Semi-conducteur;Nitrure de gallium;GaN;Wurtzite ou zincblende;Technosphère;Confirmé;Électronique de puissance et LED;https://www.rruff.net/ima-mineral-list/
Composite;Béton;ciment, granulats, eau, pores;Composite minéral;Technosphère;Confirmé;Matériau de construction;https://www.rruff.net/ima-mineral-list/
Composite;Béton armé;béton et acier;Composite hiérarchique;Technosphère;Confirmé;Compression et traction combinées;https://www.rruff.net/ima-mineral-list/
Composite;Composite carbone-époxy;fibres de carbone et matrice polymère;Composite anisotrope;Aéronautique, sport;Confirmé;Fort rapport résistance-masse;https://www.rruff.net/ima-mineral-list/
Biomatériau;Bois;cellulose, hémicellulose, lignine, eau;Composite cellulaire;Plantes, technosphère;Confirmé;Architecture hiérarchique;https://www.rruff.net/ima-mineral-list/
Biomatériau;Os;collagène et hydroxyapatite;Composite hiérarchique;Vertébrés;Confirmé;Structure vivante minéralisée;https://www.rruff.net/ima-mineral-list/
Biomatériau;Coquille;carbonate de calcium et matrice organique;Composite stratifié;Mollusques, organismes;Confirmé;Biominéralisation;https://www.rruff.net/ima-mineral-list/
Catalogue dynamique;Espèces minérales IMA;divers;Structures cristallines reconnues;Terre, météorites, laboratoires;Registre officiel ouvert;Plusieurs milliers d'espèces, nouvelles approbations régulières;https://www.rruff.net/ima-mineral-list/
