condition_id;variable;origine;echelle;role;unite;plage;duree;source_url
CON-027;Surface active;transformation « Catalyse de surface »;Échelle chimique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-028;Dépassement de la courbe de fusion;transformation « Fusion »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-029;Sursaturation ou refroidissement;transformation « Cristallisation »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-030;Apport d'énergie ou baisse de pression;transformation « Vaporisation »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-031;Refroidissement ou compression;transformation « Condensation »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-032;Pression et température adaptées;transformation « Sublimation »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-033;Sursaturation;transformation « Dépôt »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-034;Refroidissement plus rapide que relaxation;transformation « Transition vitreuse »;Échelle de phase;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-035;Surface ou circulation de fluides;transformation « Altération chimique »;Échelle géologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-036;Pression, température, fluides;transformation « Métamorphisme »;Échelle géologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-037;Température, volatils, pression;transformation « Fusion partielle »;Échelle géologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-038;Fusion, gravité, convection;transformation « Différenciation planétaire »;Échelle géologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-039;Transport et métabolisme;transformation « Assimilation »;Échelle biologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-040;Chaînes redox et membranes;transformation « Respiration cellulaire »;Échelle biologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-041;Pigments, membranes, enzymes;transformation « Photosynthèse »;Échelle biologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-042;Décomposeurs et conditions adaptées;transformation « Décomposition »;Échelle biologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-043;Matrice organique et ions;transformation « Biominéralisation »;Échelle biologique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-044;Dissipation de moment angulaire;transformation « Accrétion »;Échelle astrophysique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-045;Pression, rayonnement, magnétisme ou explosion;transformation « Éjection et vent »;Échelle astrophysique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-046;Effondrement ou emballement thermonucléaire;transformation « Explosion de supernova »;Échelle astrophysique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-047;Sursaturation et nucléation;transformation « Formation de poussières »;Échelle astrophysique;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-048;Ouverture de voie, gradient ou transport;transformation « Accessibilisation »;Échelle ORI-C;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-049;Énergie, mécanisme et cinétique suffisants;transformation « Mobilisation »;Échelle ORI-C;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-050;Compatibilité structurelle et régulation;transformation « Incorporation opératoire »;Échelle ORI-C;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-051;Enfouissement, précipitation, compartimentation;transformation « Séquestration »;Échelle ORI-C;permissif;;;;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
CON-052;expansion cosmologique;genealogie, transition GA-001;généalogie ORI-C;permissif;;;;
CON-053;gravité;genealogie, transition GA-006;généalogie ORI-C;permissif;;;;
CON-054;refroidissement par H2;genealogie, transition GA-006;généalogie ORI-C;permissif;;;;
CON-055;refroidissement par HD;genealogie, transition GA-006;généalogie ORI-C;permissif;;;;
CON-056;flux neutronique lent;genealogie, transition GA-010;généalogie ORI-C;à qualifier;;;;
CON-057;flux neutronique rapide;genealogie, transition GA-011;généalogie ORI-C;à qualifier;;;;
CON-058;évolution des étoiles massives;genealogie, transition GA-012;généalogie ORI-C;à qualifier;;;;
CON-059;flux ultraviolet;genealogie, transition GA-016;généalogie ORI-C;permissif;;;;
CON-060;chocs;genealogie, transition GA-018;généalogie ORI-C;permissif;;;;
CON-061;turbulence du disque;genealogie, transition GA-019;généalogie ORI-C;permissif;;;;
CON-062;piège à pression;genealogie, transition GA-021;généalogie ORI-C;permissif;;;;
CON-063;seuil de Roche;genealogie, transition GA-022;généalogie ORI-C;contraignant;;;;
CON-064;fugacité d'oxygène;genealogie, transition GA-024;généalogie ORI-C;contraignant;;;;
CON-065;dissipation du disque;genealogie, transition GA-025;généalogie ORI-C;contraignant;;;;
CON-066;flux XUV stellaire;genealogie, transition GA-028;généalogie ORI-C;permissif;;;;
CON-067;circulation hydrothermale;genealogie, transition GA-029;généalogie ORI-C;permissif;;;;
CON-068;énergie hydrothermale;genealogie, transition GA-029;généalogie ORI-C;permissif;;;;
CON-069;cycles humide-sec;genealogie, transition GA-031;généalogie ORI-C;permissif;;;;
