Famille;Nom;Formule;Nombre d'atomes ou taille;État ou architecture;Réservoirs ou usages;Statut;Note;Source URL
Nitrile;Cyanure d'hydrogène;HCN;3;Gaz, liquide;Nuages, comètes, atmosphères, chimie prébiotique;Confirmé;Nitrile simple;https://molecules-in.space/
Isomère;Isocyanure d'hydrogène;HNC;3;Gaz;Nuages froids;Confirmé;Isomère de HCN;https://molecules-in.space/
Carbonyle;Formaldéhyde;H2CO;4;Gaz, solution, polymères;Nuages, comètes, biologie, industrie;Confirmé;Intermédiaire chimique important;https://molecules-in.space/
Alcool;Méthanol;CH3OH;6;Liquide, glace, gaz;Nuages, glaces, comètes, industrie;Confirmé;Molécule organique interstellaire abondante;https://molecules-in.space/
Alcool;Éthanol;C2H5OH;9;Liquide, gaz;Milieu interstellaire, fermentation, industrie;Confirmé;Alcool biologique et industriel;https://molecules-in.space/
Aldéhyde;Acétaldéhyde;CH3CHO;7;Liquide, gaz;Nuages, biologie, industrie;Confirmé;Aldéhyde organique;https://molecules-in.space/
Aldéhyde;Lactaldéhyde;C3H6O2;11;Molécule organique;Milieu interstellaire;Détection rapportée en 2026;Aldéhyde hydroxylé;https://molecules-in.space/
Cétose;Érythrulose;C4H8O4;16;Molécule organique;Milieu interstellaire;Détection rapportée en juillet 2026;Sucre chiral à quatre carbones;https://molecules-in.space/
Acide carboxylique;Acide formique;HCOOH;5;Liquide, gaz, glace;Nuages, comètes, biologie;Confirmé;Acide organique simple;https://molecules-in.space/
Acide carboxylique;Acide acétique;CH3COOH;8;Liquide, gaz;Milieu interstellaire, biologie, industrie;Confirmé;Acide carboxylique;https://molecules-in.space/
Amide;Formamide;NH2CHO;6;Liquide, gaz;Nuages, comètes, chimie prébiotique;Confirmé;Molécule prébiotique importante;https://molecules-in.space/
Amide;Urée;CO(NH2)2;8;Solide;Milieu interstellaire, organismes, industrie;Confirmé;Amide biologique;https://molecules-in.space/
Éther;Diméthyléther;CH3OCH3;9;Gaz, liquide;Nuages moléculaires, industrie;Confirmé;Éther interstellaire abondant;https://molecules-in.space/
Ester;Formiate de méthyle;HCOOCH3;8;Liquide, gaz;Nuages chauds, industrie;Confirmé;Ester organique;https://molecules-in.space/
Nitrile;Acétonitrile;CH3CN;6;Liquide, gaz;Nuages, laboratoires, industrie;Confirmé;Nitrile organique;https://molecules-in.space/
Nitrile;Benzonitrile;C6H5CN;13;Liquide, gaz;Nuages froids, industrie;Confirmé;Molécule aromatique détectée dans l'espace;https://molecules-in.space/
Hydrocarbure;Acétylène;C2H2;4;Gaz;Atmosphères, enveloppes stellaires, combustion;Confirmé;Hydrocarbure insaturé;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Hydrocarbure;Éthylène;C2H4;6;Gaz;Atmosphères, biologie végétale, industrie;Confirmé;Alcène simple;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Hydrocarbure;Éthane;C2H6;8;Gaz, liquide;Atmosphères, glaces, industrie;Confirmé;Alcane simple;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Hydrocarbure aromatique;Benzène;C6H6;12;Liquide, gaz;Milieu interstellaire, atmosphères, industrie;Confirmé;Cycle aromatique;https://molecules-in.space/
Hydrocarbure aromatique polycyclique;Indène;C9H8;17;Molécule aromatique;Nuages froids, combustion;Confirmé dans le milieu interstellaire;PAH bicyclique;https://molecules-in.space/
Hydrocarbure aromatique polycyclique;Phénalène;C13H10;23;Molécule aromatique;Milieu interstellaire;Confirmé en 2025;PAH à trois cycles;https://molecules-in.space/
Hydrocarbure aromatique polycyclique;Cyanocoronène;C24H11CN;36;Molécule aromatique;Milieu interstellaire;Confirmé en 2025;Grand PAH nitrilé;https://molecules-in.space/
Fullerène;Buckminsterfullerène;C60;60;Cage carbonée;Nébuleuses, solides carbonés, laboratoire;Confirmé;Allotrope moléculaire du carbone;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Fullerène;Fullerène C70;C70;70;Cage carbonée;Nébuleuses, laboratoire;Confirmé;Allotrope moléculaire du carbone;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cycle oxygéné;Oxyde de propylène;C3H6O;10;Liquide, gaz;Milieu interstellaire, industrie;Confirmé;Première molécule chirale détectée dans l'espace;https://molecules-in.space/
Sucre;Glycolaldéhyde;HOCH2CHO;8;Solide ou liquide, gaz;Nuages, météorites, chimie prébiotique;Confirmé;Sucre simple;https://molecules-in.space/
Polyol;Éthylène glycol;HOCH2CH2OH;10;Liquide, glace, gaz;Nuages, comètes, industrie;Confirmé;Diol organique;https://molecules-in.space/
Acide aminé;Glycine;NH2CH2COOH;10;Solide, solution;Météorites, organismes, laboratoire;Confirmé hors détection interstellaire incontestable;Acide aminé le plus simple;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Acide aminé;Alanine;C3H7NO2;13;Solide, solution;Organismes, météorites, laboratoire;Confirmé;Acide aminé protéinogène;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Base azotée;Adénine;C5H5N5;15;Solide;Organismes, météorites, laboratoire;Confirmé;Base de l'ADN et de l'ARN;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Base azotée;Guanine;C5H5N5O;16;Solide;Organismes, météorites, laboratoire;Confirmé;Base de l'ADN et de l'ARN;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Base azotée;Cytosine;C4H5N3O;13;Solide;Organismes, laboratoire;Confirmé;Base de l'ADN et de l'ARN;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Base azotée;Thymine;C5H6N2O2;15;Solide;Organismes, laboratoire;Confirmé;Base de l'ADN;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Base azotée;Uracile;C4H4N2O2;12;Solide;Organismes, météorites, laboratoire;Confirmé;Base de l'ARN;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Nucléoside;Ribose-adénosine;C10H13N5O4;32;Molécule biologique;Cellules;Confirmé;Nucléoside de l'ARN;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Nucléotide;ATP;C10H16N5O13P3;47;Ion et complexe hydraté;Cellules;Confirmé;Vecteur énergétique biologique;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère biologique;ADN;polymère de désoxyribonucléotides;Variable;Double hélice et autres conformations;Cellules, virus, laboratoire;Confirmé;Support héréditaire;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère biologique;ARN;polymère de ribonucléotides;Variable;Chaînes repliées;Cellules, virus, laboratoire;Confirmé;Information, catalyse, régulation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère biologique;Protéines;polymères d'acides aminés;Variable;Structures primaire à quaternaire;Cellules, tissus, virus;Confirmé;Machines et structures biologiques;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Lipide;Phospholipides;divers;Variable;Bicouches, micelles;Membranes biologiques;Confirmé;Frontières compartimentaires;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Glucide;Cellulose;(C6H10O5)n;Variable;Fibrilles cristallines et amorphes;Plantes, biomatériaux;Confirmé;Polymère biologique structural;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Glucide;Chitine;(C8H13O5N)n;Variable;Fibrilles;Arthropodes, champignons;Confirmé;Polymère biologique structural;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Pigment biologique;Chlorophylle a;C55H72MgN4O5;137;Complexe organomagnésien;Organismes photosynthétiques;Confirmé;Capture de lumière;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cofacteur;Hème b;C34H32FeN4O4;75;Complexe organométallique;Protéines, organismes;Confirmé;Transport d'électrons et d'oxygène;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère synthétique;Polyéthylène;(C2H4)n;Variable;Solide semi-cristallin;Technosphère;Confirmé;Polymère industriel;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère synthétique;Polypropylène;(C3H6)n;Variable;Solide semi-cristallin;Technosphère;Confirmé;Polymère industriel;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère synthétique;PVC;(C2H3Cl)n;Variable;Solide amorphe ou semi-cristallin;Technosphère;Confirmé;Polymère chloré;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère synthétique;PET;(C10H8O4)n;Variable;Solide semi-cristallin;Technosphère;Confirmé;Polyester industriel;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Polymère synthétique;PTFE;(C2F4)n;Variable;Solide cristallin;Technosphère;Confirmé;Polymère fluoré;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Réseau covalent;Diamant;C;Variable;Cristal covalent;Planètes, météorites, laboratoire;Confirmé;Allotrope du carbone;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Réseau covalent;Graphite;C;Variable;Feuillets graphitiques;Planètes, poussières, laboratoire;Confirmé;Allotrope du carbone;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Réseau covalent;Silice;SiO2;Variable;Quartz, verre, polymorphes;Roches, poussières, technosphère;Confirmé;Réseau minéral majeur;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Catalogue dynamique;Molécules interstellaires observées;divers;2 à plus de 70 atomes;Gaz, glaces, grains;Milieu interstellaire et circumstellaire;352 espèces recensées au 16 juillet 2026;Registre ouvert, statut de chaque détection à vérifier;https://molecules-in.space/
Catalogue dynamique;Structures chimiques PubChem;divers;Variable;Toutes classes chimiques;Laboratoires, nature, industrie;Catalogue ouvert;Le nombre de structures dépasse toute liste fermée;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
