id;ordre;nom;parents;gm_mapping;etat_avant;processus;contraintes;inscription_historique;nouveaux_accessibles;non_demontre;observable;source_ids;mode_preuve;statut
GC-011;11;Formation des CAI;GC-010;GM-013;Régions très chaudes du jeune disque;condensation/fusion de phases réfractaires;température élevée|composition|transport;plus anciens solides réfractaires datables;horloge de référence et matériaux réfractaires transportables;site unique de formation de toutes les CAI;Pb-Pb|Al-Mg|minéralogie;SRC-GC-009|SRC-GC-017|SRC-GC-018|SRC-GC-039;échantillons + chronométrie;établi pour l'existence/âge relatif, contexte spatial partiel
GC-012;12;Chondres, remaniement et recyclage;GC-009|GC-010|GC-011;GM-017;Poussières et précurseurs silicatés du disque;chauffages brefs, fusion partielle, refroidissement, transport;énergie du chauffage|gaz|temps|composition;sphérules et mélanges chondre-matrice avec signatures isotopiques;matériaux remaniés disponibles pour accrétion de planétésimaux;mécanisme unique de chauffage des chondres;Pb-Pb|textures|minéralogie|isotopes;SRC-GC-014|SRC-GC-015|SRC-GC-017|SRC-GC-039;échantillons + chronométrie;établi pour le remaniement, mécanisme non unique
GC-013;13;Coagulation poussières → agrégats;GC-010|GC-012;GM-017;Grains minéraux, glaces, organiques;collisions, collage, fragmentation, compaction;vitesse relative|porosité|composition|charge;agrégats poreux;croissance vers tailles aérodynamiquement couplées;franchissement automatique de toutes les barrières de croissance;expériences de collision + observations de disques;SRC-GC-019|SRC-GC-020|SRC-GC-035;expérience/observation + modèle;mécanismes partiels établis
GC-014;14;Galets, dérive et pièges de pression;GC-013;GM-018;Agrégats mm–cm;drag aérodynamique, dérive radiale, concentration dans bosses de pression;Stokes|gradient de pression|turbulence|rapport solides/gaz;réservoirs locaux de galets;concentrations de solides pouvant atteindre le régime instable;configuration exacte des bosses de pression solaires;distribution de poussières|modèles de disque;SRC-GC-019|SRC-GC-020|SRC-GC-022|SRC-GC-026|SRC-GC-032|SRC-GC-033|SRC-GC-034|SRC-GC-035;observations analogues + modèle;soutenu comme mécanisme général
GC-015;15;Concentration collective / streaming;GC-014;GM-019;Galets couplés au gaz;instabilité de streaming et concentration collective;Stokes|solides/gaz|turbulence|pression;sur-densités solides;effondrement gravitationnel local devient accessible;valeur universelle du seuil dans tout disque;seuils de simulation|H011;SRC-GC-019|SRC-GC-020;simulation mécanistique;"soutien modèle; H011 local mechanistic_threshold_supported"
GC-016;16;Planétésimaux;GC-015;GM-020;Sur-densités de solides;auto-gravité, collisions et accrétion;densité locale|dispersion de vitesse|gaz;corps km–1000 km;croissance gravitationnelle, chauffage interne et accrétion de galets deviennent accessibles;voie unique de formation de tous les planétésimaux;météorites|astéroïdes|simulations;SRC-GC-019|SRC-GC-020|SRC-GC-022|SRC-GC-026;modèle + archives du Système solaire;fortement soutenu, voie non unique
GC-017;17;Temps d’accrétion + 26Al → destin thermique;GC-003|GC-009|GC-016;GM-021;Planétésimaux contenant radionuclides courts;décroissance radioactive et transfert thermique;26Al initial|temps d'accrétion|taille|eau|porosité;température interne et degré de fusion héritent du temps de formation;métamorphisme, fusion et différenciation deviennent plus ou moins accessibles;26Al initial spatialement homogène universel;Pb-Pb|Al-Mg|achondrites|modèles thermiques;SRC-GC-018|SRC-GC-021|SRC-GC-036;géochronologie + modèles;"soutenu; hétérogénéité à conserver"
GC-018;18;Différenciation des petits corps / protoplanètes;GC-016|GC-017;GM-022;Corps chauffés et assez massifs;fusion, ségrégation métal-silicate, cristallisation;température|pression|oxydation|composition;noyau, manteau, croûte et réservoirs fractionnés;objets différenciés et signatures chronométriques nouvelles;destin identique à taille égale sans tenir compte de l'histoire;météorites de fer|achondrites|Hf-W;SRC-GC-018|SRC-GC-021|SRC-GC-036|SRC-GC-037;échantillons + expériences/modèles;établi pour différenciation, trajectoires variables
GC-019;19;Embryons planétaires;GC-016|GC-018;;Population de planétésimaux/protoplanètes;accrétion gravitationnelle, collisions, accrétion de galets;distribution de masse|gaz|architecture du disque;embryons de taille planétaire;collisions géantes et accrétion tardive deviennent accessibles;séquence unique de croissance de chaque planète;Hf-W-Th de Mars + simulations;SRC-GC-021|SRC-GC-022|SRC-GC-026|SRC-GC-033|SRC-GC-037;chronométrie + modèle;soutenu pour existence/rapidité de certaines trajectoires
GC-020;20;Accrétion des planètes telluriques;GC-019|GC-009;;Embryons + planétésimaux de réservoirs multiples;collisions, mélange, perte volatile, différenciation répétée;architecture radiale|temps|impacteurs|gaz résiduel;Mercure, Vénus, Terre, Mars avec compositions et masses distinctes;architectures telluriques particulières deviennent réalisées;chemin unique ou composition unique des impacteurs;isotopes planétaires + N-corps;SRC-GC-021|SRC-GC-023|SRC-GC-026|SRC-GC-037|SRC-GC-041;reconstruction + simulations;soutenu, scénarios concurrents
GC-021;21;Croissance des géantes et structuration du disque;GC-014|GC-016|GC-009;;Disque gazeux + noyaux en croissance;"accrétion de galets/planétésimaux et gaz; création possible de barrières";durée du gaz|masse du noyau|pression|migration;Jupiter/Saturne et partitions dynamiques/chimiques du disque;la présence de géantes modifie transport, diffusion et futurs d'accrétion;Jupiter comme cause unique de toute dichotomie isotopique;isotopes NC/CC|simulations|masses/orbites;SRC-GC-022|SRC-GC-023|SRC-GC-025|SRC-GC-026|SRC-GC-027|SRC-GC-031|SRC-GC-032|SRC-GC-033;reconstruction + modèles concurrents;efficacité plausible/forte, causalité historique non unique
GC-022;22;Migration, instabilités et réorganisation planétaire;GC-020|GC-021;;Planètes formées dans une architecture initiale non observée directement;migration gaz, résonances, diffusion planétésimale, rencontres;disque résiduel|résonances|masses|temps de dissipation;architecture orbitale réorganisée;configurations proches de l'architecture actuelle deviennent accessibles dans certaines simulations;une trajectoire historique unique vers le présent;distributions orbitales + simulations;SRC-GC-023|SRC-GC-024|SRC-GC-026|SRC-GC-041;simulation dynamique;"plusieurs familles compatibles; histoire exacte ouverte"
GC-023;23;Architecture actuelle et raccordement à C-AST;GC-022;;Système solaire actuel observé;définition de l'état initial J2000 pour la couche N-corps ORI-C;masses|orbites|conditions initiales Horizons;architecture actuelle sert d'entrée à C-AST;son efficacité causale sur les trajectoires terrestres est testée en aval;dérivation quantitative continue formation → mêmes conditions initiales C-AST;Horizons + C-AST 13/15;SRC-GC-024|SRC-GC-026|SRC-GC-041;observation actuelle + modèle causal aval;HANDOFF OUVERT: amont non fermé, aval C-AST certifié E4_model
